,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,291,129,319,227,"291,319,319,291,291","129,129,227,227,129"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,246,0,284,78,"246,284,284,246,246","0,0,78,78,0"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,276,32,316,105,"276,316,316,276,276","32,32,105,105,32"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,194,249,213,308,"213,213,212,209,205,199,197,194,194,195,199,207,212,213","255,293,304,308,307,299,295,286,274,270,262,249,251,255"
4,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,38,246,53,304,"38,53,53,38,38","246,246,304,304,246"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,258,75,286,128,"258,286,286,258,258","75,75,128,128,75"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,136,196,159,250,"147,154,156,158,159,159,156,154,147,141,140,139,137,136,137,141,145,147","196,196,201,207,217,231,237,241,250,250,247,244,237,227,216,204,198,196"
7,tumor,tumor_nonMitotic,tumor_any,polyline,236,223,266,269,"256,261,265,266,266,265,263,251,241,239,236,237,238,243,247,256","223,225,233,241,246,250,252,265,269,267,261,249,240,232,227,223"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,23,39,45,87,"35,25,24,23,25,29,42,43,45,45,44,40,38,35","87,82,75,66,59,51,39,41,44,46,59,78,85,87"
9,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,161,149,181,197,"161,181,181,161,161","149,149,197,197,149"
10,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,93,87,118,130,"93,118,118,93,93","87,87,130,130,87"
11,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,77,91,89,139,"77,89,89,77,77","91,91,139,139,91"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,125,67,144,112,"125,129,135,137,144,144,142,141,137,131,130,125,125","91,67,67,70,91,96,104,106,112,112,111,96,91"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,112,158,132,202,"116,117,122,125,127,131,132,132,129,125,122,121,117,112,113,116","159,158,159,162,165,173,191,194,202,201,199,198,193,173,168,159"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,0,255,25,294,"5,11,18,20,24,25,25,21,20,15,8,2,0,0,4,5","261,255,255,256,261,267,278,289,290,294,293,289,284,278,265,261"
15,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,166,70,189,107,"180,173,169,166,166,168,170,184,187,189,188,180","107,104,95,87,80,72,70,72,75,91,95,107"
16,tumor,tumor_nonMitotic,tumor_any,polyline,257,304,285,338,"266,271,277,284,285,285,281,280,268,266,258,257,258,266","307,304,304,312,323,325,337,338,337,336,329,322,317,307"
17,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,23,150,45,186,"33,39,44,45,44,42,38,31,30,25,24,23,23,29,33","150,150,155,172,177,182,186,186,184,177,174,168,162,154,150"
18,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,218,139,243,172,"227,232,239,242,243,242,232,227,221,218,218,223,227","140,139,140,146,151,158,168,172,170,167,160,146,140"
19,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,65,46,91,78,"65,91,91,65,65","46,46,78,78,46"
20,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,139,107,158,144,"158,158,150,145,144,141,139,139,141,147,154,158","110,135,144,143,141,138,131,119,112,107,107,110"
21,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,212,102,232,130,"212,232,232,212,212","102,102,130,130,102"
22,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,316,212,342,235,"316,342,342,316,316","212,212,235,235,212"
23,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,38,212,53,240,"38,53,53,38,38","212,212,240,240,212"
24,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,21,211,42,233,"21,42,42,21,21","211,211,233,233,211"
25,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,183,146,209,190,"183,209,209,183","146,146,190,190"
26,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,69,261,97,299,"69,97,97,69","261,261,299,299"
27,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,111,284,129,322,"111,129,129,111","284,284,322,322"
28,lymphocyte,lymphocyte,sTIL,rectangle,10,334,38,358,"10,38,38,10","334,334,358,358"
