,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,49,219,91,266,"50,49,50,52,56,69,77,80,84,90,91,91,88,66,60,51,50","249,242,231,223,219,219,223,224,227,232,236,257,259,266,266,252,249"
1,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,199,317,237,365,"199,237,237,199,199","317,317,365,365,317"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,86,79,126,119,"86,126,126,86,86","79,79,119,119,79"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,69,307,119,325,"69,119,119,69,69","307,307,325,325,307"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,50,84,88,119,"50,88,88,50,50","84,84,119,119,84"
5,lymphocyte,lymphocyte,sTIL,rectangle,270,142,310,169,"270,310,310,270,270","142,142,169,169,142"
6,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,284,237,322,267,"284,322,322,284,284","237,237,267,267,237"
7,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,244,202,277,237,"244,277,277,244,244","202,202,237,237,202"
8,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,120,70,153,105,"120,153,153,120,120","70,70,105,105,70"
9,lymphocyte,lymphocyte,sTIL,polyline,233,62,272,89,"233,235,240,247,259,265,272,265,262,254,249,243,235,233,233","79,68,64,62,62,64,74,82,85,88,89,89,88,80,79"
10,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,254,321,287,353,"254,287,287,254,254","321,321,353,353,321"
11,lymphocyte,lymphocyte,sTIL,rectangle,204,54,237,87,"204,237,237,204,204","54,54,87,87,54"
12,lymphocyte,lymphocyte,sTIL,rectangle,114,122,146,154,"114,146,146,114,114","122,122,154,154,122"
13,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,39,49,79,72,"39,79,79,39,39","49,49,72,72,49"
14,lymphocyte,lymphocyte,sTIL,polyline,320,127,351,160,"320,328,338,344,348,351,349,348,346,342,337,327,324,320","153,134,129,127,130,143,147,149,153,157,160,160,159,153"
15,lymphocyte,lymphocyte,sTIL,rectangle,76,284,114,310,"76,114,114,76,76","284,284,310,310,284"
16,lymphocyte,lymphocyte,sTIL,rectangle,319,4,347,39,"319,347,347,319,319","4,4,39,39,4"
17,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,136,299,171,327,"136,171,171,136,136","299,299,327,327,299"
18,lymphocyte,lymphocyte,sTIL,rectangle,272,284,304,315,"272,304,304,272,272","284,284,315,315,284"
19,lymphocyte,lymphocyte,sTIL,rectangle,30,298,62,328,"30,62,62,30,30","298,298,328,328,298"
20,lymphocyte,lymphocyte,sTIL,rectangle,153,279,185,310,"153,185,185,153,153","279,279,310,310,279"
21,lymphocyte,lymphocyte,sTIL,rectangle,257,112,289,142,"257,289,289,257,257","112,112,142,142,112"
22,lymphocyte,lymphocyte,sTIL,rectangle,146,172,171,207,"146,171,171,146,146","172,172,207,207,172"
23,lymphocyte,lymphocyte,sTIL,rectangle,0,83,32,110,"0,32,32,0,0","83,83,110,110,83"
24,lymphocyte,lymphocyte,sTIL,polyline,156,139,188,168,"156,160,161,168,174,185,188,188,185,178,174,165,163,156,156","152,143,142,139,139,143,145,155,160,167,168,167,165,155,152"
