,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,282,201,347,270,"287,306,312,327,334,337,342,347,347,346,344,341,331,324,316,306,293,288,285,282,283,287","231,201,201,202,203,205,208,215,217,240,250,253,263,270,270,268,262,258,253,243,240,231"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,69,133,139,193,"69,139,139,69,69","133,133,193,193,133"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,72,97,152,134,"72,152,152,72,72","97,97,134,134,97"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,252,74,327,114,"252,327,327,252,252","74,74,114,114,74"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,92,34,152,82,"92,152,152,92,92","34,34,82,82,34"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,13,67,63,102,"13,63,63,13,13","67,67,102,102,67"
6,tumor,tumor_nonMitotic,tumor_any,polyline,235,185,275,230,"235,242,258,262,267,271,272,275,275,273,271,265,262,256,250,246,241,236,235,235","196,188,185,186,188,192,196,205,211,217,222,227,228,230,228,227,225,215,210,196"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,34,9,64,57,"34,64,64,34,34","9,9,57,57,9"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,0,112,50,137,"0,50,50,0,0","112,112,137,137,112"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,227,253,270,286,"227,270,270,227,227","253,253,286,286,253"
10,tumor,tumor_nonMitotic,tumor_any,polyline,243,119,281,151,"257,247,243,243,248,250,255,261,267,275,280,281,281,278,260,257","151,150,139,138,126,123,119,119,121,123,126,128,131,133,150,151"
11,plasma_cell,plasma_cell,sTIL,polyline,72,202,111,231,"106,111,111,109,107,102,96,88,78,77,72,72,73,76,82,87,93,101,106","205,210,216,220,223,228,231,231,227,226,220,213,210,207,203,202,202,203,205"
12,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,114,202,152,230,"118,127,139,143,152,149,142,127,121,114,116,118","206,202,202,206,221,225,230,228,227,221,215,206"
13,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,143,242,173,277,"143,147,159,162,166,171,173,172,171,163,151,148,147,143,143","267,258,243,242,243,247,253,258,262,271,277,276,275,270,267"
14,lymphocyte,lymphocyte,sTIL,rectangle,186,230,218,262,"186,218,218,186,186","230,230,262,262,230"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,193,79,228,107,"193,228,228,193,193","79,79,107,107,79"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,40,158,68,191,"40,68,68,40,40","158,158,191,191,158"
17,lymphocyte,lymphocyte,sTIL,polyline,19,250,49,276,"42,25,22,19,19,22,23,25,33,39,43,48,49,49,47,42","276,275,273,272,271,258,256,253,250,250,251,256,261,267,273,276"
18,lymphocyte,lymphocyte,sTIL,polyline,69,0,97,27,"69,82,88,93,97,97,96,91,88,82,73,71,69,69","10,0,0,3,12,18,22,26,27,27,24,22,17,10"
19,lymphocyte,lymphocyte,sTIL,polyline,32,281,59,305,"48,40,34,32,32,34,38,44,50,57,59,59,58,54,48","305,304,297,292,290,286,281,281,284,290,294,297,300,305,305"
20,lymphocyte,lymphocyte,sTIL,polyline,220,117,247,139,"247,241,228,226,222,220,221,225,228,235,243,246,247","126,139,139,138,134,131,123,119,117,117,121,123,126"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,171,73,198,96,"171,198,198,171,171","73,73,96,96,73"
22,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,208,297,233,322,"208,233,233,208,208","297,297,322,322,297"
23,lymphocyte,lymphocyte,sTIL,polyline,124,241,147,267,"124,124,126,128,131,134,141,147,147,142,138,133,129,124","261,251,247,243,242,241,243,248,255,265,267,266,265,261"
24,plasma_cell,plasma_cell,sTIL,rectangle,142,319,164,344,"142,164,164,142,142","319,319,344,344,319"
25,lymphocyte,lymphocyte,sTIL,polyline,62,287,86,311,"64,62,66,67,73,79,84,86,86,79,77,67,64","309,304,291,290,287,287,291,295,301,310,311,310,309"
26,lymphocyte,lymphocyte,sTIL,rectangle,7,299,34,316,"7,34,34,7,7","299,299,316,316,299"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,228,78,248,103,"228,248,248,228,228","78,78,103,103,78"
28,plasma_cell,plasma_cell,sTIL,rectangle,56,232,78,255,"56,78,78,56,56","232,232,255,255,232"
29,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,44,104,64,124,"44,64,64,44,44","104,104,124,124,104"
30,lymphocyte,lymphocyte,sTIL,rectangle,192,311,212,331,"192,212,212,192,192","311,311,331,331,311"
31,plasma_cell,plasma_cell,sTIL,rectangle,131,186,153,201,"131,153,153,131,131","186,186,201,201,186"
32,lymphocyte,lymphocyte,sTIL,rectangle,99,263,119,281,"99,119,119,99,99","263,263,281,281,263"
33,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,24,216,44,233,"24,44,44,24,24","216,216,233,233,216"
34,lymphocyte,lymphocyte,sTIL,rectangle,103,314,123,329,"103,123,123,103,103","314,314,329,329,314"
35,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,23,201,43,213,"23,43,43,23,23","201,201,213,213,201"
36,lymphocyte,lymphocyte,sTIL,rectangle,317,307,337,320,"317,337,337,317,317","307,307,320,320,307"
37,lymphocyte,lymphocyte,sTIL,rectangle,89,292,104,310,"89,104,104,89,89","292,292,310,310,292"
38,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,252,300,265,315,"252,265,265,252,252","300,300,315,315,300"
39,lymphocyte,lymphocyte,sTIL,rectangle,302,305,317,317,"302,317,317,302,302","305,305,317,317,305"
40,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,228,290,243,300,"228,243,243,228,228","290,290,300,300,290"
41,lymphocyte,lymphocyte,sTIL,rectangle,275,292,287,305,"275,287,287,275,275","292,292,305,305,292"
42,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,183,317,196,330,"183,196,196,183,183","317,317,330,330,317"
43,neutrophil,other_nucleus,other_nucleus,rectangle,115,286,137,308,"115,137,137,115","286,286,308,308"
44,lymphocyte,lymphocyte,sTIL,rectangle,277,16,303,36,"277,303,303,277","16,16,36,36"
