,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,201,278,246,340,"244,240,225,220,216,212,211,205,202,201,201,202,205,214,217,237,244,245,246,246,244","338,340,338,337,336,332,330,316,308,302,296,292,290,286,285,278,278,282,292,308,338"
1,tumor,tumor_nonMitotic,tumor_any,polyline,80,179,128,232,"80,81,82,90,107,120,126,127,128,128,126,111,108,103,96,87,83,82,80,80","217,199,196,191,179,179,181,182,184,197,214,229,231,232,231,228,226,224,221,217"
2,tumor,tumor_nonMitotic,tumor_any,polyline,179,213,229,265,"229,226,217,215,207,199,191,185,182,180,179,180,186,189,192,196,201,214,222,226,229","243,257,263,265,265,263,262,260,257,252,243,234,224,221,216,214,213,213,218,231,243"
3,tumor,tumor_nonMitotic,tumor_any,polyline,235,22,293,77,"235,235,236,239,242,249,269,276,281,290,293,291,289,285,284,280,274,242,236,235","72,50,35,32,29,27,23,22,23,29,35,43,57,67,69,73,77,77,75,72"
4,lymphocyte,lymphocyte,sTIL,polyline,311,298,315,312,"315,315,311,311,314,315","300,312,308,302,298,300"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,331,25,396,78,"331,396,396,331,331","25,25,78,78,25"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,43,300,91,360,"43,91,91,43,43","300,300,360,360,300"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,140,25,185,68,"140,185,185,140,140","25,25,68,68,25"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,256,181,299,218,"256,299,299,256,256","181,181,218,218,181"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,301,158,341,198,"301,341,341,301,301","158,158,198,198,158"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,122,114,155,159,"122,155,155,122,122","114,114,159,159,114"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,48,95,86,133,"48,86,86,48,48","95,95,133,133,95"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,103,83,146,113,"103,146,146,103,103","83,83,113,113,83"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,135,256,167,291,"135,167,167,135,135","256,256,291,291,256"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,11,72,43,107,"11,43,43,11,11","72,72,107,107,72"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,3,37,38,69,"3,38,38,3,3","37,37,69,69,37"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,80,113,115,143,"80,115,115,80,80","113,113,143,143,113"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,190,27,227,54,"190,227,227,190,190","27,27,54,54,27"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,1,168,38,193,"1,38,38,1,1","168,168,193,193,168"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,185,53,217,83,"185,217,217,185,185","53,53,83,83,53"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,36,58,61,93,"36,61,61,36,36","58,58,93,93,58"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,24,137,50,164,"24,50,50,24,24","137,137,164,164,137"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,11,144,36,169,"11,36,36,11,11","144,144,169,169,144"
