,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,86,0,134,72,"86,134,134,86","0,0,72,72"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,284,5,326,79,"284,326,326,284","5,5,79,79"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,111,332,157,404,"111,157,157,111","332,332,404,404"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,21,272,73,334,"21,73,73,21","272,272,334,334"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,277,138,341,178,"277,341,341,277","138,138,178,178"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,0,211,52,265,"0,52,52,0","211,211,265,265"
6,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,121,293,161,353,"121,161,161,121","293,293,353,353"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,18,322,66,374,"18,66,66,18","322,322,374,374"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,40,67,96,109,"40,96,96,40","67,67,109,109"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,240,241,278,299,"240,278,278,240","241,241,299,299"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,141,50,183,102,"141,183,183,141","50,50,102,102"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,49,24,91,74,"49,91,91,49","24,24,74,74"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,252,172,300,214,"252,300,300,252","172,172,214,214"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,36,242,82,282,"36,82,82,36","242,242,282,282"
14,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,88,120,134,158,"88,134,134,88","120,120,158,158"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,33,110,75,146,"33,75,75,33","110,110,146,146"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,142,135,178,175,"142,178,178,142","135,135,175,175"
17,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,176,196,200,234,"176,200,200,176","196,196,234,234"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,327,331,353,367,"327,353,353,327","331,331,367,367"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,286,321,312,345,"286,312,312,286","321,321,345,345"
20,tumor,tumor_nonMitotic,tumor_any,polyline,308,251,347,318,"347,347,343,339,330,327,324,309,308,308,309,310,328,333,340,342,345,347","292,309,314,316,318,317,314,292,266,257,253,251,255,260,272,275,286,292"
21,tumor,tumor_nonMitotic,tumor_any,polyline,209,91,243,153,"242,243,243,242,240,238,236,232,225,222,215,209,209,211,212,216,227,242","91,96,104,119,138,143,148,153,153,151,147,133,118,108,104,101,91,91"
22,tumor,tumor_nonMitotic,tumor_any,polyline,67,241,112,296,"73,82,91,98,99,110,112,112,110,107,103,94,82,78,69,67,67,68,73","242,241,243,247,250,277,288,291,292,294,296,294,283,279,260,252,247,246,242"
23,tumor,tumor_nonMitotic,tumor_any,polyline,315,194,342,257,"339,337,332,319,318,315,315,319,325,332,334,339,340,342,342,339","253,257,256,251,250,236,210,200,194,195,197,207,211,232,240,253"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,169,289,209,342,"169,209,209,169,169","289,289,342,342,289"
25,tumor,tumor_nonMitotic,tumor_any,polyline,156,232,189,284,"173,168,160,156,158,165,178,184,186,189,189,186,185,173","284,278,262,253,250,236,232,238,243,250,256,270,275,284"
26,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,250,299,277,353,"250,252,253,258,265,274,277,277,273,266,263,261,258,252,250,250","314,301,299,301,303,322,342,344,353,352,350,348,344,332,322,314"
27,tumor,tumor_nonMitotic,tumor_any,polyline,224,174,247,226,"226,224,227,233,236,240,245,247,245,241,226","209,176,174,174,176,181,192,202,219,226,209"
28,tumor,tumor_nonMitotic,tumor_any,polyline,77,202,109,246,"107,101,94,88,87,84,78,77,77,78,84,91,97,107,109,109,107","241,246,245,241,240,236,225,219,216,209,202,204,209,222,231,236,241"
29,tumor,tumor_nonMitotic,tumor_any,polyline,200,225,225,272,"210,204,200,200,201,205,210,215,216,221,225,225,217,210","272,271,260,250,237,230,225,226,227,235,243,250,263,272"
30,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,181,81,205,124,"181,194,200,202,205,205,197,194,184,181","109,81,81,82,99,107,124,123,114,109"
31,tumor,tumor_nonMitotic,tumor_any,rectangle,199,271,221,313,"199,221,221,199,199","271,271,313,313,271"
32,tumor,tumor_nonMitotic,tumor_any,rectangle,207,317,232,354,"207,232,232,207,207","317,317,354,354,317"
33,lymphocyte,lymphocyte,sTIL,polyline,261,72,288,102,"287,276,272,266,265,262,261,261,262,268,274,279,283,288,288,287","102,102,101,97,96,92,84,82,79,72,72,74,77,86,88,102"
