,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,2,300,58,360,"2,58,58,2","300,300,360,360"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,241,54,293,108,"241,293,293,241","54,54,108,108"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,3,0,53,50,"3,53,53,3","0,0,50,50"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,307,93,357,135,"307,357,357,307","93,93,135,135"
4,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,25,90,61,140,"25,61,61,25","90,90,140,140"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,241,187,275,215,"241,275,275,241","187,187,215,215"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,56,144,138,212,"56,138,138,56,56","144,144,212,212,144"
7,tumor,tumor_nonMitotic,tumor_any,polyline,296,30,371,94,"308,320,333,335,355,370,371,371,366,364,352,347,340,333,301,299,296,296,297,302,303,308","30,30,35,36,49,59,66,76,86,87,92,94,94,92,65,64,59,45,41,35,34,30"
8,tumor,tumor_nonMitotic,tumor_any,polyline,151,238,217,295,"217,210,206,194,181,153,151,151,154,180,186,191,202,214,216,217","272,290,292,295,292,275,265,248,238,240,241,244,250,262,267,272"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,23,146,63,208,"23,63,63,23,23","146,146,208,208,146"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,114,198,166,245,"114,166,166,114,114","198,198,245,245,198"
11,tumor,tumor_nonMitotic,tumor_any,polyline,201,316,245,371,"201,204,210,217,222,230,235,241,242,245,245,242,235,225,221,214,212,209,204,201,201","332,323,320,317,316,317,320,323,325,332,347,361,371,371,369,364,363,358,349,344,332"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,72,97,122,144,"72,122,122,72,72","97,97,144,144,97"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,0,198,45,238,"0,45,45,0,0","198,198,238,238,198"
14,tumor,tumor_nonMitotic,tumor_any,polyline,291,117,327,162,"293,292,291,291,296,302,318,323,327,325,323,319,317,313,301,293","148,143,128,122,117,117,125,130,141,146,152,158,162,161,156,148"
15,tumor,tumor_nonMitotic,tumor_any,polyline,206,111,252,144,"206,206,207,211,222,229,238,250,252,252,250,246,212,206","128,125,121,117,111,111,113,125,131,139,142,144,144,128"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,219,137,261,174,"219,261,261,219,219","137,137,174,174,137"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,258,266,303,294,"258,303,303,258,258","266,266,294,294,266"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,133,13,165,52,"133,165,165,133,133","13,13,52,52,13"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,286,151,323,185,"286,323,323,286,286","151,151,185,185,151"
20,tumor,tumor_nonMitotic,tumor_any,polyline,148,85,176,126,"150,158,164,169,173,176,176,173,163,155,148,149,150","92,85,85,92,101,113,117,126,126,116,101,95,92"
21,tumor,tumor_nonMitotic,tumor_any,polyline,184,31,211,66,"211,211,206,195,192,191,186,185,184,184,188,190,196,202,206,209,211","45,61,66,66,65,64,57,55,50,41,35,31,31,33,35,38,45"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,129,291,159,323,"129,159,159,129,129","291,291,323,323,291"
23,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,263,224,291,246,"263,291,291,263,263","224,224,246,246,224"
