,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,209,213,249,271,"209,249,249,209","213,213,271,271"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,0,78,42,116,"0,42,42,0","78,78,116,116"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,286,186,326,224,"286,326,326,286","186,186,224,224"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,154,304,190,346,"154,190,190,154","304,304,346,346"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,7,272,51,326,"7,51,51,7","272,272,326,326"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,51,280,89,326,"51,89,89,51","280,280,326,326"
6,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,257,22,287,58,"257,287,287,257","22,22,58,58"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,14,3,48,35,"14,48,48,14","3,3,35,35"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,39,26,77,58,"39,77,77,39","26,26,58,58"
9,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,269,155,301,181,"269,301,301,269","155,155,181,181"
10,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,195,52,279,78,"195,279,279,195","52,52,78,78"
11,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,61,67,85,85,"61,85,85,61","67,67,85,85"
12,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,115,15,143,41,"115,143,143,115","15,15,41,41"
