,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,79,205,101,252,"101,101,95,92,85,80,79,79,81,85,89,91,95,97,101","221,230,247,252,251,246,239,235,225,211,205,206,209,211,221"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,41,134,80,164,"80,80,77,76,65,61,56,49,43,41,45,48,54,72,80","146,153,163,164,163,162,158,152,146,138,136,134,134,138,146"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,258,0,297,28,"263,258,260,261,282,288,293,296,297,297,296,293,282,267,263","27,19,14,13,0,0,2,4,7,14,19,23,28,28,27"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,1,169,35,198,"1,3,10,17,29,34,35,30,22,10,1,1","183,178,169,169,170,178,186,194,198,198,191,183"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,229,138,263,167,"236,249,255,258,262,263,244,237,234,230,229,230,236","142,138,138,139,143,159,167,167,165,163,152,149,142"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,183,75,215,106,"206,201,194,190,184,183,187,193,201,206,215,214,206","105,106,105,102,89,77,75,75,77,82,95,97,105"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,28,217,59,250,"43,50,54,58,59,55,51,46,34,28,28,34,43","224,217,220,226,231,239,244,246,250,250,246,236,224"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,56,184,87,210,"56,59,64,75,81,87,87,86,82,65,59,56,56","190,186,184,188,195,204,206,208,210,203,199,195,190"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,209,20,239,48,"209,239,239,209,209","20,20,48,48,20"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,136,2,161,33,"144,136,138,141,142,153,159,161,161,159,158,151,144","31,17,8,3,2,4,9,17,19,24,28,33,31"
10,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,85,18,112,46,"85,85,86,99,103,110,111,112,108,99,91,85","43,20,18,18,22,28,30,38,45,46,46,43"
11,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,44,38,69,67,"44,69,69,44,44","38,38,67,67,38"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,12,118,40,144,"12,19,30,35,38,39,40,40,39,32,22,15,13,12,12","124,121,118,122,127,131,136,141,144,143,141,136,133,129,124"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,4,250,28,275,"7,4,8,14,17,25,28,28,23,15,9,7","266,255,250,250,251,263,268,272,275,272,268,266"
14,lymphocyte,lymphocyte,sTIL,rectangle,184,199,210,223,"184,210,210,184","199,199,223,223"
15,lymphocyte,lymphocyte,sTIL,rectangle,257,199,283,215,"257,283,283,257","199,199,215,215"
16,lymphocyte,lymphocyte,sTIL,rectangle,274,169,308,189,"274,308,308,274","169,169,189,189"
17,lymphocyte,lymphocyte,sTIL,rectangle,202,246,232,272,"202,232,232,202","246,246,272,272"
18,lymphocyte,lymphocyte,sTIL,rectangle,205,274,225,300,"205,225,225,205","274,274,300,300"
19,lymphocyte,lymphocyte,sTIL,rectangle,167,265,193,289,"167,193,193,167","265,265,289,289"
20,lymphocyte,lymphocyte,sTIL,rectangle,159,290,189,322,"159,189,189,159","290,290,322,322"
21,lymphocyte,lymphocyte,sTIL,rectangle,136,316,164,348,"136,164,164,136","316,316,348,348"
22,lymphocyte,lymphocyte,sTIL,rectangle,98,321,126,351,"98,126,126,98","321,321,351,351"
23,lymphocyte,lymphocyte,sTIL,rectangle,139,214,173,246,"139,173,173,139","214,214,246,246"
24,lymphocyte,lymphocyte,sTIL,rectangle,133,160,163,182,"133,163,163,133","160,160,182,182"
25,lymphocyte,lymphocyte,sTIL,rectangle,136,185,172,205,"136,172,172,136","185,185,205,205"
26,lymphocyte,lymphocyte,sTIL,rectangle,170,244,200,264,"170,200,200,170","244,244,264,264"
27,lymphocyte,lymphocyte,sTIL,rectangle,141,242,171,268,"141,171,171,141","242,242,268,268"
28,lymphocyte,lymphocyte,sTIL,rectangle,141,270,167,290,"141,167,167,141","270,270,290,290"
29,lymphocyte,lymphocyte,sTIL,rectangle,116,85,150,111,"116,150,150,116","85,85,111,111"
30,lymphocyte,lymphocyte,sTIL,rectangle,14,93,38,115,"14,38,38,14","93,93,115,115"
31,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,245,40,279,62,"245,279,279,245","40,40,62,62"
32,lymphocyte,lymphocyte,sTIL,rectangle,252,321,278,347,"252,278,278,252","321,321,347,347"
33,lymphocyte,lymphocyte,sTIL,rectangle,281,305,315,333,"281,315,315,281","305,305,333,333"
34,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,242,295,274,321,"242,274,274,242","295,295,321,321"
35,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,247,271,297,293,"247,297,297,247","271,271,293,293"
36,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,30,160,52,178,"30,52,52,30","160,160,178,178"
