,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,0,81,58,165,"0,58,58,0,0","81,81,165,165,81"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,7,35,79,104,"7,79,79,7,7","35,35,104,104,35"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,127,149,201,214,"127,201,201,127,127","149,149,214,214,149"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,33,148,92,222,"33,92,92,33,33","148,148,222,222,148"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,69,106,133,168,"69,133,133,69,69","106,106,168,168,106"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,60,0,124,47,"60,124,124,60,60","0,0,47,47,0"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,245,11,272,86,"245,272,272,245,245","11,11,86,86,11"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,110,8,152,75,"110,152,152,110,110","8,8,75,75,8"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,79,161,128,199,"79,128,128,79,79","161,161,199,199,161"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,287,161,344,181,"287,344,344,287,287","161,161,181,181,161"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,160,46,185,101,"160,185,185,160,160","46,46,101,101,46"
11,tumor,tumor_nonMitotic,tumor_any,polyline,213,113,237,164,"215,222,229,231,232,236,237,236,231,227,222,219,217,215,213,214,215","125,113,113,114,116,127,142,156,161,164,163,161,160,155,142,129,125"
12,tumor,tumor_nonMitotic,tumor_any,polyline,246,176,281,221,"262,246,247,251,257,258,265,270,276,279,281,281,279,272,262","221,199,194,186,178,176,176,178,184,191,196,204,210,221,221"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,307,179,341,221,"307,341,341,307,307","179,179,221,221,179"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,216,9,244,56,"216,244,244,216,216","9,9,56,56,9"
15,tumor,tumor_nonMitotic,tumor_any,polyline,244,87,278,127,"276,266,257,248,245,244,246,247,270,275,277,278,277,276","116,127,125,123,121,113,108,107,90,87,91,97,108,116"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,308,47,335,92,"308,335,335,308,308","47,47,92,92,47"
17,tumor,tumor_nonMitotic,tumor_any,polyline,113,214,157,240,"121,113,117,122,134,148,154,155,157,155,154,152,124,121","232,221,217,214,214,218,222,223,230,237,238,240,233,232"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,309,268,341,305,"309,341,341,309,309","268,268,305,305,268"
19,tumor,tumor_nonMitotic,tumor_any,polyline,222,231,258,264,"256,247,236,229,222,222,224,227,230,236,242,255,256,257,258,258,256","258,262,264,264,262,261,254,246,241,231,231,233,235,238,246,249,258"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,203,216,232,253,"203,232,232,203,203","216,216,253,253,216"
21,tumor,tumor_nonMitotic,tumor_any,polyline,146,246,177,282,"173,170,164,160,154,152,148,146,153,159,164,173,175,177,177,173","279,282,280,279,277,273,263,253,246,247,248,254,257,259,261,279"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,67,46,102,78,"67,102,102,67,67","46,46,78,78,46"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,317,24,346,56,"317,346,346,317,317","24,24,56,56,24"
24,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,260,155,299,173,"260,299,299,260,260","155,155,173,173,155"
25,tumor,tumor_nonMitotic,tumor_any,polyline,281,15,309,46,"309,306,303,294,288,281,281,283,287,296,297,306,309","39,44,46,41,37,26,20,18,15,21,23,32,39"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,49,226,79,256,"49,79,79,49,49","226,226,256,256,226"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,0,254,28,284,"0,28,28,0,0","254,254,284,284,254"
28,tumor,tumor_nonMitotic,tumor_any,polyline,286,81,308,114,"301,292,288,286,292,296,302,304,307,308,308,307,301","114,113,102,92,85,81,82,85,90,99,104,107,114"
29,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,28,279,50,310,"28,29,40,45,50,50,38,31,28","302,298,279,282,285,293,310,310,302"
30,tumor,tumor_nonMitotic,tumor_any,polyline,111,269,136,297,"115,111,118,133,136,136,129,120,115","293,273,269,279,284,290,297,295,293"
31,lymphocyte,lymphocyte,sTIL,polyline,250,137,271,164,"250,251,255,257,263,267,271,270,268,263,258,256,251,250","155,148,139,137,137,139,150,158,161,164,163,161,158,155"
32,tumor,tumor_nonMitotic,tumor_any,rectangle,10,235,35,257,"10,35,35,10,10","235,235,257,257,235"
33,lymphocyte,lymphocyte,sTIL,rectangle,288,124,303,152,"288,303,303,288,288","124,124,152,152,124"
34,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,107,307,132,321,"107,132,132,107,107","307,307,321,321,307"
