,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,325,234,382,333,"325,382,382,325,325","234,234,333,333,234"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,0,55,55,152,"0,55,55,0,0","55,55,152,152,55"
2,tumor,tumor_nonMitotic,tumor_any,polyline,330,39,385,116,"349,354,360,371,377,381,383,385,383,382,380,375,371,364,356,333,330,333,349","44,39,40,55,65,71,78,85,101,105,109,114,116,116,114,88,80,75,44"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,153,97,200,177,"153,200,200,153,153","97,97,177,177,97"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,190,186,247,250,"190,247,247,190,190","186,186,250,250,186"
5,tumor,tumor_nonMitotic,tumor_any,polyline,117,89,166,153,"117,129,133,145,148,157,159,164,165,166,162,154,144,131,128,119,117,117","136,95,89,89,90,96,99,112,121,136,152,153,153,152,151,143,141,136"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,261,27,320,76,"261,320,320,261,261","27,27,76,76,27"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,191,117,236,179,"191,236,236,191,191","117,117,179,179,117"
8,tumor,tumor_nonMitotic,tumor_any,polyline,264,85,321,133,"264,266,277,289,303,308,312,318,321,321,319,315,287,282,276,272,269,266,264,264","96,91,85,85,91,96,101,112,121,124,130,133,132,130,126,121,117,111,106,96"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,162,261,214,313,"162,214,214,162,162","261,261,313,313,261"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,199,19,261,59,"199,261,261,199,199","19,19,59,59,19"
11,tumor,tumor_nonMitotic,tumor_any,polyline,121,308,169,360,"124,121,122,126,129,134,149,155,160,164,166,169,169,165,160,159,155,145,135,133,124","347,337,329,323,319,316,308,308,310,312,317,323,327,349,357,358,360,360,357,355,347"
12,tumor,tumor_nonMitotic,tumor_any,polyline,140,1,183,55,"140,144,150,154,160,173,174,176,178,180,183,183,178,174,169,165,145,143,140","28,11,3,1,1,12,13,17,21,31,44,48,53,55,54,53,44,43,28"
13,tumor,tumor_nonMitotic,tumor_any,polyline,287,138,334,184,"310,323,326,333,334,333,331,329,319,310,293,288,287,287,292,294,310","138,138,142,150,156,177,179,181,184,184,182,179,174,152,146,145,138"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,55,245,107,280,"55,107,107,55,55","245,245,280,280,245"
15,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,314,264,346,316,"314,346,346,314,314","264,264,316,316,264"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,76,274,126,308,"76,126,126,76,76","274,274,308,308,274"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,240,58,289,88,"240,289,289,240,240","58,58,88,88,58"
18,tumor,tumor_nonMitotic,tumor_any,polyline,77,310,113,354,"88,81,78,77,78,80,83,86,90,96,101,104,111,113,112,111,107,98,92,88","352,344,341,336,323,319,314,312,310,310,311,312,316,321,333,338,345,354,353,352"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,36,80,73,120,"36,73,73,36,36","80,80,120,120,80"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,55,69,92,106,"55,92,92,55,55","69,69,106,106,69"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,193,182,232,212,"193,232,232,193,193","182,182,212,212,182"
22,tumor,tumor_nonMitotic,tumor_any,polyline,217,104,248,142,"217,220,224,230,235,238,246,248,245,224,220,217,217","114,107,104,104,105,107,119,132,142,141,138,122,114"
23,tumor,tumor_nonMitotic,tumor_any,polyline,101,145,131,183,"101,104,117,126,127,131,131,129,126,124,113,111,107,101","168,157,145,150,151,158,166,172,182,183,182,181,177,168"
24,tumor,tumor_nonMitotic,tumor_any,polyline,23,38,57,69,"31,25,24,23,29,30,35,47,52,57,57,55,49,31","69,66,62,54,42,40,38,42,44,48,58,62,69,69"
25,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,292,314,318,350,"300,307,313,318,318,317,315,299,293,292,292,293,300","318,314,318,323,336,339,341,350,350,349,339,336,318"
26,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,348,203,380,233,"380,380,376,370,365,359,355,349,348,348,349,355,367,372,377,380","220,225,233,231,230,228,225,220,218,207,205,203,203,207,213,220"
27,tumor,tumor_nonMitotic,tumor_any,polyline,204,55,232,85,"231,225,219,206,204,204,214,220,226,230,232,232,231","80,85,84,73,70,65,55,55,57,60,68,74,80"
28,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,295,231,321,256,"313,310,300,295,297,300,307,319,321,318,313","256,255,245,239,235,231,231,233,235,252,256"
29,tumor,tumor_nonMitotic,tumor_any,rectangle,20,303,50,323,"20,50,50,20,20","303,303,323,323,303"
30,tumor,tumor_nonMitotic,tumor_any,rectangle,250,137,288,187,"250,288,288,250","137,137,187,187"
