,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,lymphocyte,lymphocyte,sTIL,polyline,37,7,58,60,"37,37,39,41,42,53,58,58,57,56,47,41,40,37","33,29,17,9,7,10,13,19,35,46,60,60,51,33"
1,lymphocyte,lymphocyte,sTIL,polyline,61,0,91,51,"61,62,67,68,72,80,87,88,91,89,82,65,62,61,61","31,12,4,3,0,4,12,14,38,51,51,44,40,34,31"
2,lymphocyte,lymphocyte,sTIL,polyline,207,84,230,121,"230,228,223,217,211,210,208,207,207,208,210,215,217,227,228,230","110,113,121,119,117,113,105,90,88,85,84,85,86,100,102,110"
3,lymphocyte,lymphocyte,sTIL,polyline,92,80,118,111,"114,118,118,117,112,106,101,93,92,94,97,101,103,107,108,114","90,98,102,105,111,110,108,102,96,88,85,81,80,81,82,90"
4,lymphocyte,lymphocyte,sTIL,polyline,123,88,156,142,"155,146,135,134,132,128,125,123,123,125,133,137,148,150,154,156,156,155","137,142,141,139,134,126,119,111,93,88,90,91,108,113,123,131,134,137"
5,lymphocyte,lymphocyte,sTIL,polyline,153,28,175,65,"153,154,159,164,170,173,175,175,165,158,154,153,153","45,34,28,30,36,40,49,55,65,64,57,51,45"
6,lymphocyte,lymphocyte,sTIL,polyline,177,60,199,90,"177,177,180,184,191,196,199,199,195,187,184,177","81,70,64,60,67,74,79,82,86,90,88,81"
7,lymphocyte,lymphocyte,sTIL,polyline,186,96,208,131,"205,208,208,205,192,187,186,186,187,190,192,205","96,115,121,126,131,123,117,107,103,98,96,96"
8,lymphocyte,lymphocyte,sTIL,polyline,223,4,262,72,"259,262,242,239,237,227,226,225,223,226,228,231,248,252,254,259","18,62,72,71,67,50,45,39,22,14,12,10,4,5,7,18"
9,lymphocyte,lymphocyte,sTIL,polyline,253,61,292,97,"290,292,292,288,263,254,253,253,254,258,264,267,280,287,290","69,81,87,91,97,95,91,85,81,74,67,66,61,65,69"
10,lymphocyte,lymphocyte,sTIL,polyline,284,39,305,70,"305,304,299,293,287,285,284,285,287,288,295,299,303,305","55,59,70,69,62,59,49,45,43,41,39,43,49,55"
11,lymphocyte,lymphocyte,sTIL,polyline,299,66,320,106,"299,301,306,311,316,320,319,314,306,301,299","95,72,66,69,74,87,97,103,106,103,95"
12,lymphocyte,lymphocyte,sTIL,polyline,45,200,70,237,"50,61,65,68,70,60,53,45,45,46,47,50","204,200,205,219,229,237,237,235,229,212,209,204"
13,lymphocyte,lymphocyte,sTIL,polyline,0,219,36,260,"9,15,34,36,36,35,32,26,10,6,3,0,4,9","219,219,236,243,250,257,260,260,257,255,246,231,224,219"
14,lymphocyte,lymphocyte,sTIL,polyline,6,188,30,217,"6,6,8,11,14,20,24,25,29,30,26,14,13,10,6","203,198,195,190,188,188,190,191,200,210,217,217,216,212,203"
15,lymphocyte,lymphocyte,sTIL,polyline,65,147,99,183,"66,65,66,71,75,83,88,96,99,99,98,92,76,75,66","162,157,153,148,147,148,150,157,163,170,175,183,183,180,162"
16,lymphocyte,lymphocyte,sTIL,polyline,68,105,96,143,"96,86,80,77,73,68,70,75,81,88,91,94,96","128,143,142,141,138,118,107,105,105,107,111,122,128"
17,lymphocyte,lymphocyte,sTIL,polyline,45,252,67,289,"50,45,47,49,55,61,66,67,67,66,65,61,55,50","283,261,257,256,252,252,257,267,276,281,284,289,288,283"
18,lymphocyte,lymphocyte,sTIL,polyline,37,180,68,203,"37,42,63,67,68,67,61,57,53,45,40,37","191,180,181,183,184,186,198,201,203,201,195,191"
19,lymphocyte,lymphocyte,sTIL,polyline,40,123,66,154,"65,63,52,45,41,40,40,42,49,57,66,66,65","153,154,153,148,143,138,128,123,123,132,143,146,153"
20,lymphocyte,lymphocyte,sTIL,polyline,128,143,155,174,"129,128,129,135,142,145,154,155,155,154,151,145,135,129","169,155,150,143,143,144,153,158,167,169,172,174,174,169"
21,lymphocyte,lymphocyte,sTIL,polyline,99,122,125,159,"109,102,101,99,102,107,113,122,125,125,119,115,109","159,154,148,132,128,122,124,134,142,148,157,159,159"
22,lymphocyte,lymphocyte,sTIL,polyline,221,160,246,190,"231,223,221,221,223,228,235,239,241,243,246,246,242,231","190,189,180,174,167,160,160,163,164,168,174,180,186,190"
23,lymphocyte,lymphocyte,sTIL,polyline,207,220,236,258,"233,236,236,235,231,223,218,210,207,207,211,222,226,233","225,231,236,253,258,258,257,253,248,239,234,222,220,225"
24,lymphocyte,lymphocyte,sTIL,polyline,242,225,264,250,"242,244,251,253,262,263,264,249,242,242","231,225,225,226,237,240,250,248,245,231"
25,lymphocyte,lymphocyte,sTIL,polyline,134,206,161,246,"150,144,135,134,134,137,146,153,156,161,161,160,156,150","246,245,231,229,224,219,206,208,211,219,237,240,242,246"
26,lymphocyte,lymphocyte,sTIL,polyline,194,124,218,152,"194,194,201,211,217,218,212,207,200,195,194","147,128,124,126,132,139,147,149,152,149,147"
27,lymphocyte,lymphocyte,sTIL,polyline,169,205,196,235,"174,169,171,175,176,181,184,194,196,196,190,174","227,219,212,206,205,206,208,219,231,235,234,227"
28,lymphocyte,lymphocyte,sTIL,polyline,270,179,301,209,"270,274,279,285,293,301,301,297,294,284,280,275,270,270","193,183,179,179,183,195,203,208,209,208,206,201,195,193"
