,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,plasma_cell,plasma_cell,sTIL,polyline,163,254,192,291,"164,163,167,182,186,190,192,192,187,185,173,164","279,257,254,258,261,264,269,282,289,291,288,279"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,74,28,109,60,"89,81,77,74,76,78,96,102,108,109,109,108,107,103,101,89","60,59,54,46,41,36,28,28,31,36,44,48,50,55,56,60"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,277,94,330,121,"330,327,311,302,290,286,277,277,280,285,297,305,307,322,329,330","116,119,121,121,119,116,109,100,96,94,94,96,98,106,114,116"
3,tumor,tumor_nonMitotic,tumor_any,polyline,22,115,52,144,"22,33,38,39,50,52,50,49,38,30,25,22","125,115,116,118,133,138,143,144,142,137,133,125"
4,plasma_cell,plasma_cell,sTIL,polyline,213,116,245,149,"241,233,228,218,217,213,216,218,220,226,231,233,240,243,245,243,241","149,149,148,142,139,129,121,118,116,116,118,119,127,133,137,145,149"
5,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,polyline,20,293,53,326,"44,53,50,42,34,25,22,20,20,27,44","293,322,323,326,326,321,316,312,307,302,293"
6,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,polyline,43,293,86,323,"43,45,49,62,71,77,83,84,86,84,48,43,43","299,294,293,293,294,296,301,302,318,323,321,313,299"
7,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,polyline,207,282,237,321,"207,207,211,216,222,230,231,233,237,237,236,226,208,207","316,294,287,282,282,287,288,292,298,306,308,321,321,316"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,113,213,158,253,"113,158,158,113,113","213,213,253,253,213"
9,plasma_cell,plasma_cell,sTIL,rectangle,0,239,38,282,"0,38,38,0,0","239,239,282,282,239"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,178,185,203,223,"178,203,203,178,178","185,185,223,223,185"
11,lymphocyte,lymphocyte,sTIL,rectangle,49,242,77,269,"49,77,77,49,49","242,242,269,269,242"
12,plasma_cell,plasma_cell,sTIL,rectangle,136,213,161,235,"136,161,161,136,136","213,213,235,235,213"
13,lymphocyte,lymphocyte,sTIL,rectangle,192,168,212,193,"192,212,212,192,192","168,168,193,193,168"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,273,33,354,68,"273,354,354,273,273","33,33,68,68,33"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,144,53,174,123,"144,174,174,144,144","53,53,123,123,53"
16,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,0,163,55,195,"0,55,55,0,0","163,163,195,195,163"
17,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,181,1,221,46,"181,221,221,181,181","1,1,46,46,1"
18,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,149,0,187,45,"149,187,187,149,149","0,0,45,45,0"
19,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,167,58,187,113,"167,187,187,167,167","58,58,113,113,58"
20,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,270,199,300,237,"270,300,300,270,270","199,199,237,237,199"
21,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,243,218,253,238,"243,253,253,243,243","218,218,238,238,218"
