,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,277,301,315,341,"315,315,310,304,289,282,280,279,277,277,279,284,286,291,302,309,314,315","315,324,329,334,341,340,339,336,332,315,312,305,304,302,301,305,310,315"
1,tumor,tumor_nonMitotic,tumor_any,polyline,175,181,203,212,"203,203,200,196,190,181,180,175,175,177,185,187,191,198,200,203","197,203,208,212,211,208,207,200,195,187,182,181,182,188,190,197"
2,tumor,tumor_nonMitotic,tumor_any,polyline,316,161,347,182,"316,325,332,347,342,316","170,161,162,182,181,170"
3,tumor,tumor_nonMitotic,tumor_any,polyline,302,28,325,56,"302,304,305,307,316,319,324,325,322,321,310,307,304,302,302","36,31,29,28,31,32,39,48,54,56,54,53,47,42,36"
4,tumor,tumor_nonMitotic,tumor_any,polyline,250,27,272,54,"252,250,251,255,259,261,265,266,269,272,270,261,257,252","48,39,37,32,28,27,28,29,33,43,54,54,53,48"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,39,301,78,330,"77,76,64,61,46,43,42,39,39,42,47,58,73,77,78,78,77","329,330,329,327,319,316,314,306,304,302,301,306,314,319,322,324,329"
6,tumor,tumor_nonMitotic,tumor_any,polyline,157,57,200,106,"160,157,160,180,190,192,197,200,200,198,196,193,173,160","84,66,57,62,69,72,78,86,89,99,103,106,94,84"
7,tumor,tumor_nonMitotic,tumor_any,polyline,314,166,352,213,"322,329,349,350,352,352,351,346,340,334,330,326,322,314,316,319,322","166,166,185,186,190,203,206,213,213,212,210,206,200,183,175,171,166"
8,tumor,tumor_nonMitotic,tumor_any,polyline,198,31,241,63,"238,223,215,212,211,201,198,206,210,225,231,233,236,241,241,240,238","63,63,62,61,59,44,39,32,31,32,34,36,39,49,54,62,63"
9,lymphocyte,lymphocyte,sTIL,polyline,282,304,317,315,"282,312,314,317,317,282","305,304,305,312,315,305"
10,tumor,tumor_nonMitotic,tumor_any,polyline,322,98,350,122,"340,329,327,324,322,322,325,331,336,341,349,350,349,345,340","122,122,121,114,106,103,98,99,101,103,108,111,114,118,122"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,26,118,93,193,"26,93,93,26,26","118,118,193,193,118"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,142,312,202,377,"142,202,202,142,142","312,312,377,377,312"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,1,21,61,88,"1,61,61,1,1","21,21,88,88,21"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,3,170,73,217,"3,73,73,3,3","170,170,217,217,170"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,236,82,281,152,"236,281,281,236,236","82,82,152,152,82"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,102,271,167,321,"102,167,167,102,102","271,271,321,321,271"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,101,220,168,257,"101,168,168,101,101","220,220,257,257,220"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,116,0,178,41,"116,178,178,116,116","0,0,41,41,0"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,201,102,254,155,"201,254,254,201,201","102,102,155,155,102"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,23,97,91,127,"23,91,91,23,23","97,97,127,127,97"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,99,101,120,171,"99,120,120,99,99","101,101,171,171,101"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,128,108,168,163,"128,168,168,128,128","108,108,163,163,108"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,61,252,103,305,"61,103,103,61,61","252,252,305,305,252"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,233,155,281,202,"233,281,281,233,233","155,155,202,202,155"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,329,236,379,279,"329,379,379,329,329","236,236,279,279,236"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,114,182,167,217,"114,167,167,114,114","182,182,217,217,182"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,289,277,334,322,"289,334,334,289,289","277,277,322,322,277"
28,tumor,tumor_nonMitotic,tumor_any,rectangle,289,222,324,275,"289,324,324,289,289","222,222,275,275,222"
29,tumor,tumor_nonMitotic,tumor_any,rectangle,27,212,79,247,"27,79,79,27,27","212,212,247,247,212"
30,tumor,tumor_nonMitotic,tumor_any,rectangle,151,88,188,136,"151,188,188,151,151","88,88,136,136,88"
31,tumor,tumor_nonMitotic,tumor_any,rectangle,305,122,345,162,"305,345,345,305,305","122,122,162,162,122"
32,tumor,tumor_nonMitotic,tumor_any,rectangle,148,275,188,307,"148,188,188,148,148","275,275,307,307,275"
33,mitotic_figure,tumor_mitotic,tumor_any,rectangle,201,274,233,311,"201,233,233,201,201","274,274,311,311,274"
34,tumor,tumor_nonMitotic,tumor_any,rectangle,279,61,319,86,"279,319,319,279,279","61,61,86,86,61"
35,tumor,tumor_nonMitotic,tumor_any,rectangle,117,108,127,151,"117,127,127,117,117","108,108,151,151,108"
36,tumor,tumor_nonMitotic,tumor_any,rectangle,327,284,355,311,"327,355,355,327,327","284,284,311,311,284"
37,tumor,tumor_nonMitotic,tumor_any,rectangle,285,87,305,114,"285,305,305,285,285","87,87,114,114,87"
38,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,203,203,218,228,"203,218,218,203,203","203,203,228,228,203"
39,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,34,342,87,352,"34,87,87,34,34","342,342,352,352,342"
40,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,97,334,137,364,"97,137,137,97,97","334,334,364,364,334"
41,lymphocyte,lymphocyte,sTIL,rectangle,47,349,84,369,"47,84,84,47,47","349,349,369,369,349"
