,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,171,139,235,188,"234,235,235,234,179,172,171,171,174,192,194,199,207,217,234","152,155,174,175,188,186,184,179,169,148,145,142,139,143,152"
1,mitotic_figure,tumor_mitotic,tumor_any,polyline,132,196,183,258,"183,183,159,156,146,138,133,132,132,133,140,145,154,159,163,169,177,183","210,226,253,256,258,257,252,247,242,239,226,219,206,203,200,196,198,210"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,241,0,299,45,"241,299,299,241,241","0,0,45,45,0"
3,tumor,tumor_nonMitotic,tumor_any,polyline,154,36,205,82,"159,181,193,198,204,205,205,204,198,188,178,172,162,161,156,154,156,159","51,36,36,39,46,53,67,71,77,82,82,81,75,73,67,65,61,51"
4,tumor,tumor_nonMitotic,tumor_any,polyline,90,170,136,219,"90,90,92,96,111,117,130,135,136,136,135,107,104,99,90","205,200,195,190,175,170,170,173,175,188,193,216,219,215,205"
5,tumor,tumor_nonMitotic,tumor_any,polyline,310,6,357,48,"340,326,320,315,312,310,310,311,316,322,328,333,342,356,357,356,340","43,48,47,43,37,25,17,11,6,6,7,9,12,21,22,30,43"
6,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,53,76,90,127,"77,90,90,86,81,76,69,65,63,58,54,53,54,55,75,77","76,76,97,107,114,121,127,125,124,121,117,109,103,99,78,76"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,321,178,373,212,"321,373,373,321,321","178,178,212,212,178"
8,tumor,tumor_nonMitotic,tumor_any,polyline,34,251,84,287,"34,35,39,60,66,80,84,84,77,68,53,43,38,34,34","278,275,271,251,251,257,261,272,278,282,287,287,285,280,278"
9,tumor,tumor_nonMitotic,tumor_any,polyline,246,306,300,334,"295,300,300,299,294,263,251,250,246,246,254,256,263,271,276,295","306,309,313,318,324,334,334,333,328,327,316,313,309,307,306,306"
10,tumor,tumor_nonMitotic,tumor_any,polyline,70,207,97,260,"70,81,87,94,96,97,97,86,71,70,70","236,214,207,214,221,248,253,260,253,247,236"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,321,220,368,255,"321,368,368,321,321","220,220,255,255,220"
12,tumor,tumor_nonMitotic,tumor_any,polyline,0,293,48,327,"48,46,44,20,10,5,0,0,3,22,27,39,45,48","296,314,317,327,326,324,321,317,312,301,298,293,293,296"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,96,280,138,314,"96,138,138,96,96","280,280,314,314,280"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,253,34,290,73,"253,290,290,253,253","34,34,73,73,34"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,194,97,234,127,"194,234,234,194,194","97,97,127,127,97"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,115,312,154,337,"115,154,154,115,115","312,312,337,337,312"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,214,262,244,282,"214,244,244,214,214","262,262,282,282,262"
