,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,34,214,72,263,"34,34,38,42,45,49,55,69,72,69,58,47,38,34","240,226,220,214,215,218,224,245,252,254,263,263,250,240"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,34,5,58,49,"34,58,58,34,34","5,5,49,49,5"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,123,310,153,349,"123,153,153,123,123","310,310,349,349,310"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,71,60,92,103,"89,92,85,84,71,71,73,76,77,79,85,89","64,76,96,98,103,94,76,67,64,60,60,64"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,165,106,192,145,"165,192,192,165,165","106,106,145,145,106"
5,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,123,219,155,251,"127,123,125,126,128,154,155,155,154,153,147,143,139,133,131,127","246,235,229,225,219,220,222,229,235,240,247,250,251,251,250,246"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,267,106,284,148,"267,284,284,267,267","106,106,148,148,106"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,322,194,348,230,"342,333,330,329,326,324,322,322,324,325,327,333,337,346,348,347,342","230,230,229,227,222,216,208,205,199,197,194,194,197,211,216,224,230"
8,lymphocyte,lymphocyte,sTIL,polyline,262,207,290,236,"266,268,275,278,289,290,290,288,284,277,270,263,262,263,266","209,207,207,209,221,227,229,232,236,235,231,225,220,215,209"
9,lymphocyte,lymphocyte,sTIL,rectangle,1,42,25,71,"1,25,25,1,1","42,42,71,71,42"
10,lymphocyte,lymphocyte,sTIL,polyline,69,100,95,128,"69,72,74,78,80,87,95,95,94,88,76,71,69","118,103,101,100,101,105,113,121,125,128,125,121,118"
11,lymphocyte,lymphocyte,sTIL,polyline,114,91,135,122,"135,135,126,120,115,114,114,116,123,135","95,113,122,122,117,111,97,94,91,95"
12,lymphocyte,lymphocyte,sTIL,polyline,121,117,146,144,"121,132,138,142,144,146,146,144,141,130,123,121,121","127,117,117,119,122,127,138,141,144,144,140,130,127"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,240,299,265,326,"240,265,265,240,240","299,299,326,326,299"
14,lymphocyte,lymphocyte,sTIL,polyline,256,35,282,60,"256,257,263,266,272,276,281,282,281,272,266,261,257,256","47,44,37,35,35,37,47,53,55,60,60,59,53,47"
15,lymphocyte,lymphocyte,sTIL,polyline,106,57,128,85,"116,125,126,128,125,114,108,106,108,109,114,116","57,59,63,81,85,85,79,65,63,62,58,57"
16,lymphocyte,lymphocyte,sTIL,rectangle,325,38,347,65,"325,347,347,325,325","38,38,65,65,38"
17,lymphocyte,lymphocyte,sTIL,polyline,208,28,232,54,"232,232,227,220,213,211,208,214,222,227,232","38,51,54,53,47,42,32,28,30,32,38"
18,lymphocyte,lymphocyte,sTIL,polyline,112,27,137,52,"112,114,119,125,130,135,137,137,135,116,112,112","41,36,27,27,30,33,41,47,52,52,47,41"
19,lymphocyte,lymphocyte,sTIL,rectangle,310,10,335,35,"310,335,335,310,310","10,10,35,35,10"
20,lymphocyte,lymphocyte,sTIL,polyline,304,64,326,90,"304,304,308,314,319,325,326,322,321,311,304","84,75,68,64,65,70,73,84,85,90,84"
21,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,130,194,154,216,"130,154,154,130,130","194,194,216,216,194"
22,lymphocyte,lymphocyte,sTIL,polyline,302,110,322,134,"322,322,320,316,309,302,302,305,311,318,322","112,129,132,134,134,127,114,110,110,111,112"
23,lymphocyte,lymphocyte,sTIL,rectangle,180,251,205,270,"180,205,205,180,180","251,251,270,270,251"
24,lymphocyte,lymphocyte,sTIL,rectangle,300,35,320,57,"300,320,320,300,300","35,35,57,57,35"
25,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,315,253,337,273,"315,337,337,315,315","253,253,273,273,253"
26,lymphocyte,lymphocyte,sTIL,rectangle,147,274,166,294,"147,166,166,147,147","274,274,294,294,274"
27,lymphocyte,lymphocyte,sTIL,rectangle,160,289,178,308,"160,178,178,160,160","289,289,308,308,289"
28,lymphocyte,lymphocyte,sTIL,rectangle,119,150,138,167,"119,138,138,119,119","150,150,167,167,150"
29,lymphocyte,lymphocyte,sTIL,rectangle,83,140,103,157,"83,103,103,83,83","140,140,157,157,140"
30,plasma_cell,plasma_cell,sTIL,rectangle,234,251,262,281,"234,262,262,234","251,251,281,281"
31,lymphocyte,lymphocyte,sTIL,rectangle,207,0,227,26,"207,227,227,207","0,0,26,26"
32,lymphocyte,lymphocyte,sTIL,rectangle,235,0,259,28,"235,259,259,235","0,0,28,28"
33,lymphocyte,lymphocyte,sTIL,rectangle,117,4,143,28,"117,143,143,117","4,4,28,28"
34,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,178,229,208,247,"178,208,208,178","229,229,247,247"
35,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,73,165,99,193,"73,99,99,73","165,165,193,193"
36,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,82,208,104,230,"82,104,104,82","208,208,230,230"
37,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,304,309,324,331,"304,324,324,304","309,309,331,331"
38,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,237,35,257,49,"237,257,257,237","35,35,49,49"
