,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,255,140,308,197,"272,259,256,255,255,256,265,276,288,293,299,304,308,308,306,300,297,286,272","197,194,188,182,156,150,144,140,140,141,146,156,167,179,183,189,192,197,197"
1,lymphocyte,lymphocyte,sTIL,rectangle,44,81,81,123,"44,81,81,44,44","81,81,123,123,81"
2,lymphocyte,lymphocyte,sTIL,rectangle,69,101,99,145,"69,99,99,69,69","101,101,145,145,101"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,266,66,297,107,"266,268,272,273,278,281,283,289,297,293,288,277,268,266,266","96,81,68,66,68,69,72,82,98,106,107,107,106,104,96"
4,lymphocyte,lymphocyte,sTIL,rectangle,97,203,126,239,"97,126,126,97,97","203,203,239,239,203"
5,lymphocyte,lymphocyte,sTIL,rectangle,216,225,252,254,"216,252,252,216,216","225,225,254,254,225"
6,lymphocyte,lymphocyte,sTIL,rectangle,132,84,164,118,"132,164,164,132,132","84,84,118,118,84"
7,lymphocyte,lymphocyte,sTIL,rectangle,178,33,209,68,"178,209,209,178,178","33,33,68,68,33"
8,lymphocyte,lymphocyte,sTIL,rectangle,144,4,174,38,"144,174,174,144,144","4,4,38,38,4"
9,lymphocyte,lymphocyte,sTIL,rectangle,117,59,152,88,"117,152,152,117,117","59,59,88,88,59"
10,lymphocyte,lymphocyte,sTIL,rectangle,1,278,33,309,"1,33,33,1,1","278,278,309,309,278"
11,lymphocyte,lymphocyte,sTIL,rectangle,209,141,239,173,"209,239,239,209,209","141,141,173,173,141"
12,lymphocyte,lymphocyte,sTIL,rectangle,165,152,197,179,"165,197,197,165,165","152,152,179,179,152"
13,lymphocyte,lymphocyte,sTIL,rectangle,198,69,225,101,"198,225,225,198,198","69,69,101,101,69"
14,lymphocyte,lymphocyte,sTIL,rectangle,287,25,319,52,"287,319,319,287,287","25,25,52,52,25"
15,lymphocyte,lymphocyte,sTIL,polyline,255,307,284,337,"255,262,266,272,281,284,284,281,276,272,266,259,257,256,255,255","318,308,307,307,308,312,316,330,335,337,337,334,333,330,327,318"
16,lymphocyte,lymphocyte,sTIL,rectangle,229,181,259,210,"229,259,259,229,229","181,181,210,210,181"
