,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,312,120,349,145,"315,349,349,317,315,314,312,314,315","120,130,135,145,142,139,134,126,120"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,288,55,357,109,"288,357,357,288,288","55,55,109,109,55"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,18,239,74,296,"18,74,74,18,18","239,239,296,296,239"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,147,207,191,266,"147,191,191,147,147","207,207,266,266,207"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,118,94,165,153,"118,165,165,118,118","94,94,153,153,94"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,212,78,253,137,"212,253,253,212,212","78,78,137,137,78"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,183,125,225,177,"183,225,225,183,183","125,125,177,177,125"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,316,160,358,211,"316,358,358,316,316","160,160,211,211,160"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,123,276,170,320,"123,170,170,123,123","276,276,320,320,276"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,0,119,50,156,"0,50,50,0,0","119,119,156,156,119"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,43,22,80,71,"43,80,80,43,43","22,22,71,71,22"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,18,69,57,113,"18,57,57,18,18","69,69,113,113,69"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,113,180,145,230,"113,145,145,113,113","180,180,230,230,180"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,244,290,288,324,"244,288,288,244,244","290,290,324,324,290"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,154,168,193,207,"154,193,193,154,154","168,168,207,207,168"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,110,39,144,83,"110,144,144,110,110","39,39,83,83,39"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,95,257,129,298,"95,129,129,95,95","257,257,298,298,257"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,171,66,196,115,"171,196,196,171,171","66,66,115,115,66"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,250,83,279,130,"250,279,279,250,250","83,83,130,130,83"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,194,296,234,325,"194,234,234,194,194","296,296,325,325,296"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,285,244,315,284,"285,315,315,285,285","244,244,284,284,244"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,69,107,106,134,"69,106,106,69,69","107,107,134,134,107"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,37,118,62,150,"37,62,62,37,37","118,118,150,150,118"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,73,185,97,215,"73,97,97,73,73","185,185,215,215,185"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,311,11,338,38,"311,338,338,311,311","11,11,38,38,11"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,290,24,310,56,"290,310,310,290,290","24,24,56,56,24"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,272,11,294,43,"272,294,294,272,272","11,11,43,43,11"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,258,31,283,58,"258,283,283,258,258","31,31,58,58,31"
28,tumor,tumor_nonMitotic,tumor_any,rectangle,149,71,174,98,"149,174,174,149,149","71,71,98,98,71"
29,tumor,tumor_nonMitotic,tumor_any,rectangle,90,148,110,178,"90,110,110,90,90","148,148,178,178,148"
30,tumor,tumor_nonMitotic,tumor_any,rectangle,69,81,96,103,"69,96,96,69,69","81,81,103,103,81"
31,plasma_cell,plasma_cell,sTIL,rectangle,316,302,341,322,"316,341,341,316,316","302,302,322,322,302"
