,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,171,311,190,323,"171,190,190,171,171","311,311,323,323,311"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,212,36,244,68,"244,244,234,226,221,216,215,212,212,215,221,231,237,244","62,68,67,62,58,52,50,43,39,36,36,41,47,62"
2,plasma_cell,plasma_cell,sTIL,polyline,145,156,179,198,"171,168,164,155,145,145,147,150,153,159,172,177,179,177,173,171","197,198,197,190,176,171,164,159,158,156,156,161,169,177,190,197"
3,plasma_cell,plasma_cell,sTIL,polyline,213,97,245,124,"226,238,243,244,245,245,244,237,229,222,220,213,213,218,226","97,97,100,102,109,112,117,124,124,120,117,107,102,100,97"
4,plasma_cell,plasma_cell,sTIL,polyline,118,209,151,242,"118,118,119,124,132,143,148,151,151,148,135,130,125,118","231,223,220,212,209,210,212,213,224,231,242,241,237,231"
5,plasma_cell,plasma_cell,sTIL,polyline,116,166,152,208,"152,150,135,118,116,116,119,125,130,135,137,150,152","201,208,207,203,201,199,183,172,166,169,172,196,201"
6,lymphocyte,lymphocyte,sTIL,polyline,268,112,296,149,"296,295,288,286,280,274,269,268,268,269,271,280,287,290,292,296","144,149,149,148,142,132,123,120,117,115,112,117,123,127,132,144"
7,plasma_cell,plasma_cell,sTIL,polyline,215,228,259,269,"256,223,217,216,215,215,220,222,226,236,249,254,259,259,256","269,268,266,264,261,258,246,242,239,234,228,230,236,242,269"
8,lymphocyte,lymphocyte,sTIL,polyline,268,225,302,268,"286,296,301,302,301,298,292,285,281,268,268,269,271,275,280,286","225,240,251,256,258,262,268,268,266,256,244,237,233,230,228,225"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,304,31,373,66,"304,373,373,304,304","31,31,66,66,31"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,299,3,361,30,"299,361,361,299,299","3,3,30,30,3"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,0,0,51,50,"0,51,51,0,0","0,0,50,50,0"
12,plasma_cell,plasma_cell,sTIL,rectangle,163,234,205,256,"163,205,205,163,163","234,234,256,256,234"
13,lymphocyte,lymphocyte,sTIL,rectangle,188,47,220,74,"188,220,220,188,188","47,47,74,74,47"
14,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,6,298,50,334,"6,50,50,6,6","298,298,334,334,298"
15,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,43,177,82,199,"43,82,82,43,43","177,177,199,199,177"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,60,207,87,222,"60,87,87,60,60","207,207,222,222,207"
17,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,32,99,51,123,"32,51,51,32,32","99,99,123,123,99"
18,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,182,133,201,155,"182,201,201,182,182","133,133,155,155,133"
19,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,89,46,109,68,"89,109,109,89,89","46,46,68,68,46"
20,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,215,172,232,192,"215,232,232,215,215","172,172,192,192,172"
21,lymphocyte,lymphocyte,sTIL,polyline,266,159,312,203,"299,312,312,311,301,295,270,266,266,269,270,274,281,295,299","160,188,196,197,203,203,191,187,177,171,169,165,163,159,160"
22,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,186,208,218,228,"186,218,218,186,186","208,208,228,228,208"
23,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,195,196,210,208,"195,210,210,195,195","196,196,208,208,196"
24,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,239,116,259,143,"239,259,259,239,239","116,116,143,143,116"
25,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,304,75,329,102,"304,329,329,304,304","75,75,102,102,75"
26,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,17,144,51,179,"17,51,51,17,17","144,144,179,179,144"
27,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,274,209,323,258,"274,323,323,274,274","209,209,258,258,209"
28,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,179,253,204,278,"179,204,204,179,179","253,253,278,278,253"
