,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,lymphocyte,lymphocyte,sTIL,polyline,185,298,215,317,"190,185,194,206,209,215,215,211,206,193,190","313,303,298,298,301,308,309,314,317,314,313"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,51,240,182,290,"51,182,182,51,51","240,240,290,290,240"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,0,183,91,217,"0,91,91,0,0","183,183,217,217,183"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,222,312,303,351,"222,303,303,222,222","312,312,351,351,312"
4,lymphocyte,lymphocyte,sTIL,rectangle,120,285,167,307,"120,167,167,120,120","285,285,307,307,285"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,320,38,392,84,"320,392,392,320,320","38,38,84,84,38"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,99,0,158,59,"99,158,158,99,99","0,0,59,59,0"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,228,75,287,131,"228,287,287,228,228","75,75,131,131,75"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,188,76,247,130,"188,247,247,188,188","76,76,130,130,76"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,141,64,193,118,"141,193,193,141,141","64,64,118,118,64"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,121,45,168,89,"121,168,168,121,121","45,45,89,89,45"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,129,158,175,190,"129,175,175,129,129","158,158,190,190,158"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,336,242,380,271,"336,380,380,336,336","242,242,271,271,242"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,232,206,269,236,"232,269,269,232,232","206,206,236,236,206"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,264,100,301,130,"264,301,301,264,264","100,100,130,130,100"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,189,39,243,76,"189,243,243,189,189","39,39,76,76,39"
