,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,30,247,51,274,"30,50,51,31","248,247,273,274"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,10,59,75,115,"14,25,36,71,75,75,72,68,63,55,44,41,28,23,13,10,10,12,14","59,59,63,84,88,91,105,112,115,115,110,109,102,97,83,79,68,61,59"
2,macrophage,macrophage,nonTIL_stromal,polyline,231,312,272,379,"231,231,238,254,261,264,272,272,269,262,254,246,237,231","362,331,325,312,312,315,346,354,363,372,377,379,374,362"
3,macrophage,macrophage,nonTIL_stromal,rectangle,121,75,178,126,"121,178,178,121,121","75,75,126,126,75"
4,macrophage,macrophage,nonTIL_stromal,polyline,171,158,227,206,"176,171,174,184,209,224,226,227,225,220,219,209,190,184,176","200,169,165,158,158,165,169,174,183,194,197,206,204,203,200"
5,macrophage,macrophage,nonTIL_stromal,polyline,283,253,341,298,"337,341,336,333,324,319,315,298,291,288,284,283,283,289,294,306,314,319,322,337","258,266,274,278,288,291,294,298,298,296,294,290,285,277,272,262,257,254,253,258"
6,macrophage,macrophage,nonTIL_stromal,polyline,184,1,240,45,"230,219,205,193,188,184,184,190,198,231,234,238,240,237,230","45,45,42,39,34,23,17,8,1,7,8,13,17,26,45"
7,macrophage,macrophage,nonTIL_stromal,rectangle,190,204,232,258,"190,232,232,190,190","204,204,258,258,204"
8,macrophage,macrophage,nonTIL_stromal,polyline,132,7,169,57,"169,169,168,162,161,155,150,147,142,135,132,132,135,136,139,141,147,151,157,162,163,169","24,36,40,55,57,56,55,54,50,42,36,24,14,10,8,7,7,8,12,15,17,24"
9,macrophage,macrophage,nonTIL_stromal,rectangle,19,19,71,49,"19,71,71,19,19","19,19,49,49,19"
10,macrophage,macrophage,nonTIL_stromal,rectangle,246,146,290,185,"246,290,290,246,246","146,146,185,185,146"
11,macrophage,macrophage,nonTIL_stromal,rectangle,243,91,285,132,"243,285,285,243,243","91,91,132,132,91"
12,macrophage,macrophage,nonTIL_stromal,polyline,219,201,262,241,"262,262,258,254,248,238,230,222,219,219,226,229,241,253,254,259,262","220,230,235,238,241,240,238,232,226,213,208,206,201,201,203,210,220"
13,plasma_cell,plasma_cell,sTIL,polyline,1,284,47,316,"42,18,7,1,1,2,9,18,24,34,44,47,47,42","314,316,312,306,293,291,287,284,284,287,293,296,309,314"
14,macrophage,macrophage,nonTIL_stromal,rectangle,235,246,284,273,"235,284,284,235,235","246,246,273,273,246"
15,plasma_cell,plasma_cell,sTIL,polyline,231,24,275,54,"257,269,271,274,275,274,271,266,261,254,241,238,234,232,231,231,232,238,241,247,251,257","24,29,30,35,38,41,46,51,52,54,51,50,46,45,41,35,33,29,28,25,24,24"
16,macrophage,macrophage,nonTIL_stromal,polyline,132,167,174,199,"174,174,172,168,161,151,141,135,132,132,135,147,169,172,174","179,185,197,198,199,199,194,184,174,169,167,167,169,172,179"
17,lymphocyte,lymphocyte,sTIL,polyline,280,166,316,201,"315,316,316,310,303,291,287,285,283,280,284,290,296,301,304,309,315","179,188,192,195,199,201,198,197,190,177,172,166,166,167,168,172,179"
