,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,254,112,300,136,"254,300,300,254","112,112,136,136"
1,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,308,84,336,118,"308,336,336,308","84,84,118,118"
2,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,244,0,280,18,"244,280,280,244","0,0,18,18"
3,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,203,2,239,36,"203,239,239,203","2,2,36,36"
4,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,184,22,218,46,"184,218,218,184","22,22,46,46"
5,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,202,162,236,192,"202,236,236,202","162,162,192,192"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,19,286,65,318,"19,65,65,19","286,286,318,318"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,218,224,321,248,"218,321,321,218,218","224,224,248,248,224"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,234,285,288,339,"234,288,288,234,234","285,285,339,339,285"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,306,168,365,213,"306,365,365,306,306","168,168,213,213,168"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,134,214,183,248,"134,183,183,134,134","214,214,248,248,214"
11,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,197,62,226,101,"197,226,226,197,197","62,62,101,101,62"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,130,323,162,355,"130,162,162,130,130","323,323,355,355,323"
13,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,167,187,199,219,"167,199,199,167,167","187,187,219,219,187"
