,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,macrophage,macrophage,nonTIL_stromal,rectangle,84,121,121,170,"84,121,121,84,84","121,121,170,170,121"
1,macrophage,macrophage,nonTIL_stromal,polyline,234,247,284,276,"248,240,237,234,237,239,247,252,258,265,270,281,284,280,271,248","276,273,269,264,254,251,248,247,247,248,251,258,264,269,273,276"
2,lymphocyte,lymphocyte,sTIL,polyline,185,163,222,200,"222,211,204,190,185,185,190,196,203,208,209,216,221,222","194,200,199,184,178,171,163,163,164,166,168,175,181,194"
3,lymphocyte,lymphocyte,sTIL,rectangle,159,103,191,140,"159,191,191,159,159","103,103,140,140,103"
4,lymphocyte,lymphocyte,sTIL,polyline,115,253,146,289,"136,126,123,120,118,116,115,115,116,120,134,140,146,145,141,136","289,289,285,281,274,269,263,261,258,257,253,261,278,281,285,289"
5,plasma_cell,plasma_cell,sTIL,rectangle,76,273,115,298,"76,115,115,76,76","273,273,298,298,273"
6,lymphocyte,lymphocyte,sTIL,polyline,161,178,193,211,"193,190,185,181,175,170,166,162,161,164,167,175,181,185,193","191,205,209,211,211,210,209,200,195,188,183,179,178,180,191"
7,lymphocyte,lymphocyte,sTIL,polyline,42,324,76,356,"42,45,47,56,62,67,72,74,76,76,73,72,61,54,45,42","345,331,329,324,324,325,336,343,347,350,355,356,355,354,350,345"
8,lymphocyte,lymphocyte,sTIL,polyline,63,44,100,71,"63,64,68,74,87,92,99,100,94,92,88,71,63,63","64,56,50,44,44,45,50,51,64,67,70,71,70,64"
9,lymphocyte,lymphocyte,sTIL,rectangle,11,143,38,180,"11,38,38,11,11","143,143,180,180,143"
10,lymphocyte,lymphocyte,sTIL,rectangle,43,271,71,308,"43,71,71,43,43","271,271,308,308,271"
11,lymphocyte,lymphocyte,sTIL,polyline,223,277,253,312,"249,234,228,224,223,223,224,226,233,240,245,249,252,253,253,249","312,312,305,300,297,285,283,282,278,277,278,283,289,303,309,312"
12,lymphocyte,lymphocyte,sTIL,polyline,260,0,291,34,"291,291,288,286,269,262,260,260,264,268,271,280,283,291","9,19,31,34,30,26,19,15,8,3,0,3,4,9"
13,lymphocyte,lymphocyte,sTIL,polyline,307,271,340,303,"316,322,332,335,338,340,340,336,335,325,321,311,309,307,307,312,316","271,271,276,279,285,288,290,297,298,303,302,297,294,285,282,274,271"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,204,59,237,91,"204,237,237,204,204","59,59,91,91,59"
15,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,150,87,190,109,"150,190,190,150,150","87,87,109,109,87"
16,lymphocyte,lymphocyte,sTIL,polyline,162,223,196,253,"164,162,169,173,180,187,191,196,196,183,175,167,165,164","250,233,226,223,223,226,230,236,246,252,253,253,252,250"
17,lymphocyte,lymphocyte,sTIL,polyline,113,304,142,338,"142,140,133,131,126,121,115,113,113,116,118,128,134,138,141,142","315,326,336,338,336,333,326,321,318,310,309,304,304,305,310,315"
18,lymphocyte,lymphocyte,sTIL,polyline,302,83,331,117,"302,304,306,310,316,319,325,328,331,331,327,324,317,309,302","104,91,87,83,83,85,88,91,95,102,113,117,117,111,104"
19,lymphocyte,lymphocyte,sTIL,polyline,216,221,248,251,"216,219,232,238,243,244,247,248,248,242,238,227,223,219,217,216","236,228,221,222,226,228,236,241,242,248,251,250,248,245,241,236"
20,lymphocyte,lymphocyte,sTIL,polyline,243,185,275,215,"243,244,247,258,264,271,275,274,273,268,260,255,249,248,245,243","196,189,188,185,185,190,194,201,205,211,215,214,211,210,204,196"
21,lymphocyte,lymphocyte,sTIL,polyline,263,160,294,191,"263,265,266,270,273,279,283,290,291,294,293,291,285,274,269,266,264,263","171,165,164,161,160,160,161,165,166,171,183,185,191,191,188,185,179,171"
22,lymphocyte,lymphocyte,sTIL,polyline,305,126,340,152,"331,340,338,336,326,321,307,305,309,310,319,325,331","127,135,143,145,150,152,150,145,135,133,127,126,127"
23,lymphocyte,lymphocyte,sTIL,polyline,74,221,102,254,"74,74,77,80,84,90,98,102,99,97,87,80,78,74","246,233,227,223,221,221,228,235,246,250,254,253,252,246"
24,lymphocyte,lymphocyte,sTIL,polyline,74,315,109,340,"109,103,82,78,74,74,76,79,85,92,98,104,105,109","328,340,340,338,334,330,325,320,315,315,316,320,321,328"
25,lymphocyte,lymphocyte,sTIL,polyline,264,312,290,345,"274,266,264,264,265,268,270,278,284,289,290,290,288,285,274","345,341,334,328,324,318,315,312,312,315,324,336,343,345,345"
26,lymphocyte,lymphocyte,sTIL,polyline,271,279,300,310,"273,271,273,276,283,291,294,297,299,300,295,289,278,273","303,288,282,279,279,283,284,289,293,300,307,310,309,303"
27,lymphocyte,lymphocyte,sTIL,polyline,217,99,247,129,"217,223,234,239,242,247,245,243,234,232,222,218,217","121,111,99,101,102,114,118,122,128,129,128,126,121"
28,lymphocyte,lymphocyte,sTIL,polyline,149,251,171,285,"157,150,149,149,151,155,157,161,166,170,171,169,157","285,284,273,261,254,252,251,252,257,264,271,277,285"
29,lymphocyte,lymphocyte,sTIL,rectangle,82,252,116,274,"82,116,116,82,82","252,252,274,274,252"
30,lymphocyte,lymphocyte,sTIL,polyline,226,28,255,56,"228,226,228,238,244,247,253,254,255,254,249,248,240,237,231,228","51,31,30,28,28,29,33,34,40,45,55,56,56,55,52,51"
31,lymphocyte,lymphocyte,sTIL,polyline,265,114,294,144,"265,273,280,286,290,291,294,294,293,291,289,288,285,275,270,266,265,265","126,118,114,114,116,118,128,130,135,138,142,143,144,143,142,138,133,126"
32,lymphocyte,lymphocyte,sTIL,polyline,274,215,302,243,"301,302,302,300,295,291,283,275,274,278,281,284,291,295,301","222,227,233,240,242,243,242,240,237,227,221,219,215,216,222"
33,lymphocyte,lymphocyte,sTIL,polyline,165,326,198,349,"169,165,170,176,182,188,196,198,196,190,176,169","344,333,328,326,326,328,333,338,345,349,349,344"
34,lymphocyte,lymphocyte,sTIL,polyline,94,206,121,235,"94,100,107,113,119,120,121,121,120,116,109,102,97,95,94","216,206,206,207,210,211,217,225,231,235,235,231,225,222,216"
35,lymphocyte,lymphocyte,sTIL,polyline,248,216,276,243,"248,248,250,255,262,268,270,275,276,274,268,258,248","238,227,222,216,216,217,219,222,231,241,243,243,238"
36,lymphocyte,lymphocyte,sTIL,polyline,284,183,311,211,"295,305,307,310,311,310,306,299,290,288,284,285,289,295","184,183,184,188,199,201,205,211,211,209,197,195,190,184"
37,lymphocyte,lymphocyte,sTIL,polyline,10,341,40,366,"18,23,36,40,40,37,35,27,17,12,10,11,14,18","344,341,341,345,346,357,361,366,366,364,361,356,351,344"
38,lymphocyte,lymphocyte,sTIL,polyline,119,128,147,154,"145,135,126,121,119,119,121,128,138,144,147,147,146,145","153,154,153,150,143,130,128,128,132,137,140,145,150,153"
39,lymphocyte,lymphocyte,sTIL,polyline,173,268,200,297,"173,175,178,186,192,197,200,200,198,196,188,181,180,173,173","278,274,272,268,268,272,274,281,284,289,297,295,294,284,278"
40,lymphocyte,lymphocyte,sTIL,rectangle,138,103,157,135,"138,157,157,138,138","103,103,135,135,103"
