,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,272,143,356,212,"272,356,356,272,272","143,143,212,212,143"
1,tumor,tumor_nonMitotic,tumor_any,polyline,209,287,277,350,"277,277,274,248,244,211,209,209,216,221,229,250,255,269,273,274,277","328,338,350,345,344,336,331,323,307,301,296,287,290,307,312,315,328"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,66,42,137,94,"66,137,137,66,66","42,42,94,94,42"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,42,252,104,311,"42,104,104,42,42","252,252,311,311,252"
4,tumor,tumor_nonMitotic,tumor_any,polyline,142,44,199,92,"142,146,153,161,173,184,188,198,199,199,195,190,173,165,156,147,146,142,142","62,53,48,44,44,48,50,70,81,86,90,92,92,90,86,80,79,74,62"
5,tumor,tumor_nonMitotic,tumor_any,polyline,171,0,224,48,"178,182,194,200,209,211,215,216,221,223,224,223,221,211,199,184,177,174,173,171,171,173,178","4,0,0,1,5,6,9,10,22,26,32,38,39,48,48,47,44,42,38,25,20,13,4"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,229,210,278,261,"229,278,278,229,229","210,210,261,261,210"
7,tumor,tumor_nonMitotic,tumor_any,polyline,132,241,179,292,"145,140,134,132,132,134,152,158,163,167,172,179,179,178,174,172,166,145","292,289,269,264,254,253,241,241,243,245,249,259,261,266,278,282,292,292"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,5,200,50,252,"5,50,50,5,5","200,200,252,252,200"
9,tumor,tumor_nonMitotic,tumor_any,polyline,55,142,100,192,"55,55,56,60,66,73,82,94,98,100,100,98,94,92,84,79,76,67,62,56,55","181,171,165,157,149,144,142,142,144,158,162,171,179,181,187,191,192,191,190,185,181"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,7,137,49,184,"7,49,49,7,7","137,137,184,184,137"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,190,226,230,270,"190,230,230,190,190","226,226,270,270,226"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,94,201,141,236,"94,141,141,94,94","201,201,236,236,201"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,271,217,323,242,"271,323,323,271,271","217,217,242,242,217"
14,tumor,tumor_nonMitotic,tumor_any,polyline,293,21,326,67,"298,303,309,323,326,326,325,323,320,308,302,300,298,295,293,295,298","25,21,21,22,28,36,41,48,53,67,65,64,60,52,34,28,25"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,303,297,332,344,"303,332,332,303,303","297,297,344,344,297"
16,tumor,tumor_nonMitotic,tumor_any,polyline,92,226,129,264,"98,103,109,119,128,129,129,125,121,113,107,93,92,95,98","228,226,226,234,243,252,255,263,264,263,260,247,239,232,228"
17,tumor,tumor_nonMitotic,tumor_any,polyline,256,120,290,158,"281,271,263,261,260,257,256,257,260,265,269,276,282,284,285,289,290,282,281","158,158,157,155,154,147,141,136,127,122,120,120,125,127,129,138,144,157,158"
18,tumor,tumor_nonMitotic,tumor_any,polyline,141,310,173,344,"141,145,152,158,165,167,172,173,172,170,165,156,151,146,141,141","332,319,310,310,311,312,321,329,334,338,344,344,343,340,334,332"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,149,213,183,245,"149,183,183,149,149","213,213,245,245,213"
20,mitotic_figure,tumor_mitotic,tumor_any,polyline,202,165,239,194,"202,202,204,209,215,220,236,239,239,237,231,223,218,214,207,202","181,171,169,165,165,166,176,181,184,189,194,194,192,191,186,181"
21,tumor,tumor_nonMitotic,tumor_any,polyline,320,105,351,139,"320,323,324,327,334,339,345,346,348,350,351,346,341,337,335,327,325,321,320,320","123,113,111,108,106,105,105,106,111,116,123,132,136,138,139,139,138,134,131,123"
22,tumor,tumor_nonMitotic,tumor_any,polyline,298,76,331,108,"298,298,300,304,325,331,331,325,315,308,303,298","100,91,81,76,79,81,97,104,108,108,107,100"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,266,247,295,274,"266,295,295,266,266","247,247,274,274,247"
24,tumor,tumor_nonMitotic,tumor_any,polyline,0,286,34,308,"2,0,2,4,16,26,34,34,31,25,16,7,2","302,291,289,286,286,289,292,300,305,308,308,305,302"
25,tumor,tumor_nonMitotic,tumor_any,polyline,263,71,287,104,"267,276,281,284,285,287,285,283,277,271,266,265,263,265,267","80,71,73,75,76,84,91,99,104,102,101,99,94,86,80"
26,tumor,tumor_nonMitotic,tumor_any,polyline,137,123,162,154,"145,150,158,162,162,160,158,156,153,144,140,137,137,139,145","126,123,128,136,142,148,150,153,154,153,150,142,136,132,126"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,79,99,112,118,"79,112,112,79,79","99,99,118,118,99"
