,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,43,188,112,243,"43,43,47,48,54,66,91,110,111,112,111,107,104,101,96,61,51,43","232,195,189,188,188,190,199,209,211,215,226,235,239,240,241,243,243,232"
1,tumor,tumor_nonMitotic,tumor_any,polyline,221,120,253,187,"222,221,222,231,237,240,252,253,253,251,228,225,222","168,131,126,120,120,121,158,173,178,181,187,183,168"
2,tumor,tumor_nonMitotic,tumor_any,polyline,3,82,52,127,"5,3,6,9,14,22,29,35,46,49,52,52,51,47,45,42,33,22,19,14,10,9,5","115,104,97,93,88,82,82,83,90,97,104,113,116,121,124,125,127,127,126,124,121,120,115"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,195,239,241,256,"195,196,198,203,221,227,236,241,241,233,201,198,195","251,243,242,239,239,240,245,248,253,256,256,253,251"
4,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,112,203,147,227,"112,114,132,145,147,145,143,137,128,120,112,112","222,210,203,203,208,214,216,226,227,227,226,222"
5,tumor,tumor_nonMitotic,tumor_any,polyline,256,119,306,185,"256,258,261,267,277,280,293,296,304,305,306,298,293,290,267,262,259,256,256","124,120,119,119,120,124,141,147,168,173,185,184,183,182,168,163,153,130,124"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,178,19,254,63,"178,254,254,178,178","19,19,63,63,19"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,68,105,132,142,"68,132,132,68,68","105,105,142,142,105"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,69,68,126,108,"69,126,126,69,69","68,68,108,108,68"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,73,0,130,35,"73,130,130,73,73","0,0,35,35,0"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,21,45,70,84,"21,70,70,21,21","45,45,84,84,45"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,162,36,209,66,"162,209,209,162,162","36,36,66,66,36"
12,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,299,72,323,106,"299,323,323,299,299","72,72,106,106,72"
