,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,327,115,409,182,"327,328,374,388,391,397,402,406,407,409,407,395,390,383,370,360,357,349,332,331,327,327","120,115,115,116,118,121,126,131,136,151,153,168,173,177,182,181,179,176,166,164,148,120"
1,tumor,tumor_nonMitotic,tumor_any,polyline,285,104,348,179,"285,285,289,290,293,301,316,320,323,332,341,348,344,332,326,285","162,145,132,130,126,119,108,105,104,105,109,114,173,179,179,162"
2,tumor,tumor_nonMitotic,tumor_any,polyline,137,215,202,288,"137,140,163,165,170,178,185,190,196,199,202,202,201,194,186,180,173,156,149,146,142,141,137","261,248,224,221,219,216,215,216,225,230,246,264,267,279,284,288,288,287,284,282,278,274,261"
3,tumor,tumor_nonMitotic,tumor_any,polyline,240,206,305,274,"240,241,244,263,275,305,301,296,278,274,272,262,256,247,243,241,240,240","243,209,206,206,211,224,236,251,271,273,274,274,273,271,266,257,248,243"
4,tumor,tumor_nonMitotic,tumor_any,polyline,1,188,61,257,"61,11,10,9,1,3,28,46,52,57,61","257,257,256,252,215,210,195,188,188,189,257"
5,tumor,tumor_nonMitotic,tumor_any,polyline,116,95,185,153,"116,116,117,119,121,130,137,143,164,174,182,183,185,185,179,173,152,146,141,130,124,119,116","136,115,106,103,100,97,95,95,100,104,109,110,118,124,142,146,153,153,152,146,142,139,136"
6,tumor,tumor_nonMitotic,tumor_any,polyline,6,60,72,120,"6,12,41,43,56,64,72,72,69,68,64,54,49,40,31,24,20,16,14,9,6","87,81,61,60,60,62,93,98,108,110,114,118,119,120,119,118,116,113,108,95,87"
7,tumor,tumor_nonMitotic,tumor_any,polyline,291,266,351,329,"298,315,327,342,344,348,349,351,351,348,344,343,337,323,310,306,301,294,291,291,294,298","279,266,266,269,272,280,284,292,304,313,321,322,325,329,326,325,321,306,300,294,284,279"
8,tumor,tumor_nonMitotic,tumor_any,polyline,286,42,344,105,"301,320,325,331,338,343,344,344,337,332,331,316,302,298,289,286,286,289,295,298,301","50,44,42,42,44,51,57,76,90,99,100,105,104,103,99,73,72,67,57,53,50"
9,tumor,tumor_nonMitotic,tumor_any,polyline,58,315,124,367,"90,62,59,58,58,59,62,66,100,116,121,124,124,122,116,109,90","367,363,359,354,332,322,317,315,317,320,325,330,342,351,361,364,367"
10,tumor,tumor_nonMitotic,tumor_any,polyline,238,298,299,353,"298,299,299,294,286,283,278,270,257,254,243,241,238,240,241,243,249,268,290,298","310,327,340,347,351,352,353,352,347,346,335,330,313,309,306,303,298,298,300,310"
11,tumor,tumor_nonMitotic,tumor_any,polyline,201,141,260,197,"201,201,206,219,222,236,242,249,254,257,259,260,259,257,248,238,231,217,214,212,205,202,201","160,156,151,146,145,141,141,146,152,156,161,166,173,181,189,194,197,197,194,193,177,171,160"
12,tumor,tumor_nonMitotic,tumor_any,polyline,0,137,59,190,"0,0,1,4,12,19,25,46,51,52,57,59,58,56,47,35,25,19,0","169,156,153,150,137,137,139,143,146,147,153,160,164,169,185,190,190,188,169"
13,tumor,tumor_nonMitotic,tumor_any,polyline,114,3,168,58,"126,143,161,168,168,167,163,158,152,149,147,137,125,116,114,114,116,126","14,3,9,16,25,29,37,47,55,57,58,58,57,52,44,31,27,14"
14,tumor,tumor_nonMitotic,tumor_any,polyline,199,258,243,320,"199,199,200,209,212,215,238,242,243,243,242,238,230,221,201,199","308,283,278,264,259,258,261,269,274,298,301,310,317,320,310,308"
15,tumor,tumor_nonMitotic,tumor_any,polyline,237,81,283,129,"254,248,243,240,238,237,237,238,242,244,249,267,273,280,283,283,281,280,279,273,269,254","129,127,123,116,114,109,103,97,85,83,82,81,81,93,98,116,120,123,124,127,129,129"
16,tumor,tumor_nonMitotic,tumor_any,polyline,302,219,346,253,"302,305,330,336,343,346,343,342,335,328,315,310,306,305,302","235,225,219,219,222,235,242,245,251,253,253,251,248,245,235"
17,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,117,285,153,326,"117,119,124,128,130,136,141,147,151,153,153,152,146,143,132,124,117","317,308,295,287,285,285,287,289,293,300,303,315,320,321,326,326,317"
18,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,79,135,109,174,"79,79,82,83,86,94,100,105,107,109,106,105,103,100,93,84,80,79","162,158,146,143,140,135,135,136,143,150,163,168,172,174,174,171,167,162"
19,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,66,21,100,48,"88,79,74,67,66,66,69,93,99,100,96,88","48,48,47,45,40,31,21,21,26,35,40,48"
20,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,66,283,85,304,"72,67,66,66,68,74,77,80,84,85,85,84,79,72","304,303,299,289,283,283,284,287,290,294,296,299,301,304"
