,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,0,172,64,208,"62,64,64,61,59,48,40,32,18,15,9,2,0,0,2,4,14,21,40,45,53,62","184,192,195,203,204,208,208,207,202,200,195,189,187,182,177,176,173,172,172,173,178,184"
1,plasma_cell,plasma_cell,sTIL,polyline,100,216,129,241,"100,128,129,128,124,113,100","241,216,224,230,235,241,241"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,198,234,240,286,"198,198,202,205,218,225,231,236,237,239,240,232,230,223,214,205,198","284,265,256,250,237,234,234,237,238,247,263,277,279,284,286,285,284"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,284,143,339,205,"333,307,299,298,294,288,285,284,284,287,288,293,311,314,326,329,333,337,339,339,333","205,205,200,199,194,184,177,171,166,148,146,143,143,144,151,154,159,168,187,195,205"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,10,285,58,331,"15,26,36,45,52,54,58,56,54,52,43,27,25,14,11,10,11,15","286,285,288,291,299,302,323,328,329,331,328,323,321,302,296,290,288,286"
5,plasma_cell,plasma_cell,sTIL,polyline,46,268,85,301,"46,46,47,48,59,62,72,78,81,84,85,80,77,67,56,53,46","291,286,281,278,270,269,268,270,273,281,294,300,301,301,300,299,291"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,183,130,217,167,"183,186,188,196,204,207,210,217,212,201,194,186,183,183","151,134,130,132,134,135,139,155,160,167,167,159,154,151"
7,plasma_cell,plasma_cell,sTIL,polyline,236,124,268,164,"236,237,244,250,256,261,266,268,268,266,261,257,248,246,241,239,236","140,134,128,124,124,125,132,135,143,155,162,164,162,161,155,150,140"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,45,0,79,40,"45,79,79,45,45","0,0,40,40,0"
9,lymphocyte,lymphocyte,sTIL,rectangle,182,183,197,210,"182,197,197,182,182","183,183,210,210,183"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,223,320,264,356,"223,264,264,223,223","320,320,356,356,320"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,57,307,84,342,"57,84,84,57,57","307,307,342,342,307"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,10,204,79,241,"10,79,79,10,10","204,204,241,241,204"
