,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,56,242,94,286,"56,94,94,56","242,242,286,286"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,99,180,151,240,"99,151,151,99","180,180,240,240"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,155,109,215,173,"155,215,215,155","109,109,173,173"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,232,193,306,249,"232,306,306,232","193,193,249,249"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,91,90,131,136,"91,131,131,91","90,90,136,136"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,53,0,103,56,"53,103,103,53","0,0,56,56"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,52,124,102,176,"52,102,102,52","124,124,176,176"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,22,141,66,183,"22,66,66,22","141,141,183,183"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,0,113,40,151,"0,40,40,0","113,113,151,151"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,17,99,59,135,"17,59,59,17","99,99,135,135"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,110,33,144,61,"110,144,144,110","33,33,61,61"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,120,69,166,103,"120,166,166,120","69,69,103,103"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,286,297,352,349,"286,352,352,286","297,297,349,349"
13,lymphocyte,lymphocyte,sTIL,rectangle,183,294,217,330,"183,217,217,183","294,294,330,330"
14,lymphocyte,lymphocyte,sTIL,rectangle,175,56,209,96,"175,209,209,175","56,56,96,96"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,296,42,350,86,"296,350,350,296","42,42,86,86"
16,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,188,25,264,65,"188,264,264,188","25,25,65,65"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,131,258,177,302,"131,177,177,131","258,258,302,302"
18,tumor,tumor_nonMitotic,tumor_any,polyline,25,278,68,317,"58,36,25,25,29,35,41,63,68,68,67,58","317,317,298,290,278,278,280,287,292,298,304,317"
