,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,82,133,122,201,"106,96,86,82,82,83,91,97,103,116,120,121,122,122,121,120,119,117,108,106","201,200,183,175,169,160,145,138,133,133,136,140,145,165,177,184,189,191,200,201"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,82,302,134,361,"132,134,134,132,130,125,119,101,96,88,83,82,82,83,87,90,95,120,125,132","314,321,336,343,348,353,355,361,360,358,350,325,314,310,306,305,303,302,306,314"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,238,132,306,170,"238,306,306,238,238","132,132,170,170,132"
3,tumor,tumor_nonMitotic,tumor_any,polyline,267,0,320,48,"267,268,272,275,297,302,313,319,320,320,319,316,306,300,291,275,270,267","28,10,2,0,4,5,10,24,29,34,40,44,48,48,44,36,34,28"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,302,63,367,91,"354,315,308,302,304,306,310,313,338,354,360,364,367,364,363,354","91,91,86,80,77,70,65,63,63,65,68,72,77,86,87,91"
5,tumor,tumor_nonMitotic,tumor_any,polyline,174,64,222,113,"179,198,211,216,221,222,222,218,217,211,204,200,192,185,184,175,174,174,178,179","78,64,64,65,72,75,82,99,102,108,112,113,112,108,107,91,88,84,79,78"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,163,116,205,164,"163,205,205,163,163","116,116,164,164,116"
7,tumor,tumor_nonMitotic,tumor_any,polyline,224,54,270,98,"234,227,226,224,226,233,236,238,245,255,261,268,270,270,265,255,234","98,98,96,86,79,60,57,54,54,57,62,69,79,89,92,94,98"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,171,161,204,206,"171,204,204,171,171","161,161,206,206,161"
9,lymphocyte,lymphocyte,sTIL,polyline,137,188,171,229,"137,137,139,146,149,155,159,163,166,170,171,171,170,169,168,159,153,148,144,137","212,204,195,189,188,188,189,191,198,206,213,215,219,222,223,229,229,227,222,212"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,56,165,81,212,"72,64,61,56,56,66,72,76,81,81,79,78,72","212,210,201,176,175,165,165,169,180,194,201,204,212"
11,lymphocyte,lymphocyte,sTIL,polyline,125,99,154,143,"125,130,132,139,142,149,154,153,146,139,134,129,127,125,125","120,102,99,99,102,113,133,137,141,143,141,133,131,123,120"
12,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,271,94,305,130,"274,271,272,276,294,296,304,305,305,301,299,297,281,275,274","126,109,99,94,94,96,102,104,112,118,122,123,130,127,126"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,90,99,125,132,"90,93,101,105,107,113,117,125,125,124,122,121,115,110,96,93,90,90","117,109,103,101,99,99,101,104,112,118,123,126,131,132,131,130,126,117"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,38,170,58,208,"47,38,40,43,44,49,53,57,58,58,56,52,47","206,180,175,171,170,171,175,180,193,199,204,208,206"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,313,298,343,326,"313,319,328,334,339,340,343,343,338,331,316,313,313","319,307,298,298,300,301,305,310,316,322,326,322,319"
16,lymphocyte,lymphocyte,sTIL,polyline,267,41,295,69,"267,267,271,272,275,284,294,295,295,292,287,276,270,267","65,51,44,43,41,44,49,53,59,65,69,69,68,65"
17,lymphocyte,lymphocyte,sTIL,polyline,284,154,306,185,"306,300,292,290,287,284,284,285,286,290,295,300,304,305,306","166,177,185,184,181,172,169,164,161,157,154,155,159,161,166"
18,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,189,291,214,320,"200,194,189,189,193,195,208,211,212,214,214,213,212,211,200","320,319,307,301,295,291,291,292,295,301,307,311,314,315,320"
19,lymphocyte,lymphocyte,sTIL,polyline,0,62,28,88,"0,0,5,11,18,24,28,28,20,15,9,0","83,72,65,62,62,65,69,78,86,88,88,83"
20,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,219,106,242,136,"219,242,242,219,219","106,106,136,136,106"
21,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,213,235,241,261,"214,213,214,216,222,227,232,241,241,238,228,222,214","247,242,237,235,235,237,242,253,256,261,261,256,247"
22,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,37,309,64,331,"37,64,64,37,37","309,309,331,331,309"
23,lymphocyte,lymphocyte,sTIL,polyline,151,104,173,132,"154,151,154,158,160,170,173,171,170,169,164,159,154","128,117,109,106,104,107,109,120,126,130,132,131,128"
24,lymphocyte,lymphocyte,sTIL,polyline,325,324,353,344,"325,338,344,349,350,352,353,347,334,328,326,325,325","334,324,324,325,326,329,336,343,344,343,341,339,334"
25,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,35,94,56,122,"35,56,56,35,35","94,94,122,122,94"
26,lymphocyte,lymphocyte,sTIL,rectangle,108,266,134,288,"108,134,134,108,108","266,266,288,288,266"
27,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,56,83,71,113,"56,71,71,56,56","83,83,113,113,83"
28,lymphocyte,lymphocyte,sTIL,rectangle,129,146,151,169,"129,151,151,129,129","146,146,169,169,146"
29,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,63,54,88,73,"63,63,64,71,77,85,88,88,86,73,69,63","68,59,58,54,54,60,64,70,73,72,70,68"
30,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,319,142,344,157,"319,344,344,319,319","142,142,157,157,142"
31,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,216,205,238,223,"216,238,238,216,216","205,205,223,223,205"
32,lymphocyte,lymphocyte,sTIL,rectangle,1,170,24,185,"1,24,24,1,1","170,170,185,185,170"
33,lymphocyte,lymphocyte,sTIL,rectangle,314,114,337,130,"314,337,337,314,314","114,114,130,130,114"
34,lymphocyte,lymphocyte,sTIL,rectangle,4,106,24,123,"4,24,24,4,4","106,106,123,123,106"
35,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,146,31,166,49,"146,166,166,146,146","31,31,49,49,31"
36,lymphocyte,lymphocyte,sTIL,rectangle,64,74,82,92,"64,82,82,64,64","74,74,92,92,74"
37,lymphocyte,lymphocyte,sTIL,rectangle,252,223,270,240,"252,270,270,252,252","223,223,240,240,223"
38,lymphocyte,lymphocyte,sTIL,rectangle,292,227,308,244,"292,308,308,292,292","227,227,244,244,227"
39,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,242,103,257,118,"242,257,257,242,242","103,103,118,118,103"
40,lymphocyte,lymphocyte,sTIL,rectangle,66,149,81,164,"66,81,81,66,66","149,149,164,164,149"
41,tumor,tumor_nonMitotic,tumor_any,rectangle,244,276,284,328,"244,284,284,244","276,276,328,328"
