,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,plasma_cell,plasma_cell,sTIL,rectangle,168,22,203,60,"168,203,203,168,168","22,22,60,60,22"
1,plasma_cell,plasma_cell,sTIL,polyline,131,221,163,262,"163,163,150,138,135,134,131,134,135,139,144,150,158,160,163","236,243,262,262,260,259,251,239,234,226,221,221,226,229,236"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,94,44,121,84,"94,121,121,94,94","44,44,84,84,44"
3,lymphocyte,lymphocyte,sTIL,polyline,75,1,114,30,"95,85,76,75,77,78,80,85,102,112,114,114,112,110,109,95","30,27,16,12,5,2,1,2,8,12,16,22,25,28,30,30"
4,lymphocyte,lymphocyte,sTIL,polyline,261,76,289,113,"278,281,286,289,289,288,276,270,269,261,262,265,269,275,278","76,78,88,94,103,108,113,113,112,99,91,85,81,78,76"
5,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,173,273,207,302,"207,204,199,192,179,177,175,173,177,187,193,199,202,207","284,296,302,301,296,294,293,289,282,273,273,275,278,284"
6,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,28,90,61,120,"28,61,61,28,28","90,90,120,120,90"
7,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,47,36,78,68,"65,78,77,68,65,54,48,47,47,49,53,65","36,51,54,66,68,65,62,60,56,47,44,36"
8,lymphocyte,lymphocyte,sTIL,polyline,109,217,130,255,"109,119,125,128,130,130,120,114,110,109,109","239,217,217,219,221,246,255,254,250,245,239"
9,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,180,226,216,251,"180,216,216,180,180","226,226,251,251,226"
10,lymphocyte,lymphocyte,sTIL,polyline,208,152,235,186,"209,208,209,212,218,225,231,235,235,221,217,215,209","172,159,156,154,152,152,157,172,176,185,186,185,172"
11,lymphocyte,lymphocyte,sTIL,polyline,267,230,301,255,"280,269,267,267,269,271,278,284,288,299,301,299,296,290,280","255,245,240,235,233,230,230,231,233,238,241,249,251,255,255"
12,lymphocyte,lymphocyte,sTIL,polyline,236,144,262,177,"237,236,240,243,246,250,255,260,262,262,260,256,243,237","168,159,152,146,144,146,148,153,162,168,173,177,177,168"
13,plasma_cell,plasma_cell,sTIL,rectangle,36,257,73,274,"36,73,73,36,36","257,257,274,274,257"
14,lymphocyte,lymphocyte,sTIL,polyline,251,183,280,212,"280,280,278,275,265,259,252,251,251,257,267,272,276,280","199,204,209,212,211,209,202,195,191,187,183,185,187,199"
15,lymphocyte,lymphocyte,sTIL,polyline,288,192,318,219,"288,290,294,296,306,309,313,318,317,305,300,290,289,288,288","202,197,194,192,194,195,202,214,219,219,217,212,211,205,202"
16,plasma_cell,plasma_cell,sTIL,polyline,172,112,202,138,"172,173,182,189,196,198,199,202,202,201,197,184,175,173,172,172","131,125,117,112,112,113,114,118,119,128,131,138,138,137,134,131"
17,lymphocyte,lymphocyte,sTIL,polyline,182,142,209,171,"193,202,206,208,209,207,204,194,188,184,182,183,184,189,193","142,143,147,151,154,162,166,171,171,170,159,151,146,143,142"
18,lymphocyte,lymphocyte,sTIL,polyline,3,59,36,81,"36,36,32,14,7,5,3,4,8,10,13,20,26,29,33,36","69,75,80,81,80,79,73,69,64,61,60,59,60,61,64,69"
19,lymphocyte,lymphocyte,sTIL,polyline,286,105,315,132,"313,300,293,289,288,286,286,288,289,295,301,312,315,315,313","125,132,131,129,125,117,113,110,109,105,105,113,120,123,125"
20,lymphocyte,lymphocyte,sTIL,polyline,303,257,330,284,"303,304,308,312,315,322,325,330,323,322,319,309,304,303,303","274,268,263,259,257,257,260,270,282,283,284,283,282,280,274"
21,lymphocyte,lymphocyte,sTIL,polyline,80,262,109,287,"80,81,87,96,102,106,109,107,105,86,82,80","277,273,268,262,263,268,274,282,284,287,282,277"
22,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,73,172,109,187,"73,109,109,73,73","172,172,187,187,172"
23,plasma_cell,plasma_cell,sTIL,polyline,213,25,241,51,"225,217,216,213,215,216,220,228,235,238,240,241,237,225","50,46,44,37,32,31,28,25,25,28,32,44,51,50"
24,lymphocyte,lymphocyte,sTIL,polyline,315,51,343,78,"315,317,322,328,338,342,343,337,327,320,317,315","62,56,51,51,57,65,78,78,75,71,69,62"
25,lymphocyte,lymphocyte,sTIL,rectangle,252,41,278,69,"252,278,278,252,252","41,41,69,69,41"
26,lymphocyte,lymphocyte,sTIL,polyline,226,201,254,226,"230,238,242,250,252,254,247,246,240,235,230,226,226,228,230","205,201,202,207,212,217,225,226,226,225,222,220,211,206,205"
27,lymphocyte,lymphocyte,sTIL,polyline,220,172,245,200,"220,220,228,237,240,241,245,245,242,240,226,223,220","192,186,177,172,173,175,186,192,197,200,200,197,192"
28,lymphocyte,lymphocyte,sTIL,polyline,126,303,155,326,"155,155,154,153,135,130,126,126,129,136,143,154,155","314,322,325,326,325,322,317,312,309,303,303,313,314"
29,lymphocyte,lymphocyte,sTIL,polyline,28,194,57,216,"29,28,34,44,51,53,57,57,56,54,53,43,37,29","207,202,197,194,194,195,200,209,212,215,216,216,212,207"
30,lymphocyte,lymphocyte,sTIL,polyline,254,245,276,274,"275,271,262,259,256,255,254,255,259,262,271,274,276,276,275","272,274,272,270,267,263,258,254,249,245,251,254,260,264,272"
31,lymphocyte,lymphocyte,sTIL,polyline,116,23,144,47,"144,144,138,126,119,116,116,121,126,133,140,144","33,42,47,46,41,39,32,26,23,23,26,33"
32,lymphocyte,lymphocyte,sTIL,rectangle,168,220,196,243,"168,196,196,168,168","220,220,243,243,220"
33,lymphocyte,lymphocyte,sTIL,polyline,264,161,290,185,"264,265,271,274,283,284,289,290,288,283,278,275,269,266,264","172,168,162,161,163,165,172,180,182,185,183,182,178,176,172"
34,lymphocyte,lymphocyte,sTIL,polyline,145,183,172,207,"154,152,146,145,148,150,155,163,165,170,172,172,168,154","207,206,197,194,188,185,183,185,186,194,197,200,204,207"
35,lymphocyte,lymphocyte,sTIL,polyline,313,81,339,105,"323,317,314,313,314,317,320,325,333,339,338,335,332,323","105,104,100,94,90,86,84,81,84,90,94,98,102,105"
36,lymphocyte,lymphocyte,sTIL,polyline,308,156,333,181,"330,324,318,310,308,308,312,313,315,324,329,333,333,330","181,181,180,172,167,165,158,157,156,158,162,167,175,181"
37,lymphocyte,lymphocyte,sTIL,polyline,232,234,260,255,"237,232,233,235,238,242,246,252,255,259,260,260,257,256,247,237","255,250,245,241,238,235,234,234,235,239,241,244,250,251,255,255"
38,lymphocyte,lymphocyte,sTIL,polyline,281,274,303,302,"296,286,283,281,281,283,289,298,301,303,301,300,299,296","302,299,293,291,284,280,274,278,280,285,293,297,299,302"
39,lymphocyte,lymphocyte,sTIL,polyline,238,274,261,301,"252,250,242,238,242,243,255,261,261,259,252","301,299,292,287,275,274,277,284,293,301,301"
40,tumor,tumor_nonMitotic,tumor_any,rectangle,298,32,325,52,"298,325,325,298,298","32,32,52,52,32"
41,lymphocyte,lymphocyte,sTIL,polyline,95,89,121,110,"121,119,116,110,105,100,97,95,97,104,110,116,117,120,121","100,107,108,110,109,107,104,98,93,89,89,93,94,98,100"
42,lymphocyte,lymphocyte,sTIL,polyline,290,66,313,91,"294,301,306,308,313,312,308,293,290,291,294","73,66,68,69,83,88,91,91,85,78,73"
43,lymphocyte,lymphocyte,sTIL,rectangle,149,26,172,51,"149,172,172,149,149","26,26,51,51,26"
44,lymphocyte,lymphocyte,sTIL,rectangle,66,108,96,123,"66,96,96,66,66","108,108,123,123,108"
45,plasma_cell,plasma_cell,sTIL,rectangle,230,127,260,142,"230,260,260,230,230","127,127,142,142,127"
46,lymphocyte,lymphocyte,sTIL,polyline,186,171,212,191,"186,188,196,202,207,211,212,211,207,188,187,186","182,177,171,171,172,182,187,188,191,191,187,182"
47,lymphocyte,lymphocyte,sTIL,polyline,85,125,111,146,"90,94,106,107,110,111,110,109,105,97,92,85,86,90","129,125,125,127,131,136,139,142,146,146,144,139,136,129"
48,plasma_cell,plasma_cell,sTIL,polyline,218,263,240,288,"218,218,220,221,227,233,237,240,240,237,230,227,218","282,270,268,267,263,263,264,272,279,288,288,287,282"
49,lymphocyte,lymphocyte,sTIL,polyline,165,299,187,325,"169,175,180,186,187,186,183,175,170,167,165,167,169","304,299,301,309,316,321,323,325,323,321,314,309,304"
50,lymphocyte,lymphocyte,sTIL,polyline,135,45,157,70,"135,135,143,149,152,157,157,153,149,143,135","66,52,45,45,46,55,64,68,70,69,66"
51,lymphocyte,lymphocyte,sTIL,rectangle,279,35,296,62,"279,296,296,279,279","35,35,62,62,35"
52,plasma_cell,plasma_cell,sTIL,rectangle,86,226,104,254,"86,104,104,86,86","226,226,254,254,226"
53,lymphocyte,lymphocyte,sTIL,polyline,112,260,134,284,"116,123,128,133,134,134,131,128,120,115,114,112,114,116","264,260,262,268,274,279,282,284,284,279,277,273,268,264"
54,lymphocyte,lymphocyte,sTIL,rectangle,57,306,80,326,"57,80,80,57,57","306,306,326,326,306"
55,lymphocyte,lymphocyte,sTIL,rectangle,216,85,238,105,"216,238,238,216,216","85,85,105,105,85"
56,tumor,tumor_nonMitotic,tumor_any,rectangle,313,10,335,30,"313,335,335,313,313","10,10,30,30,10"
57,lymphocyte,lymphocyte,sTIL,polyline,119,74,140,94,"138,126,124,123,119,119,126,139,140,140,138","94,94,93,91,86,80,74,74,75,88,94"
58,lymphocyte,lymphocyte,sTIL,rectangle,294,7,309,32,"294,309,309,294,294","7,7,32,32,7"
59,lymphocyte,lymphocyte,sTIL,rectangle,286,148,309,166,"286,309,309,286,286","148,148,166,166,148"
60,lymphocyte,lymphocyte,sTIL,rectangle,202,7,225,25,"202,225,225,202,202","7,7,25,25,7"
