,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,0,32,61,106,"5,0,2,32,37,47,51,57,61,57,56,50,40,12,6,5","97,56,53,35,32,37,41,48,59,88,90,100,106,106,100,97"
1,tumor,tumor_nonMitotic,tumor_any,polyline,120,146,180,209,"131,177,179,180,170,167,161,154,143,126,125,123,122,120,120,122,125,126,131","146,156,159,188,202,204,207,209,209,199,198,195,191,185,166,161,151,149,146"
2,tumor,tumor_nonMitotic,tumor_any,polyline,237,156,299,217,"267,279,284,288,291,295,296,299,298,288,284,278,269,259,250,242,237,237,241,267","156,156,157,159,161,165,167,176,183,204,208,213,217,213,203,188,176,170,167,156"
3,tumor,tumor_nonMitotic,tumor_any,polyline,26,216,79,270,"26,27,31,32,33,35,47,58,64,71,77,79,79,76,73,68,55,45,40,30,29,27,26","247,240,224,219,217,216,216,217,222,228,240,253,261,266,269,270,269,266,264,258,255,252,247"
4,tumor,tumor_nonMitotic,tumor_any,polyline,196,202,232,269,"196,197,198,208,212,221,223,228,229,231,232,232,231,229,219,212,206,201,198,197,196,196","233,214,212,203,202,203,204,209,212,223,257,258,266,269,269,266,263,257,253,247,235,233"
5,tumor,tumor_nonMitotic,tumor_any,polyline,24,113,77,159,"24,24,27,30,33,35,45,52,64,68,73,77,77,76,73,57,53,42,32,25,24","151,141,131,126,121,120,115,113,113,114,116,121,131,137,141,157,159,159,157,152,151"
6,tumor,tumor_nonMitotic,tumor_any,polyline,99,202,138,259,"124,117,107,99,100,105,123,128,133,136,138,138,133,126,124","259,258,252,247,216,207,202,204,208,212,216,234,244,255,259"
7,tumor,tumor_nonMitotic,tumor_any,polyline,304,208,348,242,"304,316,340,348,347,346,342,311,304,304","222,208,217,230,237,240,242,237,224,222"
8,tumor,tumor_nonMitotic,tumor_any,polyline,193,274,232,309,"196,216,221,228,232,232,226,206,196,193,195,196","278,274,275,281,288,300,309,307,305,304,288,278"
9,tumor,tumor_nonMitotic,tumor_any,polyline,169,216,196,252,"169,169,175,180,191,193,195,196,196,195,193,182,175,169","242,228,219,216,217,219,223,229,248,250,252,250,247,242"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,265,222,330,284,"265,330,330,265,265","222,222,284,284,222"
