,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,143,56,199,107,"143,151,162,168,174,189,194,199,199,198,195,193,187,177,169,153,146,143,143","100,66,56,56,58,62,71,81,91,93,97,100,103,106,107,107,106,103,100"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,11,2,75,36,"11,75,75,11,11","2,2,36,36,2"
2,tumor,tumor_nonMitotic,tumor_any,polyline,190,53,252,89,"251,231,223,218,209,198,193,190,193,218,230,236,242,249,252,252,251","89,89,87,86,84,75,66,59,53,53,54,55,60,66,84,85,89"
3,tumor,tumor_nonMitotic,tumor_any,polyline,1,56,53,103,"51,53,32,30,22,3,1,4,6,8,35,38,51","66,71,98,100,103,103,98,77,74,71,56,58,66"
4,lymphocyte,lymphocyte,sTIL,rectangle,275,19,339,41,"275,339,339,275,275","19,19,41,41,19"
5,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,106,260,158,302,"106,158,158,106,106","260,260,302,302,260"
6,tumor,tumor_nonMitotic,tumor_any,polyline,54,299,107,339,"54,54,56,58,61,75,81,86,100,104,107,104,84,77,73,54","325,314,306,303,301,299,299,301,309,314,320,328,339,338,337,325"
7,tumor,tumor_nonMitotic,tumor_any,polyline,210,219,255,265,"255,252,245,240,228,223,211,210,213,219,225,235,239,249,250,254,255","256,265,265,262,255,251,232,222,219,219,220,222,224,232,234,248,256"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,135,234,179,276,"135,179,179,135,135","234,234,276,276,234"
9,tumor,tumor_nonMitotic,tumor_any,polyline,27,234,73,273,"29,27,28,39,53,60,66,71,73,71,66,61,59,45,38,35,30,29","267,262,256,245,237,234,234,237,239,251,263,268,270,273,273,272,268,267"
10,tumor,tumor_nonMitotic,tumor_any,polyline,142,204,187,245,"142,146,149,153,163,167,182,184,187,185,184,175,172,168,152,142","237,220,215,211,205,204,205,208,215,221,225,239,242,244,245,237"
11,tumor,tumor_nonMitotic,tumor_any,polyline,104,203,144,245,"139,144,143,142,123,117,112,105,104,105,106,111,113,121,126,132,139","206,219,224,226,240,244,245,244,242,235,229,217,213,206,203,203,206"
12,tumor,tumor_nonMitotic,tumor_any,polyline,242,132,287,165,"275,287,286,285,278,272,249,242,242,244,255,268,275","132,152,158,159,163,165,165,162,158,148,137,133,132"
13,apoptotic_body,AMBIGUOUS,AMBIGUOUS,polyline,46,29,86,67,"46,50,56,66,81,82,85,86,86,85,84,79,71,65,54,51,46,46","46,39,34,29,34,35,44,54,56,62,64,67,67,66,62,61,51,46"
14,tumor,tumor_nonMitotic,tumor_any,polyline,318,51,347,96,"328,321,318,318,321,333,338,344,347,347,344,343,333,328","96,93,87,75,69,54,51,51,55,72,79,81,93,96"
15,tumor,tumor_nonMitotic,tumor_any,polyline,263,304,302,340,"278,285,292,301,302,301,299,292,282,276,270,265,263,263,265,268,278","304,304,308,318,324,333,335,340,340,338,333,324,322,318,315,312,304"
16,tumor,tumor_nonMitotic,tumor_any,polyline,225,18,268,39,"228,225,230,245,257,265,267,268,257,242,228","30,27,22,18,18,19,22,27,39,39,30"
17,tumor,tumor_nonMitotic,tumor_any,polyline,282,93,318,124,"282,293,296,312,318,318,317,308,292,288,283,282,282","118,96,93,95,96,98,117,121,124,123,121,120,118"
18,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,270,39,314,54,"270,314,314,270,270","39,39,54,54,39"
19,tumor,tumor_nonMitotic,tumor_any,polyline,273,124,306,155,"285,273,275,282,286,293,299,306,306,304,302,299,285","155,137,134,127,126,124,124,129,134,146,148,149,155"
20,tumor,tumor_nonMitotic,tumor_any,polyline,255,229,292,250,"263,283,286,288,292,292,291,288,285,273,263,260,255,255,257,263","232,229,230,232,239,244,247,248,250,250,248,247,244,239,236,232"
21,tumor,tumor_nonMitotic,tumor_any,polyline,76,98,110,123,"108,110,107,105,101,95,86,84,77,76,77,84,86,90,95,101,108","102,112,118,122,123,123,122,121,115,111,108,102,101,100,98,98,102"
22,tumor,tumor_nonMitotic,tumor_any,polyline,188,22,223,40,"190,188,190,199,204,220,223,220,197,194,190","36,27,25,22,23,29,34,40,40,39,36"
23,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,89,127,126,139,"89,126,126,89,89","127,127,139,139,127"
24,tumor,tumor_nonMitotic,tumor_any,polyline,130,0,157,28,"130,137,141,149,156,157,152,151,147,141,133,132,131,130","8,4,3,0,4,18,24,25,28,27,24,23,17,8"
25,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,86,248,101,281,"86,101,101,86,86","248,248,281,281,248"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,290,212,366,242,"290,366,366,290","212,212,242,242"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,219,190,263,226,"219,263,263,219","190,190,226,226"
28,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,315,204,355,230,"315,355,355,315","204,204,230,230"
29,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,188,239,208,259,"188,208,208,188","239,239,259,259"
