,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,281,28,339,94,"284,281,283,284,290,309,321,325,330,332,337,339,337,336,334,317,312,305,299,294,285,284","74,46,40,37,28,28,30,33,38,43,58,63,71,76,82,91,94,94,91,89,79,74"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,12,267,77,319,"12,77,77,12,12","267,267,319,319,267"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,303,121,345,190,"303,345,345,303,303","121,121,190,190,121"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,263,46,325,89,"263,325,325,263,263","46,46,89,89,46"
4,tumor,tumor_nonMitotic,tumor_any,polyline,56,6,112,55,"56,63,68,72,83,87,107,110,112,112,110,108,82,56","50,12,8,7,6,8,24,30,35,40,53,55,55,50"
5,tumor,tumor_nonMitotic,tumor_any,polyline,99,66,140,125,"124,129,134,140,139,136,122,114,105,104,103,100,99,102,109,115,124","74,79,91,112,118,120,125,125,117,116,112,96,82,77,66,68,74"
6,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,52,85,97,132,"52,97,97,52,52","85,85,132,132,85"
7,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,233,115,273,164,"233,273,273,233,233","115,115,164,164,115"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,190,6,229,50,"190,229,229,190,190","6,6,50,50,6"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,91,113,118,165,"91,118,118,91,91","113,113,165,165,113"
10,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,241,185,270,232,"241,270,270,241,241","185,185,232,232,185"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,55,49,92,81,"55,92,92,55,55","49,49,81,81,49"
12,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,0,9,25,51,"0,25,25,0,0","9,9,51,51,9"
13,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,170,257,203,291,"195,181,176,170,170,172,176,182,184,202,203,200,195","291,287,281,272,265,261,257,257,258,278,283,288,291"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,260,28,303,48,"260,303,303,260,260","28,28,48,48,28"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,330,1,362,33,"330,362,362,330,330","1,1,33,33,1"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,208,162,242,189,"242,242,233,224,216,210,208,208,217,231,238,239,242","172,178,185,189,188,182,177,170,162,162,167,168,172"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,16,55,48,82,"16,48,48,16,16","55,55,82,82,55"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,258,12,295,32,"258,295,295,258,258","12,12,32,32,12"
19,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,134,283,164,313,"134,164,164,134,134","283,283,313,313,283"
20,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,232,246,255,277,"234,241,247,252,253,255,255,249,246,237,233,232,233,234","250,246,246,251,256,268,272,277,276,268,261,254,251,250"
21,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,103,277,130,304,"103,130,130,103,103","277,277,304,304,277"
22,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,177,149,205,174,"177,205,205,177,177","149,149,174,174,149"
23,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,238,301,260,325,"238,260,260,238,238","301,301,325,325,301"
24,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,64,136,87,153,"64,87,87,64,64","136,136,153,153,136"
