,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,126,0,190,79,"126,135,139,140,147,158,163,173,179,181,188,189,190,188,185,181,176,148,140,138,130,128,126,126","33,7,1,0,0,1,4,11,21,26,43,48,58,66,71,76,79,79,78,76,64,58,43,33"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,325,257,357,348,"325,357,357,325,325","257,257,348,348,257"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,0,117,77,161,"0,77,77,0,0","117,117,161,161,117"
3,tumor,tumor_nonMitotic,tumor_any,polyline,318,19,367,82,"318,318,319,321,326,331,338,344,351,360,362,367,367,359,355,344,333,328,324,318","69,56,52,46,35,30,25,21,19,20,21,36,50,72,78,82,82,81,78,69"
4,tumor,tumor_nonMitotic,tumor_any,polyline,204,113,267,160,"204,204,207,212,225,238,247,253,259,266,267,266,264,261,258,250,246,231,225,209,204","133,117,114,113,113,114,117,119,123,129,135,141,145,151,154,159,160,160,159,145,133"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,226,9,281,58,"226,281,281,226,226","9,9,58,58,9"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,44,195,76,254,"44,76,76,44,44","195,195,254,254,195"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,87,170,127,224,"87,127,127,87,87","170,170,224,224,170"
8,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,195,281,230,338,"195,196,200,209,215,222,225,230,230,226,220,217,209,201,199,195","310,295,289,281,281,286,289,296,316,331,337,338,336,329,325,310"
9,mitotic_figure,tumor_mitotic,tumor_any,polyline,288,110,333,156,"288,288,290,294,304,305,314,320,326,331,333,333,331,330,316,312,308,299,293,292,288","144,141,136,130,115,114,110,110,112,117,120,125,130,134,149,154,156,156,154,152,144"
10,tumor,tumor_nonMitotic,tumor_any,polyline,236,76,277,114,"248,261,263,271,272,277,277,276,273,271,264,252,246,242,238,236,236,241,248","76,76,77,83,84,90,97,103,108,110,114,114,110,108,103,93,88,81,76"
11,mitotic_figure,tumor_mitotic,tumor_any,polyline,5,223,35,262,"20,26,33,34,35,35,28,25,18,15,5,5,6,9,20","228,223,223,224,236,241,252,254,260,262,260,258,254,248,228"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,33,183,72,206,"33,72,72,33,33","183,183,206,206,183"
13,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,51,275,73,311,"51,51,55,61,65,73,73,72,67,59,51","306,286,275,275,276,290,293,304,309,311,306"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,175,125,197,155,"175,197,197,175,175","125,125,155,155,125"
