,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,184,16,252,59,"184,252,252,184,184","16,16,59,59,16"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,126,201,179,246,"126,179,179,126,126","201,201,246,246,201"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,313,2,366,48,"313,366,366,313,313","2,2,48,48,2"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,250,129,300,177,"250,300,300,250,250","129,129,177,177,129"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,107,121,158,166,"107,158,158,107,107","121,121,166,166,121"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,251,293,302,331,"251,302,302,251,251","293,293,331,331,293"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,168,0,216,40,"168,216,216,168,168","0,0,40,40,0"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,289,57,334,95,"289,334,334,289,289","57,57,95,95,57"
8,tumor,tumor_nonMitotic,tumor_any,polyline,156,57,197,100,"173,164,161,156,159,163,175,180,194,197,195,193,188,173","100,93,86,64,60,59,57,58,73,77,82,86,89,100"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,278,238,320,279,"278,320,320,278,278","238,238,279,279,238"
10,tumor,tumor_nonMitotic,tumor_any,polyline,67,329,111,367,"70,67,69,73,92,98,102,108,111,111,98,87,78,74,70","362,352,347,342,329,329,332,337,339,345,363,367,367,366,362"
11,tumor,tumor_nonMitotic,tumor_any,polyline,232,96,275,134,"235,240,246,251,275,272,250,235,233,232,233,235","100,96,96,97,107,120,134,131,130,125,105,100"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,43,163,91,193,"43,91,91,43,43","163,163,193,193,163"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,336,233,363,281,"336,363,363,336,336","233,233,281,281,233"
