,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,2,77,82,119,"29,14,4,2,4,9,34,59,69,77,82,79,77,52,42,29","119,117,104,94,89,87,77,77,79,82,97,104,107,117,119,119"
1,tumor,tumor_nonMitotic,tumor_any,polyline,618,648,666,708,"621,618,623,626,631,638,656,661,663,666,661,658,651,621","708,693,671,661,651,648,651,653,661,673,696,701,708,708"
2,tumor,tumor_nonMitotic,tumor_any,polyline,186,436,241,489,"186,189,206,214,219,226,234,239,241,241,236,229,214,196,191,186","479,461,444,439,436,439,446,454,464,474,479,484,489,486,484,479"
3,tumor,tumor_nonMitotic,tumor_any,polyline,384,329,416,396,"384,384,386,394,406,413,416,416,413,404,394,384","381,359,339,329,329,344,354,366,384,391,396,381"
4,tumor,tumor_nonMitotic,tumor_any,polyline,291,454,346,511,"316,319,329,334,341,344,346,346,339,329,301,296,291,296,316","456,454,456,459,469,474,484,496,506,511,499,496,491,484,456"
5,tumor,tumor_nonMitotic,tumor_any,polyline,616,579,671,636,"671,671,656,641,628,621,618,616,616,618,621,646,658,668,671","589,606,623,636,633,631,628,621,611,603,599,579,579,584,589"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,311,638,361,733,"311,361,361,311,311","638,638,733,733,638"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,281,291,361,346,"281,361,361,281,281","291,291,346,346,291"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,246,541,316,601,"246,316,316,246,246","541,541,601,601,541"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,161,589,236,633,"161,236,236,161,161","589,589,633,633,589"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,506,656,566,716,"506,566,566,506,506","656,656,716,716,656"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,583,524,628,594,"583,628,628,583,583","524,524,594,594,524"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,458,653,503,718,"458,503,503,458,458","653,653,718,718,653"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,2,616,62,661,"2,62,62,2,2","616,616,661,661,616"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,249,496,304,546,"249,304,304,249,249","496,496,546,546,496"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,169,638,229,678,"169,229,229,169,169","638,638,678,678,638"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,74,394,139,434,"74,139,139,74,74","394,394,434,434,394"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,77,611,126,661,"77,126,126,77,77","611,611,661,661,611"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,37,521,92,571,"37,92,92,37,37","521,521,571,571,521"
19,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,231,419,286,459,"231,286,286,231,231","419,419,459,459,419"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,551,529,581,589,"551,581,581,551,551","529,529,589,589,529"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,671,469,716,519,"671,716,716,671,671","469,469,519,519,469"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,32,476,82,516,"32,82,82,32,32","476,476,516,516,476"
23,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,229,272,274,316,"229,274,274,229,229","272,272,316,316,272"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,2,404,57,439,"2,57,57,2,2","404,404,439,439,404"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,64,441,119,466,"64,119,119,64,64","441,441,466,466,441"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,453,521,488,566,"453,488,488,453,453","521,521,566,566,521"
27,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,279,97,428,142,"279,428,428,279,279","97,97,142,142,97"
28,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,341,2,441,57,"341,441,441,341,341","2,2,57,57,2"
29,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,219,59,314,84,"219,314,314,219,219","59,59,84,84,59"
30,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,189,92,274,132,"189,274,274,189,189","92,92,132,132,92"
31,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,526,239,591,304,"526,591,591,526,526","239,239,304,304,239"
32,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,576,199,646,244,"576,646,646,576,576","199,199,244,244,199"
33,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,613,159,673,214,"613,673,673,613,613","159,159,214,214,159"
34,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,114,42,179,87,"114,179,179,114,114","42,42,87,87,42"
35,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,618,39,683,79,"618,683,683,618,618","39,39,79,79,39"
36,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,538,154,568,214,"538,568,568,538,538","154,154,214,214,154"
37,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,156,501,196,531,"156,196,196,156,156","501,501,531,531,501"
38,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,104,524,144,554,"104,144,144,104,104","524,524,554,554,524"
39,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,79,491,109,516,"79,109,109,79,79","491,491,516,516,491"
40,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,104,459,139,494,"104,139,139,104,104","459,459,494,494,459"
41,tumor,tumor_nonMitotic,tumor_any,rectangle,186,389,261,429,"186,261,261,186,186","389,389,429,429,389"
42,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,74,269,129,304,"74,129,129,74,74","269,269,304,304,269"
