,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,249,269,321,356,"316,301,279,267,262,257,252,249,249,254,262,274,287,292,316,321,321,316","348,356,348,343,341,331,316,301,294,286,279,269,269,271,296,311,321,348"
1,tumor,tumor_nonMitotic,tumor_any,polyline,396,181,464,259,"461,446,424,406,404,399,396,396,399,406,419,451,459,464,464,461","251,259,249,236,234,224,209,206,196,181,186,201,209,216,239,251"
2,tumor,tumor_nonMitotic,tumor_any,polyline,576,463,638,541,"611,638,631,628,623,613,596,581,579,576,576,591,604,611","466,493,523,528,533,541,538,518,511,493,471,463,463,466"
3,tumor,tumor_nonMitotic,tumor_any,polyline,167,306,239,371,"167,167,182,207,219,229,234,239,239,234,222,189,182,167","341,328,306,306,309,318,331,348,353,366,371,371,363,341"
4,tumor,tumor_nonMitotic,tumor_any,polyline,628,556,686,625,"628,633,643,656,666,678,683,686,686,673,661,646,636,633,628,628","591,568,556,556,561,578,586,598,608,618,625,623,618,616,603,591"
5,tumor,tumor_nonMitotic,tumor_any,polyline,471,635,526,703,"474,471,476,484,491,496,509,516,524,526,526,524,516,509,479,474","688,673,658,645,638,635,635,638,648,658,663,678,693,703,703,688"
6,tumor,tumor_nonMitotic,tumor_any,polyline,476,446,541,493,"539,541,531,529,521,491,481,476,489,499,514,539","446,471,486,488,493,493,486,466,456,451,446,446"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,284,503,354,548,"284,354,354,284,284","503,503,548,548,503"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,486,323,551,368,"486,551,551,486,486","323,323,368,368,323"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,229,596,299,630,"229,299,299,229,229","596,596,630,630,596"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,284,541,349,581,"284,349,349,284,284","541,541,581,581,541"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,169,503,224,553,"169,224,224,169,169","503,503,553,553,503"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,92,11,142,66,"92,142,142,92,92","11,11,66,66,11"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,232,221,262,286,"232,262,262,232,232","221,221,286,286,221"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,222,546,277,591,"222,277,277,222,222","546,546,591,591,546"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,424,328,479,373,"424,479,479,424,424","328,328,373,373,328"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,92,563,152,603,"92,152,152,92,92","563,563,603,603,563"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,349,538,404,583,"349,404,404,349,349","538,538,583,583,538"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,12,11,62,61,"12,62,62,12,12","11,11,61,61,11"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,129,538,184,583,"129,184,184,129,129","538,538,583,583,538"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,229,493,284,538,"229,284,284,229,229","493,493,538,538,493"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,12,578,67,618,"12,67,67,12,12","578,578,618,618,578"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,556,141,601,191,"556,601,601,556,556","141,141,191,191,141"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,444,289,499,323,"444,499,499,444,444","289,289,323,323,289"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,496,386,546,426,"496,546,546,496,496","386,386,426,426,386"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,187,611,237,650,"187,237,237,187,187","611,611,650,650,611"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,446,256,501,291,"446,501,501,446,446","256,256,291,291,256"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,264,194,304,239,"264,304,304,264,264","194,194,239,239,194"
28,tumor,tumor_nonMitotic,tumor_any,rectangle,147,473,197,503,"147,197,197,147,147","473,473,503,503,473"
29,mitotic_figure,tumor_mitotic,tumor_any,rectangle,449,166,509,231,"449,509,509,449,449","166,166,231,231,166"
30,tumor,tumor_nonMitotic,tumor_any,rectangle,559,236,608,271,"559,608,608,559,559","236,236,271,271,236"
31,tumor,tumor_nonMitotic,tumor_any,rectangle,594,264,633,328,"594,633,633,594,594","264,264,328,328,264"
32,tumor,tumor_nonMitotic,tumor_any,rectangle,299,611,379,640,"299,379,379,299,299","611,611,640,640,611"
33,tumor,tumor_nonMitotic,tumor_any,rectangle,476,556,526,601,"476,526,526,476,476","556,556,601,601,556"
34,tumor,tumor_nonMitotic,tumor_any,rectangle,414,526,464,591,"414,464,464,414,414","526,526,591,591,526"
35,tumor,tumor_nonMitotic,tumor_any,rectangle,2,71,52,141,"2,52,52,2,2","71,71,141,141,71"
36,tumor,tumor_nonMitotic,tumor_any,rectangle,42,114,87,174,"42,87,87,42,42","114,114,174,174,114"
37,tumor,tumor_nonMitotic,tumor_any,rectangle,591,528,646,568,"591,646,646,591,591","528,528,568,568,528"
38,tumor,tumor_nonMitotic,tumor_any,rectangle,69,451,134,501,"69,134,134,69,69","451,451,501,501,451"
39,tumor,tumor_nonMitotic,tumor_any,rectangle,314,166,369,201,"314,369,369,314,314","166,166,201,201,166"
40,tumor,tumor_nonMitotic,tumor_any,rectangle,439,581,474,616,"439,474,474,439,439","581,581,616,616,581"
41,tumor,tumor_nonMitotic,tumor_any,rectangle,584,601,623,645,"584,623,623,584,584","601,601,645,645,601"
42,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,82,623,177,658,"82,177,177,82,82","623,623,658,658,623"
43,tumor,tumor_nonMitotic,tumor_any,rectangle,613,144,658,179,"613,658,658,613,613","144,144,179,179,144"
44,tumor,tumor_nonMitotic,tumor_any,rectangle,481,131,536,176,"481,536,536,481,481","131,131,176,176,131"
45,tumor,tumor_nonMitotic,tumor_any,rectangle,341,328,411,388,"341,411,411,341,341","328,328,388,388,328"
46,lymphocyte,lymphocyte,sTIL,rectangle,404,1,439,31,"404,439,439,404,404","1,1,31,31,1"
47,tumor,tumor_nonMitotic,tumor_any,rectangle,39,501,84,541,"39,84,84,39,39","501,501,541,541,501"
48,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,287,111,396,161,"287,396,396,287,287","111,111,161,161,111"
49,tumor,tumor_nonMitotic,tumor_any,rectangle,411,121,446,166,"411,446,446,411,411","121,121,166,166,121"
50,tumor,tumor_nonMitotic,tumor_any,rectangle,446,81,481,141,"446,481,481,446,446","81,81,141,141,81"
51,tumor,tumor_nonMitotic,tumor_any,rectangle,621,96,651,136,"621,651,651,621,621","96,96,136,136,96"
52,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,162,94,192,154,"162,192,192,162,162","94,94,154,154,94"
53,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,217,56,247,111,"217,247,247,217,217","56,56,111,111,56"
54,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,247,11,282,66,"247,282,282,247,247","11,11,66,66,11"
55,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,162,226,192,276,"162,192,192,162,162","226,226,276,276,226"
56,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,52,358,97,388,"52,97,97,52,52","358,358,388,388,358"
57,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,87,318,132,348,"87,132,132,87,87","318,318,348,348,318"
58,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,122,139,142,189,"122,142,142,122,122","139,139,189,189,139"
59,tumor,tumor_nonMitotic,tumor_any,rectangle,157,403,192,443,"157,192,192,157,157","403,403,443,443,403"
60,tumor,tumor_nonMitotic,tumor_any,rectangle,79,59,104,104,"79,104,104,79,79","59,59,104,104,59"
61,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,219,114,249,154,"219,249,249,219,219","114,114,154,154,114"
62,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,2,181,32,221,"2,32,32,2,2","181,181,221,221,181"
63,tumor,tumor_nonMitotic,tumor_any,rectangle,49,56,79,91,"49,79,79,49,49","56,56,91,91,56"
64,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,7,259,37,289,"7,37,37,7,7","259,259,289,289,259"
65,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,104,286,129,316,"104,129,129,104,104","286,286,316,316,286"
66,tumor,tumor_nonMitotic,tumor_any,rectangle,524,181,579,226,"524,579,579,524,524","181,181,226,226,181"
67,tumor,tumor_nonMitotic,tumor_any,rectangle,112,76,157,116,"112,157,157,112,112","76,76,116,116,76"
68,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,339,438,369,468,"339,369,369,339,339","438,438,468,468,438"
