,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,635,50,699,102,"635,699,699,635","50,50,102,102"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,619,118,667,168,"619,667,667,619","118,118,168,168"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,461,43,563,135,"461,563,563,461","43,43,135,135"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,422,68,468,144,"422,468,468,422","68,68,144,144"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,533,126,593,212,"533,593,593,533","126,126,212,212"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,442,142,500,196,"442,500,500,442","142,142,196,196"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,476,172,518,238,"476,518,518,476","172,172,238,238"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,412,188,462,252,"412,462,462,412","188,188,252,252"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,369,227,427,287,"369,427,427,369","227,227,287,287"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,418,268,476,312,"418,476,476,418","268,268,312,312"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,468,259,536,317,"468,536,536,468","259,259,317,317"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,614,274,660,312,"614,660,660,614","274,274,312,312"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,682,248,740,308,"682,740,740,682","248,248,308,308"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,656,313,720,357,"656,720,720,656","313,313,357,357"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,691,169,727,225,"691,727,727,691","169,169,225,225"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,594,388,638,440,"594,638,638,594","388,388,440,440"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,477,404,519,462,"477,519,519,477","404,404,462,462"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,477,350,513,392,"477,513,513,477","350,350,392,392"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,389,313,445,375,"389,445,445,389","313,313,375,375"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,281,361,351,439,"281,351,351,281","361,361,439,439"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,589,633,625,701,"589,625,625,589","633,633,701,701"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,459,613,501,667,"459,501,501,459","613,613,667,667"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,435,467,477,517,"435,477,477,435","467,467,517,517"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,531,453,563,521,"531,563,563,531","453,453,521,521"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,567,506,585,566,"567,585,585,567","506,506,566,566"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,535,362,581,420,"535,581,581,535","362,362,420,420"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,352,623,412,657,"352,412,412,352","623,623,657,657"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,348,660,420,706,"348,420,420,348","660,660,706,706"
28,tumor,tumor_nonMitotic,tumor_any,rectangle,273,656,327,708,"273,327,327,273","656,656,708,708"
29,tumor,tumor_nonMitotic,tumor_any,rectangle,312,632,350,666,"312,350,350,312","632,632,666,666"
30,tumor,tumor_nonMitotic,tumor_any,rectangle,227,635,275,691,"227,275,275,227","635,635,691,691"
31,tumor,tumor_nonMitotic,tumor_any,rectangle,308,567,356,623,"308,356,356,308","567,567,623,623"
32,tumor,tumor_nonMitotic,tumor_any,rectangle,365,544,407,586,"365,407,407,365","544,544,586,586"
33,tumor,tumor_nonMitotic,tumor_any,rectangle,371,575,413,617,"371,413,413,371","575,575,617,617"
34,tumor,tumor_nonMitotic,tumor_any,rectangle,290,469,336,525,"290,336,336,290","469,469,525,525"
35,tumor,tumor_nonMitotic,tumor_any,rectangle,317,500,365,560,"317,365,365,317","500,500,560,560"
36,tumor,tumor_nonMitotic,tumor_any,rectangle,331,462,363,500,"331,363,363,331","462,462,500,500"
37,tumor,tumor_nonMitotic,tumor_any,rectangle,353,458,411,506,"353,411,411,353","458,458,506,506"
38,tumor,tumor_nonMitotic,tumor_any,rectangle,454,386,486,436,"454,486,486,454","386,386,436,436"
39,tumor,tumor_nonMitotic,tumor_any,rectangle,276,608,318,652,"276,318,318,276","608,608,652,652"
40,tumor,tumor_nonMitotic,tumor_any,rectangle,129,597,187,663,"129,187,187,129","597,597,663,663"
41,tumor,tumor_nonMitotic,tumor_any,rectangle,78,601,128,659,"78,128,128,78","601,601,659,659"
42,tumor,tumor_nonMitotic,tumor_any,rectangle,1,579,73,631,"1,73,73,1","579,579,631,631"
43,tumor,tumor_nonMitotic,tumor_any,rectangle,187,522,237,580,"187,237,237,187","522,522,580,580"
