,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,404,138,436,166,"404,436,436,404","138,138,166,166"
1,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,388,184,416,238,"388,416,416,388","184,184,238,238"
2,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,425,222,467,258,"425,467,467,425","222,222,258,258"
3,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,47,159,85,233,"47,85,85,47","159,159,233,233"
4,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,37,234,81,258,"37,81,81,37","234,234,258,258"
5,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,0,201,42,233,"0,42,42,0","201,201,233,233"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,184,352,240,378,"184,240,240,184","352,352,378,378"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,14,353,60,379,"14,60,60,14","353,353,379,379"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,65,434,97,466,"65,97,97,65","434,434,466,466"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,245,111,287,149,"245,287,287,245","111,111,149,149"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,218,217,250,239,"218,250,250,218","217,217,239,239"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,80,63,116,91,"80,116,116,80","63,63,91,91"
12,lymphocyte,lymphocyte,sTIL,rectangle,454,81,474,109,"454,474,474,454","81,81,109,109"
13,lymphocyte,lymphocyte,sTIL,rectangle,450,43,472,61,"450,472,472,450","43,43,61,61"
14,lymphocyte,lymphocyte,sTIL,rectangle,463,20,481,46,"463,481,481,463","20,20,46,46"
15,lymphocyte,lymphocyte,sTIL,rectangle,416,1,440,17,"416,440,440,416","1,1,17,17"
16,lymphocyte,lymphocyte,sTIL,rectangle,445,1,461,17,"445,461,461,445","1,1,17,17"
17,lymphocyte,lymphocyte,sTIL,rectangle,384,4,402,16,"384,402,402,384","4,4,16,16"
18,lymphocyte,lymphocyte,sTIL,rectangle,386,17,418,35,"386,418,418,386","17,17,35,35"
19,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,364,32,390,54,"364,390,390,364","32,32,54,54"
20,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,170,40,208,72,"170,208,208,170","40,40,72,72"
21,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,248,346,278,370,"248,278,278,248","346,346,370,370"
