,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,lymphocyte,lymphocyte,sTIL,rectangle,430,251,454,277,"430,454,454,430","251,251,277,277"
1,lymphocyte,lymphocyte,sTIL,rectangle,451,246,483,268,"451,483,483,451","246,246,268,268"
2,lymphocyte,lymphocyte,sTIL,rectangle,449,270,475,286,"449,475,475,449","270,270,286,286"
3,lymphocyte,lymphocyte,sTIL,rectangle,430,289,454,313,"430,454,454,430","289,289,313,313"
4,lymphocyte,lymphocyte,sTIL,rectangle,455,311,479,329,"455,479,479,455","311,311,329,329"
5,lymphocyte,lymphocyte,sTIL,rectangle,501,307,519,335,"501,519,519,501","307,307,335,335"
6,lymphocyte,lymphocyte,sTIL,rectangle,520,286,544,310,"520,544,544,520","286,286,310,310"
7,lymphocyte,lymphocyte,sTIL,rectangle,499,267,527,289,"499,527,527,499","267,267,289,289"
8,lymphocyte,lymphocyte,sTIL,rectangle,518,225,546,253,"518,546,546,518","225,225,253,253"
9,lymphocyte,lymphocyte,sTIL,rectangle,517,179,549,213,"517,549,549,517","179,179,213,213"
10,lymphocyte,lymphocyte,sTIL,rectangle,476,331,504,353,"476,504,504,476","331,331,353,353"
11,lymphocyte,lymphocyte,sTIL,rectangle,417,319,443,355,"417,443,443,417","319,319,355,355"
12,lymphocyte,lymphocyte,sTIL,rectangle,446,332,472,354,"446,472,472,446","332,332,354,354"
13,lymphocyte,lymphocyte,sTIL,rectangle,488,358,516,384,"488,516,516,488","358,358,384,384"
14,lymphocyte,lymphocyte,sTIL,rectangle,526,337,542,359,"526,542,542,526","337,337,359,359"
15,lymphocyte,lymphocyte,sTIL,rectangle,454,373,476,405,"454,476,476,454","373,373,405,405"
16,lymphocyte,lymphocyte,sTIL,rectangle,435,363,455,385,"435,455,455,435","363,363,385,385"
17,lymphocyte,lymphocyte,sTIL,rectangle,428,395,446,409,"428,446,446,428","395,395,409,409"
18,lymphocyte,lymphocyte,sTIL,rectangle,424,412,442,438,"424,442,442,424","412,412,438,438"
19,lymphocyte,lymphocyte,sTIL,rectangle,419,446,445,478,"419,445,445,419","446,446,478,478"
20,lymphocyte,lymphocyte,sTIL,rectangle,482,460,500,484,"482,500,500,482","460,460,484,484"
21,lymphocyte,lymphocyte,sTIL,rectangle,456,524,478,554,"456,478,478,456","524,524,554,554"
22,lymphocyte,lymphocyte,sTIL,rectangle,484,532,506,560,"484,506,506,484","532,532,560,560"
23,lymphocyte,lymphocyte,sTIL,rectangle,505,552,527,574,"505,527,527,505","552,552,574,574"
24,lymphocyte,lymphocyte,sTIL,rectangle,509,523,521,541,"509,521,521,509","523,523,541,541"
25,lymphocyte,lymphocyte,sTIL,rectangle,526,505,548,521,"526,548,548,526","505,505,521,521"
26,lymphocyte,lymphocyte,sTIL,rectangle,460,489,478,517,"460,478,478,460","489,489,517,517"
27,lymphocyte,lymphocyte,sTIL,rectangle,421,506,445,530,"421,445,445,421","506,506,530,530"
