,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,1,91,58,154,"1,4,16,31,46,48,56,58,58,56,46,14,4,1","116,101,91,91,104,106,121,141,146,154,151,139,129,116"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,43,361,91,428,"43,58,71,86,91,81,68,46,43","371,361,363,373,378,428,428,406,371"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,86,626,143,680,"96,118,131,136,143,141,133,123,111,86,88,96","633,626,626,636,655,665,673,680,678,653,643,633"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,380,623,445,693,"380,445,445,380,380","623,623,693,693,623"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,118,89,163,174,"118,163,163,118,118","89,89,174,174,89"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,166,221,226,296,"166,226,226,166,166","221,221,296,296,221"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,6,2,41,86,"6,41,41,6,6","2,2,86,86,2"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,168,378,223,443,"168,223,223,168,168","378,378,443,443,378"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,425,204,475,274,"425,475,475,425,425","204,204,274,274,204"
9,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,331,86,375,146,"331,375,375,331,331","86,86,146,146,86"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,138,171,193,221,"138,193,193,138,138","171,171,221,221,171"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,271,471,326,521,"271,326,326,271,271","471,471,521,521,471"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,116,29,161,79,"116,161,161,116,116","29,29,79,79,29"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,63,7,103,56,"63,103,103,63,63","7,7,56,56,7"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,306,518,350,563,"306,350,350,306,306","518,518,563,563,518"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,525,503,570,548,"525,570,570,525,525","503,503,548,548,503"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,306,164,350,199,"306,350,350,306,306","164,164,199,199,164"
17,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,595,538,620,588,"595,620,620,595,595","538,538,588,588,538"
18,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,168,96,193,146,"168,193,193,168,168","96,96,146,146,96"
19,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,493,536,528,581,"493,528,528,493,493","536,536,581,581,536"
20,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,171,44,201,89,"171,201,201,171,171","44,44,89,89,44"
21,ductal_epithelium,other_nucleus,other_nucleus,polyline,650,206,715,251,"650,715,715,650,650","206,206,251,251,206"
22,ductal_epithelium,other_nucleus,other_nucleus,polyline,585,121,650,161,"585,650,650,585,585","121,121,161,161,121"
23,ductal_epithelium,other_nucleus,other_nucleus,polyline,588,166,633,216,"588,633,633,588,588","166,166,216,216,166"
24,ductal_epithelium,other_nucleus,other_nucleus,polyline,618,191,667,236,"618,667,667,618,618","191,191,236,236,191"
25,ductal_epithelium,other_nucleus,other_nucleus,polyline,568,251,618,291,"568,618,618,568,568","251,251,291,291,251"
26,ductal_epithelium,other_nucleus,other_nucleus,polyline,558,71,608,101,"558,608,608,558,558","71,71,101,101,71"
27,ductal_epithelium,other_nucleus,other_nucleus,polyline,418,39,453,84,"418,453,453,418,418","39,39,84,84,39"
28,ductal_epithelium,other_nucleus,other_nucleus,polyline,575,338,620,378,"575,620,620,575,575","338,338,378,378,338"
29,ductal_epithelium,other_nucleus,other_nucleus,polyline,465,114,500,159,"465,500,500,465,465","114,114,159,159,114"
30,ductal_epithelium,other_nucleus,other_nucleus,polyline,433,94,463,144,"433,463,463,433,433","94,94,144,144,94"
31,ductal_epithelium,other_nucleus,other_nucleus,polyline,623,403,662,443,"623,662,662,623,623","403,403,443,443,403"
32,ductal_epithelium,other_nucleus,other_nucleus,polyline,503,159,533,204,"503,533,533,503,503","159,159,204,204,159"
33,ductal_epithelium,other_nucleus,other_nucleus,polyline,628,368,662,403,"628,662,662,628,628","368,368,403,403,368"
34,ductal_epithelium,other_nucleus,other_nucleus,polyline,605,309,640,343,"605,640,640,605,605","309,309,343,343,309"
35,ductal_epithelium,other_nucleus,other_nucleus,polyline,553,226,583,266,"553,583,583,553,553","226,226,266,266,226"
36,ductal_epithelium,other_nucleus,other_nucleus,polyline,498,261,528,296,"498,528,528,498,498","261,261,296,296,261"
37,ductal_epithelium,other_nucleus,other_nucleus,polyline,560,294,595,324,"560,595,595,560,560","294,294,324,324,294"
38,ductal_epithelium,other_nucleus,other_nucleus,polyline,473,151,498,186,"473,498,498,473,473","151,151,186,186,151"
39,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,113,284,143,338,"113,143,143,113,113","284,284,338,338,284"
40,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,146,463,181,493,"146,181,181,146,146","463,463,493,493,463"
41,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,158,498,193,538,"158,193,193,158,158","498,498,538,538,498"
42,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,176,531,211,556,"176,211,211,176,176","531,531,556,556,531"
43,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,168,548,213,588,"168,213,213,168,168","548,548,588,588,548"
44,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,58,503,98,558,"58,98,98,58,58","503,503,558,558,503"
45,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,61,558,91,618,"61,91,91,61,61","558,558,618,618,558"
46,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,21,571,46,611,"21,46,46,21,21","571,571,611,611,571"
47,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,6,526,41,561,"6,41,41,6,6","526,526,561,561,526"
48,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,178,601,233,645,"178,233,233,178,178","601,601,645,645,601"
49,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,333,573,388,603,"333,388,388,333,333","573,573,603,603,573"
50,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,301,573,345,623,"301,345,345,301,301","573,573,623,623,573"
51,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,203,443,248,508,"203,248,248,203,203","443,443,508,508,443"
52,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,410,304,450,343,"410,450,450,410,410","304,304,343,343,304"
53,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,440,333,475,373,"440,475,475,440,440","333,333,373,373,333"
54,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,495,346,535,391,"495,535,535,495,495","346,346,391,391,346"
55,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,468,416,498,451,"468,498,498,468,468","416,416,451,451,416"
56,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,415,473,445,508,"415,445,445,415,415","473,473,508,508,473"
57,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,560,418,600,478,"560,600,600,560,560","418,418,478,478,418"
