,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,479,514,517,572,"479,517,517,479","514,514,572,572"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,499,503,541,565,"499,541,541,499","503,503,565,565"
2,lymphocyte,lymphocyte,sTIL,rectangle,529,596,557,622,"529,557,557,529","596,596,622,622"
3,lymphocyte,lymphocyte,sTIL,rectangle,473,585,499,617,"473,499,499,473","585,585,617,617"
4,lymphocyte,lymphocyte,sTIL,rectangle,324,483,354,509,"324,354,354,324","483,483,509,509"
5,lymphocyte,lymphocyte,sTIL,rectangle,144,25,178,51,"144,178,178,144","25,25,51,51"
6,lymphocyte,lymphocyte,sTIL,rectangle,260,204,298,240,"260,298,298,260","204,204,240,240"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,63,176,141,258,"141,141,133,128,116,108,106,73,66,63,66,91,98,116,136,138,141","226,238,253,258,256,253,251,214,204,199,176,176,179,189,214,219,226"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,360,139,439,174,"360,439,439,360,360","139,139,174,174,139"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,290,599,345,664,"290,345,345,290,290","599,599,664,664,599"
10,lymphocyte,lymphocyte,sTIL,polyline,452,79,502,141,"502,489,479,467,464,454,452,452,462,474,484,487,497,502","124,141,139,134,131,112,102,97,79,79,84,87,107,124"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,397,365,462,410,"397,462,462,397,397","365,365,410,410,365"
12,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,258,12,310,67,"265,258,260,273,278,290,297,305,310,310,307,297,285,278,265","54,39,32,17,12,12,17,24,32,44,57,67,64,62,54"
13,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,317,74,360,136,"350,342,332,325,322,317,317,320,327,337,350,357,360,360,350","131,136,134,131,129,121,99,94,82,74,74,87,104,112,131"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,297,398,357,443,"297,357,357,297,297","398,398,443,443,398"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,158,502,208,557,"158,208,208,158,158","502,502,557,557,502"
16,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,487,440,536,495,"487,536,536,487,487","440,440,495,495,440"
17,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,26,246,81,296,"26,81,81,26,26","246,246,296,296,246"
18,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,113,445,163,495,"113,163,163,113,113","445,445,495,495,445"
19,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,141,388,195,428,"141,195,195,141,141","388,388,428,428,388"
