,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,133,178,177,226,"133,177,177,133,133","178,178,226,226,178"
1,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,115,5,149,49,"117,149,148,115,117","5,5,49,49,5"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,0,290,37,330,"0,1,4,9,14,22,24,35,37,37,36,25,6,0","306,297,294,290,291,299,300,314,322,327,330,327,312,306"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,264,169,301,204,"264,268,270,289,298,301,298,289,285,267,264,264","180,171,169,180,188,193,204,203,202,188,182,180"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,12,88,42,130,"24,12,16,17,24,31,37,38,42,42,38,36,30,24","124,104,90,88,88,92,98,100,110,113,125,130,129,124"
5,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,133,52,162,92,"133,162,162,133,133","52,52,92,92,52"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,58,141,95,173,"58,95,95,58,58","141,141,173,173,141"
7,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,81,62,115,92,"81,115,115,81,81","62,62,92,92,62"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,1,248,33,280,"1,33,33,1,1","248,248,280,280,248"
9,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,63,0,92,35,"64,92,90,63,64","0,0,35,35,0"
10,lymphocyte,lymphocyte,sTIL,polyline,207,198,239,229,"214,227,234,238,239,239,238,236,228,217,213,211,208,207,207,211,214","198,198,204,209,214,218,224,227,229,227,224,222,218,209,207,201,198"
11,lymphocyte,lymphocyte,sTIL,polyline,259,322,285,352,"263,275,278,284,285,285,284,281,278,265,260,259,259,260,263","322,322,324,330,335,341,347,350,352,343,340,332,330,326,322"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,47,107,79,129,"47,79,79,47,47","107,107,129,129,107"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,206,265,236,290,"234,228,217,210,207,206,206,210,216,224,234,236,236,234","290,290,285,279,274,269,268,265,265,269,279,283,288,290"
14,lymphocyte,lymphocyte,sTIL,polyline,151,228,180,254,"177,169,161,154,152,151,151,156,166,175,179,180,180,177","254,254,252,243,240,235,232,228,233,238,243,249,252,254"
15,lymphocyte,lymphocyte,sTIL,polyline,169,97,190,125,"169,169,170,172,179,182,185,186,188,190,190,188,187,183,176,170,169","116,110,104,99,97,98,99,100,104,108,111,119,121,125,125,119,116"
16,lymphocyte,lymphocyte,sTIL,polyline,208,327,236,347,"210,208,210,212,231,234,236,236,234,229,218,213,210","342,338,331,327,327,331,333,340,342,347,347,345,342"
17,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,125,204,148,229,"125,148,148,125,125","204,204,229,229,204"
18,lymphocyte,lymphocyte,sTIL,polyline,207,59,227,85,"217,207,208,212,218,223,224,227,227,226,222,217","83,73,67,59,59,62,63,67,69,79,85,83"
19,lymphocyte,lymphocyte,sTIL,polyline,304,212,326,235,"326,326,325,317,314,307,304,304,306,310,315,319,321,326","219,234,235,235,234,231,224,222,214,212,213,214,216,219"
20,lymphocyte,lymphocyte,sTIL,rectangle,245,68,265,88,"245,265,265,245,245","68,68,88,88,68"
21,lymphocyte,lymphocyte,sTIL,rectangle,108,213,123,235,"108,123,123,108,108","213,213,235,235,213"
22,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,161,160,181,177,"161,181,181,161,161","160,160,177,177,160"
23,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,14,232,33,249,"14,33,33,14,14","232,232,249,249,232"
24,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,143,116,160,134,"143,160,160,143,143","116,116,134,134,116"
25,lymphocyte,lymphocyte,sTIL,rectangle,211,152,228,165,"211,228,228,211,211","152,152,165,165,152"
26,lymphocyte,lymphocyte,sTIL,rectangle,154,103,164,118,"154,164,164,154,154","103,103,118,118,103"
