,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,261,350,337,394,"261,337,337,261","350,350,394,394"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,234,276,288,312,"234,288,288,234","276,276,312,312"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,80,0,140,66,"80,140,140,80","0,0,66,66"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,101,170,167,212,"101,167,167,101","170,170,212,212"
4,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,232,193,298,237,"232,298,298,232","193,193,237,237"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,0,274,62,341,"0,62,62,0,0","274,274,341,341,274"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,107,258,162,330,"107,162,162,107,107","258,258,330,330,258"
7,tumor,tumor_nonMitotic,tumor_any,polyline,27,37,80,101,"64,41,33,32,27,27,30,31,41,44,51,63,68,73,79,80,80,75,64","101,101,93,90,77,70,62,59,43,41,37,37,38,44,57,68,80,90,101"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,132,203,199,252,"132,199,199,132,132","203,203,252,252,203"
9,tumor,tumor_nonMitotic,tumor_any,polyline,137,324,183,393,"144,157,163,165,173,178,182,183,183,182,179,175,169,161,157,151,149,146,144,138,137,137,142,144","324,324,326,327,334,339,346,352,366,378,382,387,393,393,392,387,386,381,378,363,357,351,331,324"
10,tumor,tumor_nonMitotic,tumor_any,polyline,191,347,246,409,"191,191,194,205,210,224,230,235,241,246,246,243,241,235,233,224,219,209,200,196,191","399,378,374,358,353,347,347,348,356,363,372,383,388,399,400,407,409,409,405,403,399"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,46,248,85,313,"46,85,85,46,46","248,248,313,313,248"
12,tumor,tumor_nonMitotic,tumor_any,polyline,172,274,217,329,"200,184,180,178,174,172,172,174,177,201,208,215,216,217,217,216,211,208,200","329,329,327,325,320,295,282,277,274,274,278,287,289,297,299,303,316,321,329"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,334,287,393,321,"334,393,393,334,334","287,287,321,321,287"
14,tumor,tumor_nonMitotic,tumor_any,polyline,253,38,300,88,"288,261,254,253,253,258,261,263,267,272,278,285,292,298,299,300,298,288","88,81,75,67,62,49,46,43,41,38,38,41,46,52,57,64,70,88"
15,tumor,tumor_nonMitotic,tumor_any,polyline,100,74,151,119,"104,112,119,132,137,141,146,148,151,151,149,138,135,130,117,111,106,101,100,102,104","81,74,74,75,77,78,85,90,96,104,106,114,115,116,119,117,112,104,100,85,81"
16,tumor,tumor_nonMitotic,tumor_any,polyline,167,81,208,135,"167,170,175,177,182,186,194,204,205,208,208,206,204,196,195,188,180,178,169,167,167","101,93,86,85,81,83,86,94,95,105,111,117,121,130,131,135,135,133,128,121,101"
17,tumor,tumor_nonMitotic,tumor_any,polyline,44,347,91,394,"44,47,48,59,63,72,79,83,86,90,91,91,88,85,84,81,75,67,59,57,47,44","367,358,357,348,347,348,350,351,353,358,361,365,383,392,393,394,394,392,389,388,378,367"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,22,149,64,194,"22,64,64,22,22","149,149,194,194,149"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,42,95,76,140,"42,76,76,42,42","95,95,140,140,95"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,282,93,319,130,"282,319,319,282,282","93,93,130,130,93"
21,tumor,tumor_nonMitotic,tumor_any,polyline,212,83,250,116,"212,215,222,225,231,241,246,250,248,245,241,233,229,221,216,214,212","104,94,84,83,83,84,86,89,101,109,112,115,116,115,112,109,104"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,164,167,199,199,"164,199,199,164,164","167,167,199,199,167"
23,tumor,tumor_nonMitotic,tumor_any,polyline,340,162,369,198,"340,340,342,345,346,356,358,367,369,369,366,358,353,347,341,340","193,184,177,172,170,163,162,164,172,174,188,195,198,198,194,193"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,351,318,381,350,"351,381,381,351,351","318,318,350,350,318"
25,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,318,26,352,48,"318,352,352,318,318","26,26,48,48,26"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,300,245,330,272,"300,330,330,300,300","245,245,272,272,245"
