,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,230,226,256,287,"230,230,236,240,244,247,250,252,256,256,252,250,246,235,233,230","266,259,240,233,229,226,229,233,242,263,280,283,287,287,277,266"
1,macrophage,macrophage,nonTIL_stromal,polyline,138,130,185,173,"138,138,144,146,159,165,167,181,185,185,183,178,161,143,138","156,141,136,135,130,130,133,147,154,159,165,173,173,162,156"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,303,71,338,106,"338,336,329,315,309,304,303,305,324,329,334,338","103,106,106,98,94,86,77,71,73,75,91,103"
3,lymphocyte,lymphocyte,sTIL,polyline,81,218,115,251,"81,81,82,93,97,103,106,112,113,115,114,113,107,103,97,92,88,85,81","235,229,226,219,218,218,219,224,226,233,242,244,249,251,251,250,249,246,235"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,136,64,178,86,"136,178,178,136,136","64,64,86,86,64"
5,plasma_cell,plasma_cell,sTIL,polyline,1,178,35,208,"1,2,12,18,23,32,35,35,34,30,28,20,12,6,1,1","194,189,182,178,180,184,192,198,202,204,205,208,208,204,201,194"
6,lymphocyte,lymphocyte,sTIL,polyline,150,23,185,51,"150,150,156,166,173,183,185,183,181,166,159,151,150","40,28,25,23,24,30,43,49,51,51,48,41,40"
7,lymphocyte,lymphocyte,sTIL,polyline,101,176,131,205,"128,118,114,102,101,101,107,113,118,129,131,129,128","199,205,203,191,187,183,176,177,180,188,194,198,199"
8,lymphocyte,lymphocyte,sTIL,polyline,50,102,77,134,"67,71,72,76,77,77,72,70,60,55,54,50,51,52,55,60,67","102,103,106,114,122,124,133,134,133,130,129,120,114,112,109,106,102"
9,lymphocyte,lymphocyte,sTIL,polyline,33,229,57,262,"57,54,49,43,35,34,33,33,38,43,49,55,57","236,247,255,262,261,260,251,236,231,229,229,233,236"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,301,40,328,70,"301,328,328,301,301","40,40,70,70,40"
11,lymphocyte,lymphocyte,sTIL,polyline,11,35,39,64,"34,13,11,11,12,17,23,28,35,39,38,36,34","64,59,46,44,40,35,35,36,44,49,59,61,64"
12,macrophage,macrophage,nonTIL_stromal,rectangle,266,134,288,166,"266,288,288,266,266","134,134,166,166,134"
13,macrophage,macrophage,nonTIL_stromal,rectangle,103,320,135,342,"103,135,135,103,103","320,320,342,342,320"
