,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,40,145,94,195,"94,94,86,64,57,44,40,40,45,49,55,64,71,85,90,92,94","179,195,194,190,186,176,170,149,147,145,145,147,150,159,164,168,179"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,77,203,114,265,"114,114,112,98,93,92,85,82,78,77,77,83,90,96,104,108,109,113,114","237,263,265,265,261,260,249,244,234,228,213,207,203,207,215,219,222,232,237"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,246,78,294,129,"288,272,267,260,257,246,247,255,256,260,270,281,287,293,294,294,288","129,129,128,122,118,95,90,81,80,78,83,91,97,106,110,118,129"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,180,15,234,49,"180,234,234,180,180","15,15,49,49,15"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,194,276,229,328,"224,214,208,203,202,199,194,194,198,199,204,209,222,224,229,228,227,224","328,328,323,315,312,306,284,282,277,276,277,280,292,297,310,318,323,328"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,131,42,170,87,"131,134,139,143,149,157,160,164,169,170,169,167,162,148,138,135,131,131","75,55,46,42,42,46,47,50,58,70,75,78,83,87,87,86,83,75"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,283,131,330,166,"326,314,312,299,289,285,283,283,286,289,296,304,308,317,326,330,330,326","166,166,165,158,150,144,141,134,132,131,131,132,134,142,150,158,163,166"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,186,92,230,112,"193,198,204,223,228,230,229,225,223,210,201,193,187,186,188,193","95,92,92,97,101,106,108,111,112,112,111,110,106,104,100,95"
8,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,280,268,307,302,"280,307,307,280,280","268,268,302,302,268"
9,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,51,85,86,110,"51,53,55,56,59,62,69,75,80,85,86,83,77,75,69,55,54,51","101,96,90,87,86,85,85,87,90,94,99,102,108,110,110,106,105,101"
10,lymphocyte,lymphocyte,sTIL,polyline,206,60,231,90,"230,220,213,210,206,206,208,214,220,227,229,231,231,230","84,90,89,87,76,71,63,60,60,63,64,68,79,84"
11,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,111,0,143,22,"143,143,138,125,118,112,111,111,117,129,135,141,143","13,20,22,22,20,13,10,6,0,0,2,10,13"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,87,316,112,343,"87,112,112,87,87","316,316,343,343,316"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,1,274,19,305,"11,3,1,1,6,9,16,19,19,18,17,11","305,301,290,279,274,275,281,290,298,302,305,305"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,270,252,304,261,"270,304,304,270,270","252,252,261,261,252"
15,lymphocyte,lymphocyte,sTIL,polyline,28,1,56,22,"53,44,39,35,32,28,29,34,40,48,50,55,56,56,53","22,22,21,18,15,7,4,1,1,4,5,8,12,16,22"
16,lymphocyte,lymphocyte,sTIL,polyline,277,217,297,239,"282,277,280,282,283,297,297,293,292,288,282","239,221,218,217,217,227,229,237,238,239,239"
17,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,286,307,303,329,"286,303,303,286,286","307,307,329,329,307"
