,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,macrophage,macrophage,nonTIL_stromal,rectangle,41,106,71,175,"41,71,71,41,41","106,106,175,175,106"
1,macrophage,macrophage,nonTIL_stromal,polyline,97,273,132,334,"97,97,100,105,109,114,121,125,132,131,129,128,120,118,114,104,100,97","322,305,294,286,281,278,273,275,284,294,307,313,326,328,331,334,333,322"
2,macrophage,macrophage,nonTIL_stromal,polyline,261,106,297,156,"294,297,295,293,290,284,277,268,265,262,261,261,263,268,273,287,289,293,294","122,142,148,152,153,156,156,152,148,144,127,121,114,109,106,109,110,117,122"
3,macrophage,macrophage,nonTIL_stromal,polyline,89,68,136,105,"98,136,136,135,126,123,115,109,94,93,89,89,93,98","68,81,101,105,105,104,100,96,85,84,79,78,73,68"
4,macrophage,macrophage,nonTIL_stromal,polyline,139,168,184,204,"168,179,182,183,184,184,183,171,161,153,149,142,140,139,141,144,162,168","168,172,174,177,183,189,194,204,204,202,201,196,194,188,183,180,170,168"
5,macrophage,macrophage,nonTIL_stromal,polyline,192,99,230,139,"227,215,208,204,194,192,192,197,200,205,223,225,227,230,229,227","127,139,138,137,130,125,117,107,104,102,99,101,107,120,125,127"
6,macrophage,macrophage,nonTIL_stromal,polyline,0,228,29,276,"24,18,14,9,7,0,0,2,8,13,19,23,29,26,24","276,276,274,269,263,244,231,228,228,231,237,242,267,274,276"
7,macrophage,macrophage,nonTIL_stromal,polyline,234,174,265,217,"234,234,237,239,244,248,255,261,263,265,265,263,258,250,241,234","212,194,181,180,177,174,174,178,185,194,212,214,217,217,216,212"
8,macrophage,macrophage,nonTIL_stromal,polyline,25,206,60,239,"25,28,30,36,49,55,56,60,58,57,47,40,35,28,26,25,25","220,211,209,206,209,212,214,222,232,233,239,239,238,232,230,225,220"
9,macrophage,macrophage,nonTIL_stromal,polyline,165,106,189,147,"184,174,173,166,165,166,168,172,179,187,188,189,187,184","147,143,141,121,111,107,106,107,112,119,125,133,144,147"
10,macrophage,macrophage,nonTIL_stromal,rectangle,33,78,62,115,"33,62,62,33,33","78,78,115,115,78"
11,macrophage,macrophage,nonTIL_stromal,polyline,289,173,320,209,"306,299,293,289,289,290,292,297,303,309,314,320,319,318,314,306","209,206,195,188,185,180,178,173,174,180,188,197,204,206,209,209"
12,macrophage,macrophage,nonTIL_stromal,rectangle,214,299,239,333,"214,239,239,214,214","299,299,333,333,299"
13,macrophage,macrophage,nonTIL_stromal,polyline,151,233,178,264,"171,160,157,152,151,151,156,158,161,165,168,173,174,178,178,177,174,171","264,264,263,257,249,247,237,235,233,235,237,241,242,251,253,257,260,264"
14,macrophage,macrophage,nonTIL_stromal,polyline,242,289,267,320,"242,244,246,252,258,262,266,267,267,257,250,242","312,295,289,289,291,295,305,312,315,320,318,312"
15,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,303,33,325,65,"303,325,325,303,303","33,33,65,65,33"
16,macrophage,macrophage,nonTIL_stromal,rectangle,203,251,223,280,"203,223,223,203,203","251,251,280,280,251"
17,macrophage,macrophage,nonTIL_stromal,rectangle,187,278,209,302,"187,209,209,187,187","278,278,302,302,278"
18,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,226,44,244,69,"226,244,244,226,226","44,44,69,69,44"
19,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,83,233,98,258,"83,98,98,83,83","233,233,258,258,233"
20,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,45,307,62,330,"45,62,62,45,45","307,307,330,330,307"
21,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,63,291,83,309,"63,83,83,63,63","291,291,309,309,291"
22,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,66,311,78,333,"66,78,78,66,66","311,311,333,333,311"
23,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,224,83,234,102,"224,234,234,224,224","83,83,102,102,83"
24,macrophage,macrophage,nonTIL_stromal,rectangle,87,124,119,158,"87,119,119,87","124,124,158,158"
25,macrophage,macrophage,nonTIL_stromal,rectangle,291,77,325,119,"291,325,325,291","77,77,119,119"
26,macrophage,macrophage,nonTIL_stromal,rectangle,287,256,329,284,"287,329,329,287","256,256,284,284"
27,macrophage,macrophage,nonTIL_stromal,rectangle,286,282,310,318,"286,310,310,286","282,282,318,318"
