,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,241,308,310,380,"241,310,310,241,241","308,308,380,380,308"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,329,264,391,321,"329,391,391,329,329","264,264,321,321,264"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,74,222,131,281,"74,131,131,74,74","222,222,281,281,222"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,130,221,191,275,"130,191,191,130,130","221,221,275,275,221"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,125,157,174,221,"125,174,174,125,125","157,157,221,221,157"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,99,280,163,322,"99,163,163,99,99","280,280,322,322,280"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,86,313,136,368,"86,136,136,86,86","313,313,368,368,313"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,83,163,130,215,"83,130,130,83,83","163,163,215,215,163"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,225,271,281,306,"225,281,281,225,225","271,271,306,306,271"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,307,244,342,301,"307,342,342,307,307","244,244,301,301,244"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,153,137,197,186,"153,197,197,153,153","137,137,186,186,137"
11,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,243,0,273,57,"243,273,273,243,243","0,0,57,57,0"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,6,291,58,326,"6,58,58,6,6","291,291,326,326,291"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,51,276,90,321,"51,90,90,51,51","276,276,321,321,276"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,112,85,154,120,"112,154,154,112,112","85,85,120,120,85"
15,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,279,94,328,113,"279,328,328,279,279","94,94,113,113,94"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,159,121,204,148,"159,204,204,159,159","121,121,148,148,121"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,51,158,80,200,"51,80,80,51,51","158,158,200,200,158"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,79,6,111,48,"79,111,111,79,79","6,6,48,48,6"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,9,265,51,295,"9,51,51,9,9","265,265,295,295,265"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,11,53,53,78,"11,53,53,11,11","53,53,78,78,53"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,0,65,32,102,"0,32,32,0,0","65,65,102,102,65"
22,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,290,112,325,144,"290,325,325,290,290","112,112,144,144,112"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,64,126,106,148,"64,106,106,64,64","126,126,148,148,126"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,44,64,64,106,"44,64,64,44,44","64,64,106,106,64"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,216,312,246,337,"216,246,246,216,216","312,312,337,337,312"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,200,199,230,223,"200,230,230,200,200","199,199,223,223,199"
