,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,4,171,43,213,"4,43,43,4,4","171,171,213,213,171"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,60,151,102,183,"60,102,102,60,60","151,151,183,183,151"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,221,120,266,145,"246,223,221,221,222,232,250,259,265,266,266,255,246","145,141,136,130,125,120,120,123,126,131,138,145,145"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,67,292,106,325,"80,67,74,79,85,96,106,106,105,89,84,80","320,302,296,292,293,297,309,310,314,325,323,320"
4,plasma_cell,plasma_cell,sTIL,polyline,128,236,167,266,"139,132,128,128,131,133,137,147,153,155,162,163,165,167,164,160,155,139","266,265,254,247,242,240,239,236,236,238,242,244,247,250,261,262,263,266"
5,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,223,233,265,255,"223,265,265,223,223","233,233,255,255,233"
6,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,41,189,73,224,"41,73,73,41,41","189,189,224,224,189"
7,plasma_cell,plasma_cell,sTIL,polyline,74,203,104,239,"97,104,104,100,97,91,85,81,76,75,74,79,83,89,97","205,221,230,236,239,239,235,233,224,218,210,205,203,203,205"
8,plasma_cell,plasma_cell,sTIL,polyline,257,89,287,124,"257,264,269,276,279,284,287,287,285,283,275,268,264,260,257,257","99,92,89,92,93,97,101,107,117,119,124,123,122,117,107,99"
9,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,213,80,250,107,"213,250,250,213,213","80,80,107,107,80"
10,plasma_cell,plasma_cell,sTIL,rectangle,268,136,297,171,"268,297,297,268,268","136,136,171,171,136"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,84,27,123,46,"84,123,123,84,84","27,27,46,46,27"
12,plasma_cell,plasma_cell,sTIL,polyline,32,221,59,252,"32,37,43,49,54,59,58,47,38,33,32","238,221,221,224,228,233,241,252,252,250,238"
13,plasma_cell,plasma_cell,sTIL,polyline,6,219,34,249,"17,14,7,6,10,15,17,23,32,34,34,33,32,26,17","249,246,235,230,224,220,219,219,221,224,228,233,235,242,249"
14,plasma_cell,plasma_cell,sTIL,polyline,170,246,200,275,"180,184,190,197,200,200,194,190,184,178,174,171,170,170,176,180","247,246,246,249,254,257,270,272,275,272,268,265,261,260,251,247"
15,plasma_cell,plasma_cell,sTIL,polyline,234,292,264,320,"234,236,247,253,255,264,263,260,250,244,239,234","309,299,292,292,293,315,318,320,320,318,315,309"
