,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,4,81,43,137,"4,9,10,11,19,25,35,40,43,43,37,30,20,17,8,5,4,4","114,90,88,86,81,81,88,91,96,110,120,128,136,137,136,135,127,114"
1,tumor,tumor_nonMitotic,tumor_any,polyline,0,201,51,246,"20,5,3,0,4,11,14,15,21,32,42,50,51,51,50,43,40,20","246,246,244,238,226,206,202,201,201,204,206,212,214,215,220,230,234,246"
2,tumor,tumor_nonMitotic,tumor_any,polyline,175,0,222,48,"194,179,177,175,175,179,180,198,210,215,219,222,222,208,198,194","48,47,42,36,21,15,14,0,0,1,4,7,23,42,47,48"
3,tumor,tumor_nonMitotic,tumor_any,polyline,142,120,189,164,"142,142,145,150,158,166,180,188,189,189,188,183,179,168,148,143,142","157,148,144,138,130,123,120,127,130,136,144,152,157,164,164,159,157"
4,tumor,tumor_nonMitotic,tumor_any,polyline,85,151,131,196,"85,88,90,95,96,103,108,112,129,131,131,130,127,125,119,110,103,94,87,85","178,164,159,152,151,151,152,156,168,172,183,188,191,193,195,196,196,195,188,178"
5,tumor,tumor_nonMitotic,tumor_any,polyline,121,281,158,333,"121,121,122,125,129,151,154,158,158,157,153,150,143,133,129,124,121","311,299,292,288,281,288,290,299,311,315,323,330,333,333,328,317,311"
6,tumor,tumor_nonMitotic,tumor_any,polyline,191,41,245,75,"198,194,191,191,193,208,217,236,242,245,245,243,241,235,231,226,212,198","75,74,69,64,59,46,43,41,41,46,52,62,64,69,72,73,74,75"
7,tumor,tumor_nonMitotic,tumor_any,polyline,217,222,256,264,"256,256,249,247,237,226,222,221,219,217,217,219,225,228,231,237,241,247,249,253,256","244,251,263,264,263,258,255,254,251,248,234,231,226,223,222,222,223,228,231,238,244"
8,tumor,tumor_nonMitotic,tumor_any,polyline,150,179,191,214,"150,150,161,168,174,179,185,191,188,182,177,167,158,150","202,194,183,179,179,180,183,191,204,209,211,214,211,202"
9,tumor,tumor_nonMitotic,tumor_any,polyline,182,94,219,133,"211,201,195,188,185,183,182,187,193,199,205,214,216,219,219,211","133,133,131,126,122,111,102,96,94,94,96,109,115,126,128,133"
10,tumor,tumor_nonMitotic,tumor_any,polyline,173,338,212,374,"173,174,178,184,191,195,201,208,211,212,208,204,199,195,185,180,174,173","360,354,349,343,339,338,338,341,347,357,364,368,371,374,374,371,367,360"
11,tumor,tumor_nonMitotic,tumor_any,polyline,265,311,303,349,"286,274,270,269,265,267,270,273,279,295,300,303,303,301,298,293,286","349,347,341,338,328,318,313,311,311,315,322,328,332,341,344,347,349"
12,tumor,tumor_nonMitotic,tumor_any,polyline,247,260,282,300,"270,265,251,247,249,258,277,280,282,282,280,278,270","300,297,283,278,270,260,267,273,283,286,292,300,300"
13,tumor,tumor_nonMitotic,tumor_any,polyline,84,114,122,149,"95,84,85,90,95,108,114,117,120,122,122,121,119,110,100,96,95","147,132,127,121,118,114,114,115,116,122,127,135,139,149,149,148,147"
14,tumor,tumor_nonMitotic,tumor_any,polyline,133,215,177,244,"133,135,152,154,167,170,175,177,177,172,168,162,156,143,137,133,133","228,227,216,215,215,216,221,225,228,238,241,243,244,243,241,237,228"
15,tumor,tumor_nonMitotic,tumor_any,polyline,203,306,246,334,"246,246,210,205,203,203,208,209,212,222,235,245,246","317,334,330,328,327,317,311,310,309,306,306,311,317"
16,tumor,tumor_nonMitotic,tumor_any,polyline,69,48,109,81,"69,69,71,72,82,94,99,106,109,109,106,105,94,88,79,75,74,69","72,59,57,56,48,48,49,53,60,67,72,73,79,81,81,79,78,72"
17,tumor,tumor_nonMitotic,tumor_any,polyline,220,331,259,364,"259,258,246,227,225,220,220,222,225,235,241,246,251,259","348,364,363,355,354,342,338,332,331,332,333,336,339,348"
18,tumor,tumor_nonMitotic,tumor_any,polyline,195,142,230,180,"196,195,196,198,204,208,214,220,226,230,230,226,222,209,201,196","174,165,157,154,147,144,142,142,144,148,169,178,180,180,178,174"
19,tumor,tumor_nonMitotic,tumor_any,polyline,307,207,342,246,"307,309,311,319,325,330,333,340,342,342,341,336,332,328,323,320,312,310,307,307","222,215,212,207,207,209,210,215,220,226,233,239,243,246,244,243,237,233,228,222"
20,tumor,tumor_nonMitotic,tumor_any,polyline,231,116,265,153,"231,231,233,242,249,253,258,264,265,265,264,256,252,240,232,231","148,123,121,116,117,118,121,125,131,137,142,151,153,152,149,148"
21,tumor,tumor_nonMitotic,tumor_any,polyline,285,152,316,190,"316,315,311,310,305,300,293,291,288,285,289,290,296,303,307,314,315,316","169,180,185,186,190,189,185,184,179,169,158,156,152,152,153,158,163,169"
22,tumor,tumor_nonMitotic,tumor_any,polyline,10,35,45,69,"17,11,10,10,11,16,19,22,35,41,45,45,41,34,27,17","69,63,58,56,42,37,36,35,35,37,40,53,58,65,69,69"
23,tumor,tumor_nonMitotic,tumor_any,polyline,247,74,282,105,"267,275,277,282,282,278,262,252,247,247,248,249,264,267","74,77,78,84,95,100,105,105,100,98,93,90,75,74"
24,tumor,tumor_nonMitotic,tumor_any,polyline,275,114,304,149,"286,293,301,304,304,303,300,299,295,290,282,278,277,275,275,277,280,283,286","114,114,120,123,128,133,139,142,144,147,149,148,144,139,131,126,118,116,114"
25,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,195,201,227,226,"201,214,217,225,227,224,219,205,201,198,195,196,200,201","205,201,202,206,212,225,226,225,223,220,216,212,206,205"
26,tumor,tumor_nonMitotic,tumor_any,polyline,57,100,78,135,"57,63,69,72,78,78,77,73,71,63,61,59,57,57","114,100,101,102,109,115,122,132,135,135,132,130,120,114"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,104,9,150,51,"104,150,150,104","9,9,51,51"
28,tumor,tumor_nonMitotic,tumor_any,rectangle,144,67,178,105,"144,178,178,144","67,67,105,105"
29,tumor,tumor_nonMitotic,tumor_any,rectangle,292,49,330,83,"292,330,330,292","49,49,83,83"
30,tumor,tumor_nonMitotic,tumor_any,rectangle,159,247,187,287,"159,187,187,159","247,247,287,287"
31,tumor,tumor_nonMitotic,tumor_any,rectangle,252,166,282,204,"252,282,282,252","166,166,204,204"
32,tumor,tumor_nonMitotic,tumor_any,rectangle,22,151,54,185,"22,54,54,22","151,151,185,185"
33,tumor,tumor_nonMitotic,tumor_any,rectangle,118,56,142,90,"118,142,142,118","56,56,90,90"
34,tumor,tumor_nonMitotic,tumor_any,rectangle,310,122,328,152,"310,328,328,310","122,122,152,152"
35,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,306,288,324,310,"306,324,324,306","288,288,310,310"
