,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,478,426,532,468,"478,532,532,478","426,426,468,468"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,434,426,482,466,"434,482,482,434","426,426,466,466"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,491,367,527,413,"491,527,527,491","367,367,413,413"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,452,295,496,341,"452,496,496,452","295,295,341,341"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,370,371,408,427,"370,408,408,370","371,371,427,427"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,287,375,325,415,"287,325,325,287","375,375,415,415"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,197,379,241,411,"197,241,241,197","379,379,411,411"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,207,487,251,513,"207,251,251,207","487,487,513,513"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,497,487,569,519,"497,569,569,497","487,487,519,519"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,538,442,600,470,"538,600,600,538","442,442,470,470"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,444,520,494,564,"444,494,494,444","520,520,564,564"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,372,520,426,556,"372,426,426,372","520,520,556,556"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,225,536,259,570,"225,259,259,225","536,536,570,570"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,254,511,286,543,"254,286,286,254","511,511,543,543"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,519,175,559,209,"519,559,559,519","175,175,209,209"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,533,134,575,176,"533,575,575,533","134,134,176,176"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,105,310,155,342,"105,155,155,105","310,310,342,342"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,83,261,143,291,"83,143,143,83","261,261,291,291"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,54,222,114,260,"54,114,114,54","222,222,260,260"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,56,295,94,341,"56,94,94,56","295,295,341,341"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,15,365,67,413,"15,67,67,15","365,365,413,413"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,36,463,76,513,"36,76,76,36","463,463,513,513"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,158,512,200,554,"158,200,200,158","512,512,554,554"
23,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,421,116,467,162,"421,467,467,421","116,116,162,162"
24,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,374,140,412,166,"374,412,412,374","140,140,166,166"
25,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,316,146,396,180,"316,396,396,316","146,146,180,180"
26,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,277,153,335,187,"277,335,335,277","153,153,187,187"
27,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,246,187,300,215,"246,300,300,246","187,187,215,215"
28,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,332,246,376,288,"332,376,376,332","246,246,288,288"
29,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,216,216,286,250,"216,286,286,216","216,216,250,250"
30,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,160,51,210,93,"160,210,210,160","51,51,93,93"
31,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,248,42,300,76,"248,300,300,248","42,42,76,76"
32,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,322,40,384,70,"322,384,384,322","40,40,70,70"
33,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,303,61,353,85,"303,353,353,303","61,61,85,85"
34,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,69,65,139,109,"69,139,139,69","65,65,109,109"
35,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,1,38,57,76,"1,57,57,1","38,38,76,76"
36,tumor,tumor_nonMitotic,tumor_any,rectangle,132,416,198,450,"132,198,198,132","416,416,450,450"
37,tumor,tumor_nonMitotic,tumor_any,rectangle,83,357,129,397,"83,129,129,83","357,357,397,397"
38,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,499,126,527,166,"499,527,527,499","126,126,166,166"
39,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,448,377,488,407,"448,488,488,448","377,377,407,407"
40,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,79,436,123,482,"79,123,123,79","436,436,482,482"
41,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,193,132,239,158,"193,239,239,193","132,132,158,158"
