,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,126,190,213,237,"126,213,213,126,126","190,190,237,237,190"
1,tumor,tumor_nonMitotic,tumor_any,polyline,322,43,389,106,"344,334,328,322,323,327,338,372,377,382,384,387,389,389,387,384,382,344","106,105,97,83,64,59,52,43,44,46,48,52,59,72,81,105,106,106"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,72,2,142,56,"72,142,142,72,72","2,2,56,56,2"
3,tumor,tumor_nonMitotic,tumor_any,polyline,215,314,267,385,"222,242,248,251,258,267,267,266,252,245,239,234,229,227,220,215,219,221,222","319,314,314,315,324,356,360,369,382,385,384,382,379,377,367,353,335,324,319"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,148,241,222,283,"148,222,222,148,148","241,241,283,283,241"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,248,72,313,124,"248,313,313,248,248","72,72,124,124,72"
6,tumor,tumor_nonMitotic,tumor_any,polyline,278,273,328,338,"319,317,308,294,291,279,278,278,279,281,282,286,292,301,307,313,323,325,327,328,324,319","334,338,336,334,333,322,315,304,298,293,291,284,278,273,273,274,282,291,296,304,318,334"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,20,272,95,304,"20,95,95,20,20","272,272,304,304,272"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,0,217,50,279,"0,50,50,0,0","217,217,279,279,217"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,245,128,309,173,"245,309,309,245,245","128,128,173,173,128"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,14,116,81,155,"14,81,81,14,14","116,116,155,155,116"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,5,56,58,113,"5,58,58,5,5","56,56,113,113,56"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,310,118,363,175,"310,363,363,310,310","118,118,175,175,118"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,92,116,149,165,"92,149,149,92,92","116,116,165,165,116"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,293,0,348,52,"293,348,348,293,293","0,0,52,52,0"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,71,216,123,271,"71,123,123,71,71","216,216,271,271,216"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,62,175,127,212,"62,127,127,62,62","175,175,212,212,175"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,279,167,339,209,"279,339,339,279,279","167,167,209,209,167"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,58,61,102,118,"58,102,102,58,58","61,61,118,118,61"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,35,191,75,251,"35,75,75,35,35","191,191,251,251,191"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,24,314,79,359,"24,79,79,24,24","314,314,359,359,314"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,79,313,136,353,"79,136,136,79,79","313,313,353,353,313"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,96,60,136,117,"96,136,136,96,96","60,60,117,117,60"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,34,17,93,51,"34,93,93,34,34","17,17,51,51,17"
24,tumor,tumor_nonMitotic,tumor_any,polyline,175,308,220,350,"175,175,177,179,183,195,200,208,214,216,220,217,213,204,193,188,183,182,178,175","330,327,323,318,315,308,309,312,315,318,323,341,349,350,350,349,346,345,340,330"
25,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,219,200,252,251,"251,252,251,248,241,239,235,229,224,220,219,220,221,222,229,235,245,251","225,232,236,242,248,250,251,248,246,236,220,214,209,206,200,200,215,225"
26,tumor,tumor_nonMitotic,tumor_any,polyline,334,10,376,43,"334,340,353,359,361,371,376,375,371,368,346,343,340,335,334,334","17,10,10,12,13,20,33,36,40,41,43,41,40,35,23,17"
