,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,230,248,325,325,"230,325,325,230,230","248,248,325,325,248"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,321,284,381,382,"321,381,381,321,321","284,284,382,382,284"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,0,250,98,290,"0,98,98,0,0","250,250,290,290,250"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,17,213,94,260,"17,94,94,17,17","213,213,260,260,213"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,158,319,201,394,"158,201,201,158,158","319,319,394,394,319"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,94,89,152,151,"94,152,152,94,94","89,89,151,151,89"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,326,55,364,123,"326,364,364,326,326","55,55,123,123,55"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,109,302,157,362,"109,157,157,109,109","302,302,362,362,302"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,124,274,187,317,"124,187,187,124,124","274,274,317,317,274"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,117,110,180,135,"117,180,180,117,117","110,110,135,135,110"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,162,191,215,229,"162,215,215,162,162","191,191,229,229,191"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,221,169,241,224,"221,241,241,221,221","169,169,224,224,169"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,64,159,107,199,"64,107,107,64,64","159,159,199,199,159"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,173,170,218,203,"173,218,218,173,173","170,170,203,203,170"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,243,196,272,235,"272,270,266,258,253,248,245,243,243,248,258,267,271,272","209,229,235,235,233,226,216,211,206,199,196,199,203,209"
15,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,143,25,161,35,"143,161,161,143,143","25,25,35,35,25"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,382,302,432,364,"382,432,432,382","302,302,364,364"
17,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,119,0,139,22,"119,139,139,119","0,0,22,22"
