,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,120,11,158,57,"120,120,121,132,142,153,155,157,158,156,152,142,129,120","36,21,19,11,14,23,24,29,33,47,57,56,45,36"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,70,108,127,131,"78,70,74,80,86,92,120,125,126,127,127,126,122,111,96,85,78","125,116,112,108,108,110,116,117,118,122,125,126,128,131,131,128,125"
2,tumor,tumor_nonMitotic,tumor_any,polyline,192,207,242,272,"242,240,239,227,222,217,208,203,192,192,196,208,217,229,233,239,242","253,257,259,269,272,271,266,261,236,210,207,207,208,212,215,239,253"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,211,75,280,122,"211,211,215,217,229,235,240,259,261,276,279,280,280,279,270,266,264,258,254,217,212,211","98,88,81,80,75,75,76,82,84,95,98,102,110,111,118,121,122,122,121,105,102,98"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,138,59,183,112,"138,138,140,141,143,147,152,156,162,178,182,183,183,182,179,171,163,150,143,138","92,81,71,67,62,59,60,62,69,87,92,98,106,111,112,112,111,102,97,92"
5,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,270,8,360,82,"270,360,360,270,270","8,8,82,82,8"
6,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,342,100,377,134,"342,377,377,342,342","100,100,134,134,100"
7,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,340,233,397,253,"340,397,397,340,340","233,233,253,253,233"
8,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,1,152,122,226,"1,122,122,1,1","152,152,226,226,152"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,137,187,194,246,"137,194,194,137,137","187,187,246,246,187"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,90,184,130,261,"90,130,130,90,90","184,184,261,261,184"
11,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,380,67,402,92,"380,402,402,380,380","67,67,92,92,67"
