,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,1,140,109,227,"1,1,3,19,28,38,69,94,96,100,109,109,107,106,104,94,87,79,63,33,1","199,174,164,149,144,140,140,143,144,147,164,181,195,200,205,220,225,226,227,227,199"
1,tumor,tumor_nonMitotic,tumor_any,polyline,280,0,341,54,"338,341,340,336,334,325,307,301,290,288,284,280,281,285,297,309,321,329,336,338","14,35,37,44,46,50,54,52,42,40,29,9,5,4,1,0,0,1,9,14"
2,tumor,tumor_nonMitotic,tumor_any,polyline,55,32,102,66,"102,102,90,73,60,59,56,55,59,63,69,81,94,102","39,54,66,65,62,58,50,45,37,35,34,32,35,39"
3,tumor,tumor_nonMitotic,tumor_any,polyline,276,80,321,107,"276,276,281,284,288,295,304,316,319,320,321,320,311,304,299,283,279,276","102,96,90,87,85,82,80,80,81,82,87,99,103,106,107,107,106,102"
4,lymphocyte,lymphocyte,sTIL,polyline,58,88,109,123,"83,69,63,58,60,61,76,84,96,102,105,107,109,109,104,100,94,89,83","123,121,118,114,109,108,96,92,88,88,90,96,99,106,112,116,121,123,123"
5,lymphocyte,lymphocyte,sTIL,polyline,137,128,157,149,"157,157,147,142,138,137,137,140,141,146,148,156,157","139,145,149,148,145,142,134,129,128,129,131,136,139"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,92,229,142,311,"92,142,142,92,92","229,229,311,311,229"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,166,155,230,203,"166,230,230,166,166","155,155,203,203,155"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,235,205,297,252,"235,297,297,235,235","205,205,252,252,205"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,240,257,295,307,"240,295,295,240,240","257,257,307,307,257"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,176,213,225,252,"176,225,225,176,176","213,213,252,252,213"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,150,267,197,309,"150,197,197,150,150","267,267,309,309,267"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,368,104,408,149,"368,408,408,368,368","104,104,149,149,104"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,194,256,232,293,"194,232,232,194,194","256,256,293,293,256"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,362,175,397,213,"362,397,397,362,362","175,175,213,213,175"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,115,80,157,109,"115,157,157,115,115","80,80,109,109,80"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,363,37,391,72,"363,391,391,363,363","37,37,72,72,37"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,204,67,244,109,"204,244,244,204,204","67,67,109,109,67"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,198,91,268,148,"198,268,268,198,198","91,91,148,148,91"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,268,124,315,159,"268,315,315,268,268","124,124,159,159,124"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,274,142,336,177,"274,336,336,274,274","142,142,177,177,142"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,126,205,161,262,"126,161,161,126,126","205,205,262,262,205"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,373,257,413,309,"373,413,413,373,373","257,257,309,309,257"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,278,326,335,375,"278,335,335,278,278","326,326,375,375,326"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,114,29,161,56,"114,161,161,114,114","29,29,56,56,29"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,275,34,337,61,"275,337,337,275,275","34,34,61,61,34"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,315,55,342,75,"315,342,342,315,315","55,55,75,75,55"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,360,63,402,96,"360,402,402,360,360","63,63,96,96,63"
28,lymphocyte,lymphocyte,sTIL,rectangle,106,131,136,160,"106,136,136,106,106","131,131,160,160,131"
29,tumor,tumor_nonMitotic,tumor_any,rectangle,297,237,332,257,"297,332,332,297,297","237,237,257,257,237"
30,tumor,tumor_nonMitotic,tumor_any,rectangle,291,252,316,287,"291,316,316,291,291","252,252,287,287,252"
