,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,171,146,219,172,"171,219,219,171","146,146,172,172"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,204,181,240,221,"204,240,240,204","181,181,221,221"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,208,221,238,243,"208,238,238,208","221,221,243,243"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,327,39,359,85,"327,359,359,327","39,39,85,85"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,250,15,282,61,"250,282,282,250","15,15,61,61"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,315,0,383,36,"315,383,383,315","0,0,36,36"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,0,4,83,99,"0,83,83,0,0","4,4,99,99,4"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,47,79,107,147,"47,107,107,47,47","79,79,147,147,79"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,52,193,109,251,"52,109,109,52,52","193,193,251,251,193"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,138,228,191,278,"138,191,191,138,138","228,228,278,278,228"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,269,229,306,289,"269,276,285,286,291,299,300,302,305,306,302,300,296,292,284,269,269","278,252,232,229,232,237,238,242,249,264,274,278,283,287,289,286,278"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,160,241,195,301,"160,195,195,160,160","241,241,301,301,241"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,31,307,71,362,"31,71,71,31,31","307,307,362,362,307"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,99,229,140,274,"114,127,133,136,140,138,133,127,122,107,102,99,101,104,109,114","236,229,229,232,246,252,264,272,274,274,272,263,258,251,242,236"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,81,282,126,317,"81,126,126,81,81","282,282,317,317,282"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,307,268,350,306,"324,310,309,307,310,334,340,345,347,350,349,347,337,330,324","306,298,297,292,283,268,268,269,271,279,289,293,302,306,306"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,46,277,83,308,"46,46,51,56,59,68,83,83,73,61,52,48,46","299,291,282,278,277,278,283,284,302,308,308,304,299"
17,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,131,207,171,232,"170,171,170,165,148,143,133,131,131,140,147,160,170","209,227,228,232,232,231,227,226,213,208,207,207,209"
18,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,310,221,341,254,"314,310,314,316,329,332,337,340,341,340,337,331,325,320,314","246,234,223,221,221,223,227,231,234,243,248,254,254,252,246"
