,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,lymphocyte,lymphocyte,sTIL,rectangle,289,109,319,147,"289,319,319,289","109,109,147,147"
1,lymphocyte,lymphocyte,sTIL,rectangle,324,214,346,246,"324,346,346,324","214,214,246,246"
2,lymphocyte,lymphocyte,sTIL,rectangle,212,254,240,284,"212,240,240,212","254,254,284,284"
3,lymphocyte,lymphocyte,sTIL,rectangle,124,313,150,337,"124,150,150,124","313,313,337,337"
4,lymphocyte,lymphocyte,sTIL,rectangle,43,254,73,280,"43,73,73,43","254,254,280,280"
5,lymphocyte,lymphocyte,sTIL,rectangle,43,280,69,308,"43,69,69,43","280,280,308,308"
6,lymphocyte,lymphocyte,sTIL,rectangle,18,154,44,206,"18,44,44,18","154,154,206,206"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,0,26,58,88,"0,58,58,0","26,26,88,88"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,294,32,316,74,"294,316,316,294","32,32,74,74"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,267,0,291,44,"267,291,291,267","0,0,44,44"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,268,46,290,86,"268,290,290,268","46,46,86,86"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,172,122,196,206,"172,196,196,172","122,122,206,206"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,219,194,245,246,"219,245,245,219","194,194,246,246"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,110,118,136,168,"110,136,136,110","118,118,168,168"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,133,151,153,197,"133,153,153,133","151,151,197,197"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,117,180,139,218,"117,139,139,117","180,180,218,218"
16,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,146,225,166,289,"146,166,166,146","225,225,289,289"
17,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,46,343,64,389,"46,64,64,46","343,343,389,389"
18,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,57,346,91,386,"57,91,91,57","346,346,386,386"
19,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,260,295,290,369,"260,290,290,260","295,295,369,369"
20,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,219,291,245,365,"219,245,245,219","291,291,365,365"
21,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,288,302,316,344,"288,316,316,288","302,302,344,344"
22,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,320,149,350,207,"320,350,350,320","149,149,207,207"
23,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,207,48,235,94,"207,235,235,207","48,48,94,94"
24,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,177,27,197,95,"177,197,197,177","27,27,95,95"
25,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,140,22,168,98,"140,168,168,140","22,22,98,98"
26,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,96,56,118,102,"96,118,118,96","56,56,102,102"
27,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,110,51,132,105,"110,132,132,110","51,51,105,105"
