,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,84,172,175,239,"84,175,175,84,84","172,172,239,239,172"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,237,127,315,202,"237,315,315,237,237","127,127,202,202,127"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,193,184,258,259,"193,258,258,193,193","184,184,259,259,184"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,148,0,211,75,"148,211,211,148,148","0,0,75,75,0"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,111,64,186,124,"111,186,186,111,111","64,64,124,124,64"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,289,51,359,117,"289,359,359,289,289","51,51,117,117,51"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,109,1,167,71,"109,167,167,109,109","1,1,71,71,1"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,41,99,106,162,"41,106,106,41,41","99,99,162,162,99"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,270,223,327,288,"270,327,327,270,270","223,223,288,288,223"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,132,210,197,266,"132,197,197,132,132","210,210,266,266,210"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,0,239,66,287,"0,66,66,0,0","239,239,287,287,239"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,339,124,396,179,"339,396,396,339,339","124,124,179,179,124"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,381,173,449,213,"381,449,449,381,381","173,173,213,213,173"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,218,323,286,363,"218,286,286,218,218","323,323,363,363,323"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,53,324,111,377,"53,111,111,53,53","324,324,377,377,324"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,146,316,203,368,"146,203,203,146,146","316,316,368,368,316"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,324,182,369,244,"324,369,369,324,324","182,182,244,244,182"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,360,69,420,109,"360,420,420,360,360","69,69,109,109,69"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,351,289,406,332,"351,406,406,351,351","289,289,332,332,289"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,64,55,117,100,"64,117,117,64,64","55,55,100,100,55"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,162,228,207,278,"162,207,207,162,162","228,228,278,278,228"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,347,247,398,292,"347,398,398,347,347","247,247,292,292,247"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,250,41,287,96,"250,287,287,250,250","41,41,96,96,41"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,307,286,350,333,"307,350,350,307,307","286,286,333,333,286"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,252,279,297,324,"252,297,297,252,252","279,279,324,324,279"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,43,209,86,254,"43,86,86,43,43","209,209,254,254,209"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,44,294,97,319,"44,97,97,44,44","294,294,319,319,294"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,158,147,206,179,"158,206,206,158,158","147,147,179,179,147"
28,tumor,tumor_nonMitotic,tumor_any,rectangle,165,108,207,138,"165,207,207,165,165","108,108,138,138,108"
29,tumor,tumor_nonMitotic,tumor_any,rectangle,83,228,113,268,"83,113,113,83,83","228,228,268,268,228"
30,tumor,tumor_nonMitotic,tumor_any,rectangle,64,249,92,284,"64,92,92,64,64","249,249,284,284,249"
31,tumor,tumor_nonMitotic,tumor_any,rectangle,126,132,151,167,"126,151,151,126,126","132,132,167,167,132"
32,tumor,tumor_nonMitotic,tumor_any,rectangle,302,343,325,368,"302,325,325,302,302","343,343,368,368,343"
