,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,247,120,300,194,"247,247,251,257,262,264,274,277,289,293,297,299,300,300,299,292,288,274,267,264,251,250,247","173,165,154,140,130,128,122,120,120,122,124,130,140,144,166,186,189,194,192,191,179,178,173"
1,tumor,tumor_nonMitotic,tumor_any,polyline,66,68,119,140,"66,66,68,81,95,100,115,117,119,118,115,93,90,81,74,66","122,74,72,68,68,69,77,79,114,119,122,139,140,140,139,122"
2,tumor,tumor_nonMitotic,tumor_any,polyline,17,262,79,327,"58,23,21,17,17,18,35,41,52,59,67,73,78,79,79,78,58","322,327,324,302,301,296,282,277,268,263,262,262,263,273,274,291,322"
3,tumor,tumor_nonMitotic,tumor_any,polyline,138,292,209,342,"138,145,160,166,171,177,184,204,207,209,209,206,197,192,189,158,154,144,141,138,138","322,314,301,296,292,292,293,301,304,315,317,322,334,338,339,342,340,337,334,327,322"
4,mitotic_figure,tumor_mitotic,tumor_any,polyline,13,180,62,251,"22,27,33,38,47,59,61,62,62,59,56,52,46,42,36,13,13,15,22","184,180,180,181,184,189,205,227,231,237,243,247,250,251,251,240,233,224,184"
5,tumor,tumor_nonMitotic,tumor_any,polyline,129,225,190,283,"179,184,186,190,190,189,179,177,172,153,139,133,129,129,131,133,140,158,171,179","225,226,231,247,256,260,274,276,278,283,283,281,278,274,268,266,253,236,228,225"
6,tumor,tumor_nonMitotic,tumor_any,polyline,209,269,278,317,"223,228,235,272,276,278,278,277,274,246,243,237,218,215,210,209,212,223","272,269,269,274,279,284,288,294,297,314,315,317,315,314,312,304,293,272"
7,tumor,tumor_nonMitotic,tumor_any,polyline,279,185,327,243,"313,327,317,305,286,282,279,279,281,286,294,305,310,313","190,232,238,243,243,242,238,237,202,195,185,187,189,190"
8,tumor,tumor_nonMitotic,tumor_any,polyline,155,71,201,123,"155,159,169,174,180,187,199,201,201,200,199,177,169,161,159,156,155,155","81,76,72,71,71,72,81,86,98,102,103,123,123,115,109,102,91,81"
9,tumor,tumor_nonMitotic,tumor_any,polyline,212,91,262,129,"212,216,222,227,240,246,256,261,262,261,256,247,227,221,217,212,212","120,109,102,98,91,91,93,103,110,114,120,124,129,129,128,123,120"
10,tumor,tumor_nonMitotic,tumor_any,polyline,158,127,189,175,"169,174,180,184,187,189,189,186,181,163,158,158,159,169","134,127,127,128,134,137,150,164,175,175,171,168,163,134"
11,tumor,tumor_nonMitotic,tumor_any,polyline,105,137,145,175,"133,145,145,143,130,118,110,105,105,108,112,133","137,143,154,159,169,175,175,169,159,151,148,137"
12,tumor,tumor_nonMitotic,tumor_any,polyline,112,185,153,215,"117,128,134,144,153,153,151,149,139,134,129,120,119,112,115,117","189,185,185,186,190,197,201,204,212,215,214,211,210,200,190,189"
13,tumor,tumor_nonMitotic,tumor_any,polyline,0,22,51,77,"10,7,0,0,1,11,13,20,30,36,45,49,51,51,41,10","76,74,52,48,40,28,27,25,22,22,30,52,60,77,77,76"
14,tumor,tumor_nonMitotic,tumor_any,polyline,130,1,177,42,"146,154,166,170,176,177,176,175,165,163,135,131,130,131,146","6,1,1,4,11,26,31,33,41,42,35,33,28,23,6"
15,tumor,tumor_nonMitotic,tumor_any,polyline,295,30,323,58,"299,308,314,318,319,322,323,320,317,310,298,295,295,297,299","36,30,30,32,33,40,47,53,56,58,56,53,45,40,36"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,218,205,271,250,"218,271,271,218,218","205,205,250,250,205"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,284,255,349,307,"284,349,349,284,284","255,255,307,307,255"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,68,28,130,78,"68,130,130,68,68","28,28,78,78,28"
