,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,106,91,142,149,"106,142,142,106","91,91,149,149"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,220,36,242,118,"220,242,242,220","36,36,118,118"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,247,247,265,267,"247,265,265,247","247,247,267,267"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,262,289,280,329,"262,280,280,262","289,289,329,329"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,111,0,151,60,"111,151,151,111,111","0,0,60,60,0"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,0,268,48,321,"0,48,48,0,0","268,268,321,321,268"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,45,27,80,82,"45,80,80,45,45","27,27,82,82,27"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,317,189,350,230,"321,326,332,340,345,350,350,348,343,340,333,325,323,321,318,317,318,321","191,189,189,191,196,207,215,219,226,230,229,226,225,221,215,211,199,191"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,280,109,304,149,"280,282,287,292,297,300,302,304,304,301,300,289,282,280","147,128,114,109,111,114,122,130,144,148,149,149,148,147"
9,lymphocyte,lymphocyte,sTIL,rectangle,173,221,203,256,"173,203,203,173,173","221,221,256,256,221"
10,lymphocyte,lymphocyte,sTIL,rectangle,195,139,225,174,"195,225,225,195,195","139,139,174,174,139"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,121,297,148,332,"121,148,148,121,121","297,297,332,332,297"
12,lymphocyte,lymphocyte,sTIL,rectangle,210,180,238,212,"210,238,238,210,210","180,180,212,212,180"
13,lymphocyte,lymphocyte,sTIL,rectangle,45,257,75,285,"45,75,75,45,45","257,257,285,285,257"
14,lymphocyte,lymphocyte,sTIL,polyline,149,216,172,248,"149,149,151,157,162,163,172,172,169,166,157,151,149","242,232,229,216,219,220,230,236,246,248,248,245,242"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,172,149,197,176,"172,197,197,172,172","149,149,176,176,149"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,236,298,260,323,"260,258,249,244,243,239,238,236,238,239,244,251,256,259,260","316,323,323,322,321,314,311,302,299,298,299,303,308,312,316"
