,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,lymphocyte,lymphocyte,sTIL,rectangle,117,0,147,28,"117,147,147,117","0,0,28,28"
1,lymphocyte,lymphocyte,sTIL,rectangle,95,116,117,138,"95,117,117,95","116,116,138,138"
2,lymphocyte,lymphocyte,sTIL,rectangle,2,175,26,195,"2,26,26,2","175,175,195,195"
3,lymphocyte,lymphocyte,sTIL,rectangle,191,173,219,197,"191,219,219,191","173,173,197,197"
4,lymphocyte,lymphocyte,sTIL,rectangle,30,293,62,311,"30,62,62,30","293,293,311,311"
5,lymphocyte,lymphocyte,sTIL,rectangle,23,322,51,344,"23,51,51,23","322,322,344,344"
6,lymphocyte,lymphocyte,sTIL,rectangle,183,297,211,317,"183,211,211,183","297,297,317,317"
7,lymphocyte,lymphocyte,sTIL,rectangle,185,322,205,346,"185,205,205,185","322,322,346,346"
8,lymphocyte,lymphocyte,sTIL,rectangle,146,331,180,363,"146,180,180,146","331,331,363,363"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,258,250,310,280,"258,310,310,258","250,250,280,280"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,245,297,289,313,"245,289,289,245","297,297,313,313"
11,lymphocyte,lymphocyte,sTIL,rectangle,2,13,38,35,"2,38,38,2","13,13,35,35"
12,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,105,151,147,183,"105,147,147,105","151,151,183,183"
13,lymphocyte,lymphocyte,sTIL,polyline,149,280,190,321,"189,190,190,178,172,168,163,156,153,149,153,154,173,177,183,189","286,297,304,315,318,320,321,321,318,307,301,300,282,280,280,286"
14,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,246,21,296,51,"246,296,296,246,246","21,21,51,51,21"
15,lymphocyte,lymphocyte,sTIL,polyline,218,250,264,281,"218,218,228,238,244,254,259,261,264,264,249,236,230,228,218","272,261,255,250,250,251,255,258,263,269,276,281,280,279,272"
16,lymphocyte,lymphocyte,sTIL,polyline,163,183,189,229,"163,163,164,170,178,183,187,189,189,188,185,182,172,167,163","224,205,202,190,183,184,188,197,202,209,217,224,229,228,224"
17,lymphocyte,lymphocyte,sTIL,rectangle,136,140,175,174,"136,175,175,136,136","140,140,174,174,140"
18,lymphocyte,lymphocyte,sTIL,polyline,315,228,351,263,"336,342,347,351,348,332,328,320,316,315,315,317,322,326,328,336","228,228,233,243,246,260,263,260,259,256,255,246,236,231,230,228"
19,lymphocyte,lymphocyte,sTIL,polyline,162,224,189,265,"162,162,163,165,173,177,185,189,188,187,185,183,182,175,170,162","256,246,241,236,230,228,224,228,249,256,260,264,265,265,264,256"
20,lymphocyte,lymphocyte,sTIL,polyline,93,280,128,315,"126,113,102,97,95,93,96,106,113,118,122,123,128,128,126","306,315,312,309,306,296,292,282,280,282,285,286,294,300,306"
21,lymphocyte,lymphocyte,sTIL,polyline,188,222,218,259,"189,188,189,201,216,218,218,210,205,199,192,189","251,236,229,222,231,233,234,254,259,259,254,251"
22,lymphocyte,lymphocyte,sTIL,polyline,124,102,159,132,"127,132,138,156,158,159,158,157,153,143,134,128,126,124,124,126,127","111,102,102,107,111,115,123,127,130,132,132,130,127,122,117,113,111"
23,lymphocyte,lymphocyte,sTIL,polyline,62,105,95,137,"62,66,74,80,86,88,93,95,93,90,82,70,65,62","130,121,111,105,105,106,112,116,125,136,137,136,135,130"
