,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,28,218,63,264,"61,58,52,46,43,36,31,28,28,36,47,51,58,59,63,62,61","257,264,263,260,259,254,249,244,226,222,218,219,223,226,235,249,257"
1,plasma_cell,plasma_cell,sTIL,polyline,235,23,259,53,"235,235,236,241,242,245,253,256,258,259,259,258,254,251,246,238,235","47,35,33,25,24,23,25,27,30,35,42,44,48,50,53,53,47"
2,plasma_cell,plasma_cell,sTIL,polyline,233,65,262,88,"256,235,233,233,236,242,245,249,256,261,262,259,256","88,86,81,78,73,68,67,65,65,68,69,83,88"
3,plasma_cell,plasma_cell,sTIL,polyline,184,16,217,40,"216,217,215,211,208,202,196,192,186,185,184,186,190,196,199,206,210,215,216","21,28,32,37,38,40,40,39,37,35,32,28,24,19,18,16,17,19,21"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,171,55,227,74,"199,175,171,171,175,179,187,200,217,227,223,218,213,199","74,71,68,67,62,58,55,55,57,59,69,71,73,74"
5,lymphocyte,lymphocyte,sTIL,polyline,88,3,128,33,"93,88,93,97,104,113,119,126,128,126,125,123,108,93","32,27,18,13,6,3,3,8,9,16,19,22,33,32"
6,lymphocyte,lymphocyte,sTIL,polyline,159,1,191,33,"159,160,166,184,190,191,191,184,181,170,164,160,159,159","23,16,9,1,1,2,9,24,27,33,32,29,24,23"
7,plasma_cell,plasma_cell,sTIL,polyline,289,34,329,71,"289,310,315,323,324,329,327,320,314,290,289,289","55,35,34,35,37,43,60,71,70,64,60,55"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,322,52,343,108,"343,343,341,340,332,328,324,323,322,322,323,329,330,335,343","55,83,88,91,108,106,103,98,91,71,65,53,52,53,55"
9,plasma_cell,plasma_cell,sTIL,polyline,66,70,92,101,"66,71,74,82,88,90,92,90,89,84,82,72,69,66,66","88,79,75,70,76,80,90,95,96,100,101,100,99,95,88"
10,lymphocyte,lymphocyte,sTIL,polyline,231,88,258,112,"231,233,238,251,254,258,258,256,251,241,232,231","104,94,88,88,89,94,98,104,110,112,109,104"
11,plasma_cell,plasma_cell,sTIL,polyline,165,109,201,141,"165,169,185,187,194,197,201,201,199,195,190,184,177,165","130,121,112,111,109,112,122,127,132,136,139,141,141,130"
12,plasma_cell,plasma_cell,sTIL,polyline,235,111,266,141,"235,236,240,241,245,251,261,266,264,256,245,240,238,235","131,121,115,114,111,111,116,131,137,141,141,137,136,131"
13,plasma_cell,plasma_cell,sTIL,polyline,263,141,292,166,"263,267,273,277,283,289,292,292,289,281,272,269,266,263","157,150,144,141,141,146,150,152,160,166,166,165,162,157"
14,lymphocyte,lymphocyte,sTIL,polyline,243,160,268,187,"268,264,262,256,249,246,243,246,251,253,258,266,268","172,183,187,186,182,178,172,167,162,161,160,163,172"
15,plasma_cell,plasma_cell,sTIL,polyline,307,129,334,163,"307,322,328,333,334,333,329,325,322,309,307","150,129,129,131,135,141,153,161,163,156,150"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,263,235,295,254,"290,279,269,264,263,263,266,272,278,283,294,295,295,294,290","254,254,250,247,243,242,239,235,235,237,243,247,248,250,254"
17,plasma_cell,plasma_cell,sTIL,polyline,181,239,208,268,"181,184,192,199,205,206,208,208,207,206,202,194,184,181,181","259,248,239,239,242,243,248,253,257,259,264,267,268,267,259"
18,tumor,tumor_nonMitotic,tumor_any,polyline,264,280,305,301,"271,282,300,302,305,302,282,274,266,264,264,267,271","284,280,280,281,294,296,301,300,293,291,289,286,284"
19,lymphocyte,lymphocyte,sTIL,polyline,237,244,268,263,"243,237,240,242,251,257,267,268,267,263,243","263,257,252,249,245,244,249,257,260,263,263"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,43,171,115,216,"43,115,115,43,43","171,171,216,216,171"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,67,301,117,368,"67,117,117,67,67","301,301,368,368,301"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,197,289,249,354,"197,249,249,197,197","289,289,354,354,289"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,59,217,117,267,"59,117,117,59,59","217,217,267,267,217"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,126,168,191,203,"126,191,191,126,126","168,168,203,203,168"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,97,301,159,334,"97,159,159,97,97","301,301,334,334,301"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,314,285,369,317,"314,369,369,314,314","285,285,317,317,285"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,130,201,180,240,"130,180,180,130,130","201,201,240,240,201"
28,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,98,132,155,157,"98,155,155,98,98","132,132,157,157,132"
29,tumor,tumor_nonMitotic,tumor_any,rectangle,277,305,329,335,"277,329,329,277,277","305,305,335,335,305"
30,tumor,tumor_nonMitotic,tumor_any,rectangle,115,233,163,270,"115,163,163,115,115","233,233,270,270,233"
31,tumor,tumor_nonMitotic,tumor_any,rectangle,236,299,281,339,"236,281,281,236,236","299,299,339,339,299"
