,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,244,79,312,139,"281,249,248,244,244,254,258,271,284,288,304,310,312,312,311,305,301,295,281","139,127,125,118,104,87,83,79,79,81,87,92,104,110,115,134,137,139,139"
1,tumor,tumor_nonMitotic,tumor_any,polyline,38,173,68,211,"38,42,43,45,51,60,63,65,68,66,64,55,46,45,42,39,38","192,179,176,173,173,181,185,190,202,205,207,211,211,210,205,199,192"
2,tumor,tumor_nonMitotic,tumor_any,polyline,225,209,278,271,"235,254,266,269,275,276,278,278,276,275,271,261,247,239,234,230,229,227,225,227,230,233,235","219,209,209,210,215,224,235,237,246,252,257,266,271,271,268,266,265,261,252,246,231,224,219"
3,tumor,tumor_nonMitotic,tumor_any,polyline,281,255,340,308,"285,281,283,284,288,291,294,312,325,327,337,338,340,340,335,332,331,319,316,306,289,285","293,284,278,273,266,261,260,255,255,256,262,267,273,279,293,297,298,307,308,307,296,293"
4,tumor,tumor_nonMitotic,tumor_any,polyline,311,200,351,246,"350,351,351,345,342,332,320,317,316,314,311,311,312,319,325,332,338,350","204,209,224,243,246,246,242,241,240,236,230,222,215,207,204,200,200,204"
5,tumor,tumor_nonMitotic,tumor_any,polyline,64,283,110,342,"87,78,71,70,66,64,65,70,73,85,91,96,99,106,109,110,110,109,106,101,87","342,340,330,328,318,304,301,291,288,283,283,284,286,294,301,306,322,330,334,337,342"
6,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,94,349,124,384,"94,97,109,115,119,121,124,124,116,105,101,97,94","365,358,349,349,351,355,374,383,384,381,380,376,365"
7,tumor,tumor_nonMitotic,tumor_any,polyline,35,46,64,76,"35,43,61,64,64,63,61,59,54,43,37,35","55,46,46,47,48,67,69,72,76,76,69,55"
8,tumor,tumor_nonMitotic,tumor_any,polyline,307,325,337,353,"307,336,337,336,335,329,321,307,307","351,325,333,339,343,348,353,353,351"
9,tumor,tumor_nonMitotic,tumor_any,polyline,301,97,363,151,"301,363,363,301,301","97,97,151,151,97"
10,tumor,tumor_nonMitotic,tumor_any,polyline,259,0,321,77,"259,321,321,259,259","0,0,77,77,0"
11,tumor,tumor_nonMitotic,tumor_any,polyline,203,67,260,127,"203,260,260,203,203","67,67,127,127,67"
12,tumor,tumor_nonMitotic,tumor_any,polyline,147,139,187,191,"147,187,187,147,147","139,139,191,191,139"
13,tumor,tumor_nonMitotic,tumor_any,polyline,166,191,230,251,"166,230,230,166,166","191,191,251,251,191"
14,tumor,tumor_nonMitotic,tumor_any,polyline,99,183,133,235,"99,133,133,99,99","183,183,235,235,183"
15,tumor,tumor_nonMitotic,tumor_any,polyline,73,113,127,178,"73,127,127,73,73","113,113,178,178,113"
16,tumor,tumor_nonMitotic,tumor_any,polyline,135,73,177,133,"135,177,177,135,135","73,73,133,133,73"
17,tumor,tumor_nonMitotic,tumor_any,polyline,97,50,147,102,"97,147,147,97,97","50,50,102,102,50"
18,tumor,tumor_nonMitotic,tumor_any,polyline,1,89,48,137,"1,48,48,1,1","89,89,137,137,89"
19,tumor,tumor_nonMitotic,tumor_any,polyline,49,210,91,265,"49,91,91,49,49","210,210,265,265,210"
20,tumor,tumor_nonMitotic,tumor_any,polyline,119,289,178,339,"119,178,178,119,119","289,289,339,339,289"
21,tumor,tumor_nonMitotic,tumor_any,polyline,146,320,188,373,"146,188,188,146,146","320,320,373,373,320"
22,tumor,tumor_nonMitotic,tumor_any,polyline,228,276,285,333,"228,285,285,228,228","276,276,333,333,276"
23,tumor,tumor_nonMitotic,tumor_any,polyline,242,144,289,196,"242,289,289,242,242","144,144,196,196,144"
24,tumor,tumor_nonMitotic,tumor_any,polyline,1,332,33,381,"1,33,33,1,1","332,332,381,381,332"
25,tumor,tumor_nonMitotic,tumor_any,polyline,191,135,235,180,"191,235,235,191,191","135,135,180,180,135"
26,tumor,tumor_nonMitotic,tumor_any,polyline,135,265,187,304,"135,187,187,135,135","265,265,304,304,265"
