,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,206,304,237,339,"237,233,230,227,223,218,215,208,206,206,210,215,222,228,233,237","318,329,334,337,339,338,337,333,328,318,312,308,304,304,308,318"
1,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,258,203,290,228,"258,258,260,265,266,270,276,286,288,290,290,288,266,258","224,218,214,207,205,203,203,208,212,218,224,228,225,224"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,312,89,339,119,"332,339,339,332,327,317,314,312,312,315,320,329,332","89,94,101,114,119,119,118,113,110,104,99,91,89"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,13,121,42,148,"38,32,24,22,15,13,13,15,19,22,25,34,42,40,38","148,148,147,145,142,137,130,127,123,121,123,128,139,143,148"
4,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,291,5,316,34,"291,293,297,300,306,312,316,311,306,296,292,291","20,13,8,5,5,9,20,29,34,34,29,20"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,48,0,88,30,"48,88,88,48,48","0,0,30,30,0"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,24,23,52,63,"24,52,52,24,24","23,23,63,63,23"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,47,26,77,69,"47,77,77,47,47","26,26,69,69,26"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,77,31,109,66,"77,109,109,77,77","31,31,66,66,31"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,71,59,103,99,"71,103,103,71,71","59,59,99,99,59"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,0,55,35,93,"0,35,35,0,0","55,55,93,93,55"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,173,18,221,65,"173,221,221,173,173","18,18,65,65,18"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,117,89,154,129,"117,154,154,117,117","89,89,129,129,89"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,49,303,72,321,"49,72,72,49,49","303,303,321,321,303"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,94,332,117,359,"94,117,117,94,94","332,332,359,359,332"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,152,332,192,377,"152,192,192,152,152","332,332,377,377,332"
16,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,159,58,202,115,"159,202,202,159,159","58,58,115,115,58"
17,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,158,179,181,214,"158,181,181,158,158","179,179,214,214,179"
18,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,73,248,91,281,"73,91,91,73,73","248,248,281,281,248"
19,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,158,247,183,264,"158,183,183,158,158","247,247,264,264,247"
20,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,61,258,73,278,"61,73,73,61,61","258,258,278,278,258"
21,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,169,288,185,301,"169,185,185,169,169","288,288,301,301,288"
