,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,228,207,290,248,"228,252,257,269,283,286,290,290,249,241,234,228,228","237,209,207,207,211,212,218,224,248,248,246,239,237"
1,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,186,79,216,119,"186,186,188,193,197,212,213,216,216,213,206,199,194,186","103,100,93,83,82,79,80,94,95,104,119,119,114,103"
2,lymphocyte,lymphocyte,sTIL,polyline,188,60,216,87,"188,188,191,196,201,213,216,214,191,188","83,73,65,60,61,67,74,79,87,83"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,181,321,213,338,"213,211,204,187,184,181,182,189,196,209,212,213","328,338,338,337,336,332,326,321,321,322,323,328"
4,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,262,10,307,53,"262,263,268,274,280,286,292,302,307,307,306,297,288,285,269,267,262,262","26,18,14,10,11,15,21,35,43,51,53,53,51,50,43,40,33,26"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,82,18,154,80,"82,154,154,82,82","18,18,80,80,18"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,297,98,352,153,"297,352,352,297,297","98,98,153,153,98"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,1,20,47,60,"1,47,47,1,1","20,20,60,60,20"
8,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,311,155,346,188,"311,346,346,311,311","155,155,188,188,155"
9,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,297,0,322,38,"297,322,322,297,297","0,0,38,38,0"
10,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,295,279,317,302,"295,317,317,295,295","279,279,302,302,279"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,227,271,282,316,"227,282,282,227,227","271,271,316,316,271"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,44,117,82,159,"44,82,82,44,44","117,117,159,159,117"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,252,333,290,368,"252,290,290,252,252","333,333,368,368,333"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,102,281,134,311,"102,134,134,102,102","281,281,311,311,281"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,78,125,100,160,"78,100,100,78,78","125,125,160,160,125"
16,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,128,274,156,299,"128,156,156,128,128","274,274,299,299,274"
